param,importance,dataset,imputation,time_taken
affinity,0.1022747894010531,vertebral_RL.csv,False,1.204356189002283
compute_full_tree,0.008414622532413268,vertebral_RL.csv,False,1.204356189002283
linkage,0.5106620461030444,vertebral_RL.csv,False,1.204356189002283
n_clusters,0.04967907334004813,vertebral_RL.csv,False,1.204356189002283
"('affinity', 'linkage')",0.1369355726659353,vertebral_RL.csv,False,1.204356189002283
"('linkage', 'n_clusters')",0.05442299310925738,vertebral_RL.csv,False,1.204356189002283
"('affinity', 'n_clusters')",0.029124446086980588,vertebral_RL.csv,False,1.204356189002283
"('compute_full_tree', 'linkage')",0.014398967687674038,vertebral_RL.csv,False,1.204356189002283
"('compute_full_tree', 'n_clusters')",0.012770163390290027,vertebral_RL.csv,False,1.204356189002283
"('affinity', 'compute_full_tree')",0.01073524464567568,vertebral_RL.csv,False,1.204356189002283
"('n_clusters', 'affinity', 'linkage')",0.02857059931617048,vertebral_RL.csv,False,1.204356189002283
"('compute_full_tree', 'affinity', 'linkage')",0.014179601398855544,vertebral_RL.csv,False,1.204356189002283
affinity,0.07450725208852085,dense-disk-5000.csv,False,1.2374214900191873
compute_full_tree,0.008051176107748761,dense-disk-5000.csv,False,1.2374214900191873
linkage,0.5865569017191017,dense-disk-5000.csv,False,1.2374214900191873
n_clusters,0.018471519361586378,dense-disk-5000.csv,False,1.2374214900191873
"('affinity', 'linkage')",0.1713691056384437,dense-disk-5000.csv,False,1.2374214900191873
"('affinity', 'n_clusters')",0.03036964495261777,dense-disk-5000.csv,False,1.2374214900191873
"('linkage', 'n_clusters')",0.02464084873736886,dense-disk-5000.csv,False,1.2374214900191873
"('compute_full_tree', 'linkage')",0.01201640199845425,dense-disk-5000.csv,False,1.2374214900191873
"('affinity', 'compute_full_tree')",0.009116032215797112,dense-disk-5000.csv,False,1.2374214900191873
"('compute_full_tree', 'n_clusters')",0.006433601986540456,dense-disk-5000.csv,False,1.2374214900191873
"('n_clusters', 'affinity', 'linkage')",0.027097272543389745,dense-disk-5000.csv,False,1.2374214900191873
"('compute_full_tree', 'affinity', 'linkage')",0.01448425887297267,dense-disk-5000.csv,False,1.2374214900191873
affinity,0.07743117392300347,wine_RL.csv,False,1.3301897780038416
compute_full_tree,0.005797487720749683,wine_RL.csv,False,1.3301897780038416
linkage,0.4333762512905788,wine_RL.csv,False,1.3301897780038416
n_clusters,0.07063089861278335,wine_RL.csv,False,1.3301897780038416
"('linkage', 'n_clusters')",0.10628522216958645,wine_RL.csv,False,1.3301897780038416
"('affinity', 'linkage')",0.10442858607666342,wine_RL.csv,False,1.3301897780038416
"('affinity', 'n_clusters')",0.059991578850935236,wine_RL.csv,False,1.3301897780038416
"('affinity', 'compute_full_tree')",0.011161435536003527,wine_RL.csv,False,1.3301897780038416
"('compute_full_tree', 'n_clusters')",0.010871045591324662,wine_RL.csv,False,1.3301897780038416
"('compute_full_tree', 'linkage')",0.00998763906301453,wine_RL.csv,False,1.3301897780038416
"('n_clusters', 'affinity', 'linkage')",0.06226962813681118,wine_RL.csv,False,1.3301897780038416
"('compute_full_tree', 'affinity', 'linkage')",0.012751522007550043,wine_RL.csv,False,1.3301897780038416
affinity,0.10781381630842155,disk_4500n.csv,False,1.2246082529891282
compute_full_tree,0.007851508597095942,disk_4500n.csv,False,1.2246082529891282
linkage,0.574915003618929,disk_4500n.csv,False,1.2246082529891282
n_clusters,0.023213595420026267,disk_4500n.csv,False,1.2246082529891282
"('affinity', 'linkage')",0.13496469613361545,disk_4500n.csv,False,1.2246082529891282
"('affinity', 'n_clusters')",0.032702322321581795,disk_4500n.csv,False,1.2246082529891282
