param,importance,dataset,imputation,time_taken
affinity,0.18651476156275829,vertebral_RL.csv,False,0.27589635690674186
compute_full_tree,0.009540777537234243,vertebral_RL.csv,False,0.27589635690674186
linkage,0.07037865330347177,vertebral_RL.csv,False,0.27589635690674186
n_clusters,0.06284985099229264,vertebral_RL.csv,False,0.27589635690674186
"('affinity', 'linkage')",0.23626340280548505,vertebral_RL.csv,False,0.27589635690674186
"('affinity', 'n_clusters')",0.12425704062411964,vertebral_RL.csv,False,0.27589635690674186
"('linkage', 'n_clusters')",0.10943177542064512,vertebral_RL.csv,False,0.27589635690674186
"('affinity', 'compute_full_tree')",0.03020912041404954,vertebral_RL.csv,False,0.27589635690674186
"('compute_full_tree', 'linkage')",0.01460870102520989,vertebral_RL.csv,False,0.27589635690674186
"('compute_full_tree', 'n_clusters')",0.004720172417813851,vertebral_RL.csv,False,0.27589635690674186
"('n_clusters', 'affinity', 'linkage')",0.08536283139261375,vertebral_RL.csv,False,0.27589635690674186
"('compute_full_tree', 'affinity', 'linkage')",0.039614424603916995,vertebral_RL.csv,False,0.27589635690674186
affinity,0.1424646701456291,dense-disk-5000.csv,False,0.8725523110479116
compute_full_tree,0.007037042427987918,dense-disk-5000.csv,False,0.8725523110479116
linkage,0.45601137803951497,dense-disk-5000.csv,False,0.8725523110479116
n_clusters,0.0756156268830999,dense-disk-5000.csv,False,0.8725523110479116
"('affinity', 'linkage')",0.11854741165308247,dense-disk-5000.csv,False,0.8725523110479116
"('linkage', 'n_clusters')",0.056314229787115165,dense-disk-5000.csv,False,0.8725523110479116
"('affinity', 'n_clusters')",0.049318788787641614,dense-disk-5000.csv,False,0.8725523110479116
"('compute_full_tree', 'linkage')",0.011672094831180794,dense-disk-5000.csv,False,0.8725523110479116
"('affinity', 'compute_full_tree')",0.00948770955450497,dense-disk-5000.csv,False,0.8725523110479116
"('compute_full_tree', 'n_clusters')",0.006879115689442732,dense-disk-5000.csv,False,0.8725523110479116
"('n_clusters', 'affinity', 'linkage')",0.031060591080380964,dense-disk-5000.csv,False,0.8725523110479116
"('compute_full_tree', 'affinity', 'linkage')",0.014178742517104588,dense-disk-5000.csv,False,0.8725523110479116
affinity,0.03285359955501607,wine_RL.csv,False,0.4468294009566307
compute_full_tree,0.012043032696119713,wine_RL.csv,False,0.4468294009566307
linkage,0.08430848964645851,wine_RL.csv,False,0.4468294009566307
n_clusters,0.29008768001579754,wine_RL.csv,False,0.4468294009566307
"('linkage', 'n_clusters')",0.23143557064293388,wine_RL.csv,False,0.4468294009566307
"('affinity', 'n_clusters')",0.09666751218197521,wine_RL.csv,False,0.4468294009566307
"('affinity', 'linkage')",0.04610500056864837,wine_RL.csv,False,0.4468294009566307
"('affinity', 'compute_full_tree')",0.02119470147951119,wine_RL.csv,False,0.4468294009566307
"('compute_full_tree', 'n_clusters')",0.01691606434732145,wine_RL.csv,False,0.4468294009566307
"('compute_full_tree', 'linkage')",0.013243046925427274,wine_RL.csv,False,0.4468294009566307
"('n_clusters', 'affinity', 'linkage')",0.09483876822878784,wine_RL.csv,False,0.4468294009566307
"('compute_full_tree', 'affinity', 'linkage')",0.012338829072908985,wine_RL.csv,False,0.4468294009566307
affinity,0.20923821277569998,disk_4500n.csv,False,0.9028945959871635
