param,importance,dataset,imputation,time_taken
affinity,0.09953852547566652,vertebral_RL.csv,False,1.3029277680907398
compute_full_tree,0.005312811884858599,vertebral_RL.csv,False,1.3029277680907398
linkage,0.5115860964596677,vertebral_RL.csv,False,1.3029277680907398
n_clusters,0.026206001182605278,vertebral_RL.csv,False,1.3029277680907398
"('affinity', 'linkage')",0.17145397837919465,vertebral_RL.csv,False,1.3029277680907398
"('linkage', 'n_clusters')",0.05392029886104885,vertebral_RL.csv,False,1.3029277680907398
"('affinity', 'n_clusters')",0.027657091473018383,vertebral_RL.csv,False,1.3029277680907398
"('affinity', 'compute_full_tree')",0.015107292437045028,vertebral_RL.csv,False,1.3029277680907398
"('compute_full_tree', 'linkage')",0.010542316338750399,vertebral_RL.csv,False,1.3029277680907398
"('compute_full_tree', 'n_clusters')",0.006003973643460586,vertebral_RL.csv,False,1.3029277680907398
"('n_clusters', 'affinity', 'linkage')",0.03937851415137318,vertebral_RL.csv,False,1.3029277680907398
"('compute_full_tree', 'affinity', 'linkage')",0.015264330282358933,vertebral_RL.csv,False,1.3029277680907398
affinity,0.036742403071597325,dense-disk-5000.csv,False,1.2589190709404647
compute_full_tree,0.007008466185007615,dense-disk-5000.csv,False,1.2589190709404647
linkage,0.6092880372564831,dense-disk-5000.csv,False,1.2589190709404647
n_clusters,0.04918120568223653,dense-disk-5000.csv,False,1.2589190709404647
"('affinity', 'linkage')",0.0791403591364312,dense-disk-5000.csv,False,1.2589190709404647
"('linkage', 'n_clusters')",0.05396065182238821,dense-disk-5000.csv,False,1.2589190709404647
"('affinity', 'n_clusters')",0.03663228469438767,dense-disk-5000.csv,False,1.2589190709404647
"('compute_full_tree', 'linkage')",0.02469437033657758,dense-disk-5000.csv,False,1.2589190709404647
"('affinity', 'compute_full_tree')",0.015817537884959668,dense-disk-5000.csv,False,1.2589190709404647
"('compute_full_tree', 'n_clusters')",0.009701488712804933,dense-disk-5000.csv,False,1.2589190709404647
