param,importance,dataset,imputation,time_taken
affinity,0.1169830863815933,vertebral_RL.csv,False,1.1857083700597286
compute_full_tree,0.006854840366452996,vertebral_RL.csv,False,1.1857083700597286
linkage,0.3381179304238411,vertebral_RL.csv,False,1.1857083700597286
n_clusters,0.14659574457973454,vertebral_RL.csv,False,1.1857083700597286
"('linkage', 'n_clusters')",0.13111609388400755,vertebral_RL.csv,False,1.1857083700597286
"('affinity', 'linkage')",0.07548693312280444,vertebral_RL.csv,False,1.1857083700597286
"('affinity', 'n_clusters')",0.057385342233420886,vertebral_RL.csv,False,1.1857083700597286
"('affinity', 'compute_full_tree')",0.012047283347732552,vertebral_RL.csv,False,1.1857083700597286
"('compute_full_tree', 'linkage')",0.009414023302955911,vertebral_RL.csv,False,1.1857083700597286
"('compute_full_tree', 'n_clusters')",0.00931513297097918,vertebral_RL.csv,False,1.1857083700597286
"('n_clusters', 'affinity', 'linkage')",0.05370527624023165,vertebral_RL.csv,False,1.1857083700597286
"('compute_full_tree', 'affinity', 'linkage')",0.01574972042580422,vertebral_RL.csv,False,1.1857083700597286
affinity,0.06587649963449443,dense-disk-5000.csv,False,1.2499395130435005
compute_full_tree,0.00478860705856987,dense-disk-5000.csv,False,1.2499395130435005
linkage,0.5418777676197313,dense-disk-5000.csv,False,1.2499395130435005
n_clusters,0.03432150318436392,dense-disk-5000.csv,False,1.2499395130435005
"('affinity', 'linkage')",0.13797618098420866,dense-disk-5000.csv,False,1.2499395130435005
"('linkage', 'n_clusters')",0.05265461654030722,dense-disk-5000.csv,False,1.2499395130435005
"('affinity', 'n_clusters')",0.04097463299136393,dense-disk-5000.csv,False,1.2499395130435005
"('compute_full_tree', 'linkage')",0.014376138054176339,dense-disk-5000.csv,False,1.2499395130435005
"('affinity', 'compute_full_tree')",0.01436842197259634,dense-disk-5000.csv,False,1.2499395130435005
"('compute_full_tree', 'n_clusters')",0.00664809272882916,dense-disk-5000.csv,False,1.2499395130435005
"('n_clusters', 'affinity', 'linkage')",0.037133976429460674,dense-disk-5000.csv,False,1.2499395130435005
"('compute_full_tree', 'affinity', 'linkage')",0.017424092217733028,dense-disk-5000.csv,False,1.2499395130435005
affinity,0.05627506261930137,wine_RL.csv,False,1.2174274009885266
compute_full_tree,0.012399326741513913,wine_RL.csv,False,1.2174274009885266
linkage,0.5356760120125094,wine_RL.csv,False,1.2174274009885266
n_clusters,0.09670801149032304,wine_RL.csv,False,1.2174274009885266
"('affinity', 'linkage')",0.07832992205167268,wine_RL.csv,False,1.2174274009885266
"('linkage', 'n_clusters')",0.0718837727519632,wine_RL.csv,False,1.2174274009885266
"('affinity', 'n_clusters')",0.02524618238257273,wine_RL.csv,False,1.2174274009885266
"('compute_full_tree', 'linkage')",0.019218967493138842,wine_RL.csv,False,1.2174274009885266
"('compute_full_tree', 'n_clusters')",0.009176089878034692,wine_RL.csv,False,1.2174274009885266
