param,importance,dataset,imputation,time_taken
algorithm,0.0035179460640777224,disk_1000n.csv,False,0.5608760729664937
eps,0.793127809032051,disk_1000n.csv,False,0.5608760729664937
leaf_size,0.01981031767400455,disk_1000n.csv,False,0.5608760729664937
metric,0.008844000633127343,disk_1000n.csv,False,0.5608760729664937
min_samples,0.026163681349913835,disk_1000n.csv,False,0.5608760729664937
"('eps', 'min_samples')",0.049889834756669506,disk_1000n.csv,False,0.5608760729664937
"('eps', 'metric')",0.028964676915155717,disk_1000n.csv,False,0.5608760729664937
"('eps', 'leaf_size')",0.02081230134193475,disk_1000n.csv,False,0.5608760729664937
"('metric', 'min_samples')",0.007406262844895119,disk_1000n.csv,False,0.5608760729664937
"('algorithm', 'eps')",0.005920308008228296,disk_1000n.csv,False,0.5608760729664937
"('algorithm', 'min_samples')",0.00462550468062637,disk_1000n.csv,False,0.5608760729664937
"('leaf_size', 'min_samples')",0.003110226715642504,disk_1000n.csv,False,0.5608760729664937
"('algorithm', 'leaf_size')",0.0023118319050732723,disk_1000n.csv,False,0.5608760729664937
"('leaf_size', 'metric')",0.002257712651055455,disk_1000n.csv,False,0.5608760729664937
"('algorithm', 'metric')",0.0009751010203122967,disk_1000n.csv,False,0.5608760729664937
"('eps', 'min_samples', 'metric')",0.005839848230345114,disk_1000n.csv,False,0.5608760729664937
"('eps', 'algorithm', 'leaf_size')",0.0007277641457009935,disk_1000n.csv,False,0.5608760729664937
algorithm,0.003072348661198758,segment_RL.csv,False,3.777085278998129
eps,0.5868518409881927,segment_RL.csv,False,3.777085278998129
leaf_size,0.01490924420516716,segment_RL.csv,False,3.777085278998129
metric,0.08948394294356155,segment_RL.csv,False,3.777085278998129
min_samples,0.013415485422402092,segment_RL.csv,False,3.777085278998129
"('eps', 'metric')",0.1751891869352989,segment_RL.csv,False,3.777085278998129
"('eps', 'leaf_size')",0.02663896405935258,segment_RL.csv,False,3.777085278998129
"('eps', 'min_samples')",0.023906374814392017,segment_RL.csv,False,3.777085278998129
"('algorithm', 'eps')",0.011609363660048402,segment_RL.csv,False,3.777085278998129
"('metric', 'min_samples')",0.005201283080431532,segment_RL.csv,False,3.777085278998129
"('leaf_size', 'metric')",0.0027500296370372634,segment_RL.csv,False,3.777085278998129
"('algorithm', 'leaf_size')",0.002327827772051482,segment_RL.csv,False,3.777085278998129
"('leaf_size', 'min_samples')",0.002060573000073662,segment_RL.csv,False,3.777085278998129
"('algorithm', 'metric')",0.0019095732792547737,segment_RL.csv,False,3.777085278998129
"('algorithm', 'min_samples')",0.0007555153853877726,segment_RL.csv,False,3.777085278998129
"('eps', 'min_samples', 'metric')",0.013294963400658248,segment_RL.csv,False,3.777085278998129
"('eps', 'algorithm', 'leaf_size')",0.0037624243483098466,segment_RL.csv,False,3.777085278998129
algorithm,0.002829550339584471,dense-disk-3000.csv,False,0.8278945120982826
eps,0.8360343130070759,dense-disk-3000.csv,False,0.8278945120982826
leaf_size,0.009485345082613422,dense-disk-3000.csv,False,0.8278945120982826
metric,0.004397375099339851,dense-disk-3000.csv,False,0.8278945120982826
min_samples,0.021779412108442073,dense-disk-3000.csv,False,0.8278945120982826
"('eps', 'min_samples')",0.05104095060859322,dense-disk-3000.csv,False,0.8278945120982826
"('eps', 'metric')",0.01594043913969555,dense-disk-3000.csv,False,0.8278945120982826
"('eps', 'leaf_size')",0.015892850538176302,dense-disk-3000.csv,False,0.8278945120982826
"('algorithm', 'min_samples')",0.007702646444411575,dense-disk-3000.csv,False,0.8278945120982826
"('algorithm', 'eps')",0.007066679222396794,dense-disk-3000.csv,False,0.8278945120982826
"('leaf_size', 'min_samples')",0.006344091835420054,dense-disk-3000.csv,False,0.8278945120982826
"('leaf_size', 'metric')",0.004339661772695048,dense-disk-3000.csv,False,0.8278945120982826
"('metric', 'min_samples')",0.0009805193635791724,dense-disk-3000.csv,False,0.8278945120982826
"('algorithm', 'leaf_size')",6.922627615060449e-05,dense-disk-3000.csv,False,0.8278945120982826
"('algorithm', 'metric')",3.967738769348935e-06,dense-disk-3000.csv,False,0.8278945120982826
"('eps', 'min_samples', 'metric')",0.001219443058543852,dense-disk-3000.csv,False,0.8278945120982826
"('eps', 'algorithm', 'leaf_size')",0.00037231431503333796,dense-disk-3000.csv,False,0.8278945120982826
algorithm,0.0004952191823029671,spherical_4_3.csv,False,1.2728834450244904
eps,0.4460255331125287,spherical_4_3.csv,False,1.2728834450244904
leaf_size,0.004507077183315545,spherical_4_3.csv,False,1.2728834450244904
metric,0.10752088468285192,spherical_4_3.csv,False,1.2728834450244904
min_samples,0.0071077279957811705,spherical_4_3.csv,False,1.2728834450244904
"('eps', 'metric')",0.3498848516799238,spherical_4_3.csv,False,1.2728834450244904
"('eps', 'min_samples')",0.024607173068938212,spherical_4_3.csv,False,1.2728834450244904
"('eps', 'leaf_size')",0.010120029106632148,spherical_4_3.csv,False,1.2728834450244904
