param,importance,dataset,imputation,time_taken
algorithm,0.009996329943913019,disk_1000n.csv,False,0.5687548719579354
eps,0.3760056846167629,disk_1000n.csv,False,0.5687548719579354
leaf_size,0.02099862857765489,disk_1000n.csv,False,0.5687548719579354
metric,0.01826957439065644,disk_1000n.csv,False,0.5687548719579354
min_samples,0.09526880228191133,disk_1000n.csv,False,0.5687548719579354
"('eps', 'min_samples')",0.12478750089963556,disk_1000n.csv,False,0.5687548719579354
"('metric', 'min_samples')",0.057040676065150946,disk_1000n.csv,False,0.5687548719579354
"('eps', 'leaf_size')",0.05308047235285394,disk_1000n.csv,False,0.5687548719579354
"('eps', 'metric')",0.0510324158789224,disk_1000n.csv,False,0.5687548719579354
"('algorithm', 'min_samples')",0.028630300661019112,disk_1000n.csv,False,0.5687548719579354
"('algorithm', 'eps')",0.018582636739900408,disk_1000n.csv,False,0.5687548719579354
"('leaf_size', 'min_samples')",0.018539553857981717,disk_1000n.csv,False,0.5687548719579354
"('leaf_size', 'metric')",0.005312057917062399,disk_1000n.csv,False,0.5687548719579354
"('algorithm', 'metric')",0.0034382320001320266,disk_1000n.csv,False,0.5687548719579354
"('algorithm', 'leaf_size')",0.0032001976082159118,disk_1000n.csv,False,0.5687548719579354
"('eps', 'min_samples', 'metric')",0.022989679348482908,disk_1000n.csv,False,0.5687548719579354
"('eps', 'algorithm', 'leaf_size')",0.006436407953042046,disk_1000n.csv,False,0.5687548719579354
algorithm,0.004862697955587056,segment_RL.csv,False,4.292840034002438
eps,0.44631370654488633,segment_RL.csv,False,4.292840034002438
leaf_size,0.019834914682234805,segment_RL.csv,False,4.292840034002438
metric,0.1552163333358787,segment_RL.csv,False,4.292840034002438
min_samples,0.015556179971173478,segment_RL.csv,False,4.292840034002438
"('eps', 'metric')",0.18195911973521783,segment_RL.csv,False,4.292840034002438
"('eps', 'min_samples')",0.033341186159834495,segment_RL.csv,False,4.292840034002438
"('eps', 'leaf_size')",0.025125277527772594,segment_RL.csv,False,4.292840034002438
"('leaf_size', 'metric')",0.013709411799905423,segment_RL.csv,False,4.292840034002438
"('metric', 'min_samples')",0.011205767388883951,segment_RL.csv,False,4.292840034002438
"('algorithm', 'eps')",0.00941177584315162,segment_RL.csv,False,4.292840034002438
"('algorithm', 'metric')",0.004754106239301183,segment_RL.csv,False,4.292840034002438
"('leaf_size', 'min_samples')",0.003568297748824076,segment_RL.csv,False,4.292840034002438
"('algorithm', 'min_samples')",0.0035233158663504566,segment_RL.csv,False,4.292840034002438
"('algorithm', 'leaf_size')",0.0021780117128690196,segment_RL.csv,False,4.292840034002438
"('eps', 'min_samples', 'metric')",0.02336079265957587,segment_RL.csv,False,4.292840034002438
"('eps', 'algorithm', 'leaf_size')",0.0022935693229055045,segment_RL.csv,False,4.292840034002438
algorithm,0.00868281823133062,dense-disk-3000.csv,False,0.7033185639884323
eps,0.5495922556974326,dense-disk-3000.csv,False,0.7033185639884323
leaf_size,0.03047766691983432,dense-disk-3000.csv,False,0.7033185639884323
metric,0.016356928053567157,dense-disk-3000.csv,False,0.7033185639884323
min_samples,0.03020650192177697,dense-disk-3000.csv,False,0.7033185639884323
"('eps', 'min_samples')",0.07259887665825379,dense-disk-3000.csv,False,0.7033185639884323
"('eps', 'leaf_size')",0.06808524596675294,dense-disk-3000.csv,False,0.7033185639884323
"('eps', 'metric')",0.048295841317330036,dense-disk-3000.csv,False,0.7033185639884323
"('algorithm', 'eps')",0.023756341630771415,dense-disk-3000.csv,False,0.7033185639884323
"('metric', 'min_samples')",0.018614703021379908,dense-disk-3000.csv,False,0.7033185639884323
"('leaf_size', 'min_samples')",0.016943619022250753,dense-disk-3000.csv,False,0.7033185639884323
"('algorithm', 'leaf_size')",0.011772884643347217,dense-disk-3000.csv,False,0.7033185639884323
"('leaf_size', 'metric')",0.006084113316198764,dense-disk-3000.csv,False,0.7033185639884323
"('algorithm', 'min_samples')",0.004649679588444109,dense-disk-3000.csv,False,0.7033185639884323
"('algorithm', 'metric')",0.0030107985136966324,dense-disk-3000.csv,False,0.7033185639884323
"('eps', 'min_samples', 'metric')",0.013045551154837303,dense-disk-3000.csv,False,0.7033185639884323
"('eps', 'algorithm', 'leaf_size')",0.011645323913372791,dense-disk-3000.csv,False,0.7033185639884323
algorithm,0.0076242614230087515,spherical_4_3.csv,False,0.8670263170497492
eps,0.5705327107692153,spherical_4_3.csv,False,0.8670263170497492
leaf_size,0.022703121786858856,spherical_4_3.csv,False,0.8670263170497492
metric,0.04594647486573429,spherical_4_3.csv,False,0.8670263170497492
min_samples,0.013625784964541804,spherical_4_3.csv,False,0.8670263170497492
"('eps', 'metric')",0.16280508239420444,spherical_4_3.csv,False,0.8670263170497492
"('eps', 'leaf_size')",0.035552325494676754,spherical_4_3.csv,False,0.8670263170497492
"('algorithm', 'eps')",0.019244947019129002,spherical_4_3.csv,False,0.8670263170497492
"('eps', 'min_samples')",0.016883774909670694,spherical_4_3.csv,False,0.8670263170497492
"('metric', 'min_samples')",0.009203403203581338,spherical_4_3.csv,False,0.8670263170497492
"('leaf_size', 'metric')",0.00782110042574899,spherical_4_3.csv,False,0.8670263170497492
"('algorithm', 'metric')",0.007521905411519661,spherical_4_3.csv,False,0.8670263170497492
"('algorithm', 'min_samples')",0.006692581721330632,spherical_4_3.csv,False,0.8670263170497492
"('leaf_size', 'min_samples')",0.006240430417493283,spherical_4_3.csv,False,0.8670263170497492
"('algorithm', 'leaf_size')",0.006162841016892845,spherical_4_3.csv,False,0.8670263170497492
"('eps', 'min_samples', 'metric')",0.010233455570568251,spherical_4_3.csv,False,0.8670263170497492
"('eps', 'algorithm', 'leaf_size')",0.0050189197622269935,spherical_4_3.csv,False,0.8670263170497492
algorithm,0.0017175261854173564,dim064.csv,False,4.248640862992033
eps,0.43106314674206736,dim064.csv,False,4.248640862992033
leaf_size,0.011081391918476277,dim064.csv,False,4.248640862992033
metric,0.1467854183707729,dim064.csv,False,4.248640862992033
min_samples,0.00450255696238739,dim064.csv,False,4.248640862992033
"('eps', 'metric')",0.27486209697330244,dim064.csv,False,4.248640862992033
"('eps', 'min_samples')",0.026588387868359542,dim064.csv,False,4.248640862992033
"('eps', 'leaf_size')",0.022286705801745785,dim064.csv,False,4.248640862992033
"('leaf_size', 'metric')",0.011495306386179684,dim064.csv,False,4.248640862992033
"('metric', 'min_samples')",0.006742184974666159,dim064.csv,False,4.248640862992033
"('algorithm', 'eps')",0.003804061171676129,dim064.csv,False,4.248640862992033
"('algorithm', 'metric')",0.0027343536536314824,dim064.csv,False,4.248640862992033
"('algorithm', 'leaf_size')",0.002176047116456251,dim064.csv,False,4.248640862992033
"('leaf_size', 'min_samples')",0.002135651986132134,dim064.csv,False,4.248640862992033
"('algorithm', 'min_samples')",0.0018408153555076268,dim064.csv,False,4.248640862992033
"('eps', 'min_samples', 'metric')",0.017260171626486923,dim064.csv,False,4.248640862992033
"('eps', 'algorithm', 'leaf_size')",0.0007374861540530785,dim064.csv,False,4.248640862992033
algorithm,0.004522855348443685,vowel_RL.csv,False,0.5824595040176064
eps,0.2046844048973827,vowel_RL.csv,False,0.5824595040176064
leaf_size,0.04975066925066961,vowel_RL.csv,False,0.5824595040176064
metric,0.026454420633548487,vowel_RL.csv,False,0.5824595040176064
min_samples,0.23851330069443075,vowel_RL.csv,False,0.5824595040176064
"('eps', 'min_samples')",0.17598156083131453,vowel_RL.csv,False,0.5824595040176064
"('eps', 'metric')",0.07356724703646814,vowel_RL.csv,False,0.5824595040176064
"('leaf_size', 'min_samples')",0.036314683022978946,vowel_RL.csv,False,0.5824595040176064
"('metric', 'min_samples')",0.03245746776976562,vowel_RL.csv,False,0.5824595040176064
"('eps', 'leaf_size')",0.02941903298944718,vowel_RL.csv,False,0.5824595040176064
"('leaf_size', 'metric')",0.019292938412221433,vowel_RL.csv,False,0.5824595040176064
"('algorithm', 'min_samples')",0.01421041648608799,vowel_RL.csv,False,0.5824595040176064
"('algorithm', 'eps')",0.007148621720832841,vowel_RL.csv,False,0.5824595040176064
"('algorithm', 'metric')",0.0028451319665386203,vowel_RL.csv,False,0.5824595040176064
"('algorithm', 'leaf_size')",0.0005359753991031773,vowel_RL.csv,False,0.5824595040176064
"('eps', 'min_samples', 'metric')",0.03315420103960023,vowel_RL.csv,False,0.5824595040176064
"('eps', 'algorithm', 'leaf_size')",0.00010639913341924676,vowel_RL.csv,False,0.5824595040176064
algorithm,0.01149743441917751,cluto-t4-8k.csv,False,0.4531378719257191
eps,0.7184427410289971,cluto-t4-8k.csv,False,0.4531378719257191
leaf_size,0.025580146214199448,cluto-t4-8k.csv,False,0.4531378719257191
metric,0.002509689918058999,cluto-t4-8k.csv,False,0.4531378719257191
min_samples,0.01630497396538462,cluto-t4-8k.csv,False,0.4531378719257191
"('eps', 'leaf_size')",0.059501704654584944,cluto-t4-8k.csv,False,0.4531378719257191
"('algorithm', 'eps')",0.059304960457588825,cluto-t4-8k.csv,False,0.4531378719257191
"('eps', 'min_samples')",0.02688254342633829,cluto-t4-8k.csv,False,0.4531378719257191
"('leaf_size', 'min_samples')",0.006752755431658319,cluto-t4-8k.csv,False,0.4531378719257191
"('eps', 'metric')",0.006127734243999605,cluto-t4-8k.csv,False,0.4531378719257191
"('algorithm', 'min_samples')",0.005306477095036614,cluto-t4-8k.csv,False,0.4531378719257191
"('algorithm', 'leaf_size')",0.0038702827725592857,cluto-t4-8k.csv,False,0.4531378719257191
"('metric', 'min_samples')",0.002134716051862467,cluto-t4-8k.csv,False,0.4531378719257191
"('algorithm', 'metric')",0.0018369363521712023,cluto-t4-8k.csv,False,0.4531378719257191
"('leaf_size', 'metric')",0.0015933628872885795,cluto-t4-8k.csv,False,0.4531378719257191
"('eps', 'min_samples', 'metric')",0.0025430515702358648,cluto-t4-8k.csv,False,0.4531378719257191
"('eps', 'algorithm', 'leaf_size')",0.013570804497466225,cluto-t4-8k.csv,False,0.4531378719257191
algorithm,0.002919149845833577,yeast_RL.csv,False,1.9725564159452915
eps,0.46101374316508553,yeast_RL.csv,False,1.9725564159452915
leaf_size,0.03084943404244898,yeast_RL.csv,False,1.9725564159452915
metric,0.10281373120968955,yeast_RL.csv,False,1.9725564159452915
min_samples,0.006230642691391592,yeast_RL.csv,False,1.9725564159452915
"('eps', 'metric')",0.2262333642077072,yeast_RL.csv,False,1.9725564159452915
"('eps', 'leaf_size')",0.03898203523747654,yeast_RL.csv,False,1.9725564159452915
"('eps', 'min_samples')",0.022615228407460827,yeast_RL.csv,False,1.9725564159452915
"('leaf_size', 'metric')",0.014826015168882642,yeast_RL.csv,False,1.9725564159452915
"('algorithm', 'eps')",0.011905687149652948,yeast_RL.csv,False,1.9725564159452915
"('metric', 'min_samples')",0.010436128816524304,yeast_RL.csv,False,1.9725564159452915
"('leaf_size', 'min_samples')",0.006981911401679168,yeast_RL.csv,False,1.9725564159452915
"('algorithm', 'metric')",0.003301081533630436,yeast_RL.csv,False,1.9725564159452915
"('algorithm', 'leaf_size')",0.00302971160659605,yeast_RL.csv,False,1.9725564159452915
"('algorithm', 'min_samples')",0.0011946311377246696,yeast_RL.csv,False,1.9725564159452915
"('eps', 'min_samples', 'metric')",0.012578657855641204,yeast_RL.csv,False,1.9725564159452915
"('eps', 'algorithm', 'leaf_size')",0.0020872340587607657,yeast_RL.csv,False,1.9725564159452915
algorithm,0.007047687212963201,engytime.csv,False,3.073102085967548
eps,0.29421836963324693,engytime.csv,False,3.073102085967548
leaf_size,0.06720714860842958,engytime.csv,False,3.073102085967548
metric,0.011183450265583143,engytime.csv,False,3.073102085967548
min_samples,0.06505463832869463,engytime.csv,False,3.073102085967548
"('eps', 'min_samples')",0.1797000462393267,engytime.csv,False,3.073102085967548
"('eps', 'leaf_size')",0.13763834727214475,engytime.csv,False,3.073102085967548
"('leaf_size', 'min_samples')",0.03670305525572454,engytime.csv,False,3.073102085967548
"('metric', 'min_samples')",0.02470737114876418,engytime.csv,False,3.073102085967548
"('eps', 'metric')",0.020712106340241794,engytime.csv,False,3.073102085967548
"('algorithm', 'eps')",0.017421571343184936,engytime.csv,False,3.073102085967548
"('leaf_size', 'metric')",0.012953271575051543,engytime.csv,False,3.073102085967548
"('algorithm', 'min_samples')",0.012950634678872221,engytime.csv,False,3.073102085967548
"('algorithm', 'leaf_size')",0.007776638942745814,engytime.csv,False,3.073102085967548
"('algorithm', 'metric')",0.001467440470587623,engytime.csv,False,3.073102085967548
"('eps', 'min_samples', 'metric')",0.011789012768673234,engytime.csv,False,3.073102085967548
"('eps', 'algorithm', 'leaf_size')",0.006345338071418233,engytime.csv,False,3.073102085967548
algorithm,0.005510854917958363,hypercube.csv,False,1.6809266089694574
eps,0.773430840840861,hypercube.csv,False,1.6809266089694574
leaf_size,0.02618362196928723,hypercube.csv,False,1.6809266089694574
metric,0.003663205290099671,hypercube.csv,False,1.6809266089694574
min_samples,0.00650562135401571,hypercube.csv,False,1.6809266089694574
"('eps', 'leaf_size')",0.04118727944944571,hypercube.csv,False,1.6809266089694574
"('eps', 'metric')",0.029317465839393618,hypercube.csv,False,1.6809266089694574
"('algorithm', 'eps')",0.024524197934804363,hypercube.csv,False,1.6809266089694574
"('eps', 'min_samples')",0.024315410799885126,hypercube.csv,False,1.6809266089694574
"('algorithm', 'leaf_size')",0.006599659778787975,hypercube.csv,False,1.6809266089694574
"('algorithm', 'min_samples')",0.005050328708306682,hypercube.csv,False,1.6809266089694574
