param,importance,dataset,imputation,time_taken
algorithm,0.01721121383116219,dense-disk-3000.csv,False,0.957475406001322
eps,0.4081227885939678,dense-disk-3000.csv,False,0.957475406001322
leaf_size,0.03977835658220189,dense-disk-3000.csv,False,0.957475406001322
metric,0.0005714893572848861,dense-disk-3000.csv,False,0.957475406001322
min_samples,0.0319655138742722,dense-disk-3000.csv,False,0.957475406001322
"('eps', 'min_samples')",0.20961322283372585,dense-disk-3000.csv,False,0.957475406001322
"('algorithm', 'leaf_size')",0.08894156522765578,dense-disk-3000.csv,False,0.957475406001322
"('algorithm', 'eps')",0.08613502041867015,dense-disk-3000.csv,False,0.957475406001322
"('leaf_size', 'min_samples')",0.02637853128775692,dense-disk-3000.csv,False,0.957475406001322
"('eps', 'leaf_size')",0.01586736196444587,dense-disk-3000.csv,False,0.957475406001322
"('eps', 'metric')",0.01212406302955536,dense-disk-3000.csv,False,0.957475406001322
"('metric', 'min_samples')",0.00406914590417422,dense-disk-3000.csv,False,0.957475406001322
"('algorithm', 'metric')",0.0028003657373419917,dense-disk-3000.csv,False,0.957475406001322
"('leaf_size', 'metric')",0.002740433233526384,dense-disk-3000.csv,False,0.957475406001322
"('algorithm', 'min_samples')",0.0005403794360165861,dense-disk-3000.csv,False,0.957475406001322
"('eps', 'min_samples', 'metric')",0.0019586169800775415,dense-disk-3000.csv,False,0.957475406001322
"('eps', 'algorithm', 'leaf_size')",0.018184327232726873,dense-disk-3000.csv,False,0.957475406001322
algorithm,0.021759550368463075,spherical_4_3.csv,False,2.8071056810440496
eps,0.24834643718730148,spherical_4_3.csv,False,2.8071056810440496
leaf_size,0.08984900404017224,spherical_4_3.csv,False,2.8071056810440496
metric,0.010941032680844913,spherical_4_3.csv,False,2.8071056810440496
min_samples,0.0481112373458137,spherical_4_3.csv,False,2.8071056810440496
"('eps', 'min_samples')",0.12987150491166977,spherical_4_3.csv,False,2.8071056810440496
"('eps', 'leaf_size')",0.09715330576116907,spherical_4_3.csv,False,2.8071056810440496
"('eps', 'metric')",0.052618301682932134,spherical_4_3.csv,False,2.8071056810440496
"('algorithm', 'eps')",0.038382676485883345,spherical_4_3.csv,False,2.8071056810440496
