dataset,eps,min_samples,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
disk_1000n.csv,0.4604366028789775,19,l2,auto,22,,Synthetic,0.012365523027256131,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6821534450565168,14,euclidean,ball_tree,30,,Synthetic,0.005952326930128038,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.07923800021254578,2,euclidean,auto,30,,Synthetic,0.004582919063977897,0.44255055055055054,0.023255906555180127,0.14966651905464473,0.19355160449974526,0.15891758007314802,1.5990703474904668,10.216344696177947,0.15743926749165207,0.011770479618243738,0.0420302128487036,0.12267617813004306
disk_1000n.csv,0.14818410242049182,12,manhattan,brute,35,,Synthetic,0.009892683010548351,0.5955175175175175,0.05131118791263138,0.06474679104090553,0.06612507810105837,-0.2412389475178513,3.050650381445111,2.038112936736998,0.0,0.027789787398486625,0.04374774497598834,inf
disk_1000n.csv,0.6797346464278298,11,euclidean,ball_tree,35,,Synthetic,0.06256604904774576,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.1201241775490994,15,manhattan,auto,12,,Synthetic,0.007884830003604295,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.2952518544830093,3,euclidean,brute,3,,Synthetic,0.03683145996183157,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.2681926030555177,13,manhattan,auto,16,,Synthetic,0.00586539099458605,0.515975975975976,0.10784293257490453,0.2404118348955845,0.24502553457925244,-0.09341468920698874,1.5323101732931848,64.92328039855319,0.011875348398902126,0.1819000518874692,0.11848666570712516,1.213088695046533
disk_1000n.csv,0.35242429113849777,3,l1,kd_tree,29,,Synthetic,0.008021090994589029,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6353288255259415,7,l1,kd_tree,20,,Synthetic,0.009720503003336493,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.9386412619596802,7,l2,auto,30,,Synthetic,0.011133673950098457,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6288481333405754,12,manhattan,brute,32,,Synthetic,0.014773489907383919,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.9944369504581168,10,euclidean,ball_tree,42,,Synthetic,0.008581958943977952,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.3764506414182313,2,manhattan,auto,39,,Synthetic,0.007560238009318709,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.2719366465802433,6,euclidean,brute,4,,Synthetic,0.02756005502305925,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.03836093764934663,14,euclidean,brute,18,,Synthetic,0.032630747999064624,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.31596947352411103,18,l1,ball_tree,22,,Synthetic,0.005816795048303902,0.5649109109109111,0.19083614346848984,0.2919465332303593,0.29482985035305953,-0.10855027168776983,1.8202496653911064,78.76039026831967,0.012533419441238895,0.15583073805126893,0.1435465002305538,1.5565137738175168
disk_1000n.csv,0.6500629902144,11,l2,kd_tree,31,,Synthetic,0.00963076506741345,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.4247956832092917,17,euclidean,kd_tree,43,,Synthetic,0.007910592015832663,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.7923876179747222,16,l1,kd_tree,19,,Synthetic,0.010278776986524464,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.39101875698450345,9,l1,ball_tree,15,,Synthetic,0.005200420971959829,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.11636562306345645,8,l2,kd_tree,17,,Synthetic,0.004522545961663127,0.6157437437437437,0.1898292506899953,0.20826942008288712,0.2168511141786696,-0.4477451115595668,4.822567630539387,8.294151834855754,0.10628527753091048,0.01942837856874314,0.06610173442521464,3.127816642259932
disk_1000n.csv,0.9853771176126396,17,l2,brute,10,,Synthetic,0.040681637008674436,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.13842044295130793,8,l2,ball_tree,6,,Synthetic,0.003425867995247245,0.5709029029029029,0.1885597616663058,0.2457168170368682,0.2547711997006401,-0.2311501655861901,2.064363371946151,15.668013945451696,0.04235780710659085,0.032679158051283436,0.07379342463179889,0.8528544303467938
disk_1000n.csv,0.8094510938830486,2,l1,auto,21,,Synthetic,0.010489703970961273,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.5560991135888907,9,l1,kd_tree,29,,Synthetic,0.009080211049877107,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.7294992957507448,17,l1,ball_tree,5,,Synthetic,0.007445423980243505,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.7306610288048093,17,l2,auto,14,,Synthetic,0.011888892971910536,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.06049895977289323,9,l1,kd_tree,18,,Synthetic,0.003966924967244268,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.045409574983909635,12,l1,ball_tree,13,,Synthetic,0.004109878093004228,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.853749835960306,2,euclidean,kd_tree,20,,Synthetic,0.014629433979280291,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.7160000474692956,4,euclidean,auto,47,,Synthetic,0.009053843095898628,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
