param,importance,dataset,imputation,time_taken
algorithm,0.021147432970443122,disk_1000n.csv,False,0.5446290590334684
eps,0.4327079059249704,disk_1000n.csv,False,0.5446290590334684
leaf_size,0.02890335603333939,disk_1000n.csv,False,0.5446290590334684
metric,0.013389341909072204,disk_1000n.csv,False,0.5446290590334684
min_samples,0.04424204108213795,disk_1000n.csv,False,0.5446290590334684
"('eps', 'min_samples')",0.1233844326576096,disk_1000n.csv,False,0.5446290590334684
"('algorithm', 'eps')",0.06346037456249859,disk_1000n.csv,False,0.5446290590334684
"('eps', 'leaf_size')",0.05663059121272007,disk_1000n.csv,False,0.5446290590334684
"('eps', 'metric')",0.055715850472881585,disk_1000n.csv,False,0.5446290590334684
"('algorithm', 'min_samples')",0.01593612106116946,disk_1000n.csv,False,0.5446290590334684
"('metric', 'min_samples')",0.015508749063590626,disk_1000n.csv,False,0.5446290590334684
"('leaf_size', 'min_samples')",0.011891552868645558,disk_1000n.csv,False,0.5446290590334684
"('algorithm', 'metric')",0.005953049523522589,disk_1000n.csv,False,0.5446290590334684
"('algorithm', 'leaf_size')",0.0059368371901907975,disk_1000n.csv,False,0.5446290590334684
"('leaf_size', 'metric')",0.005787216922731422,disk_1000n.csv,False,0.5446290590334684
"('eps', 'min_samples', 'metric')",0.024156000503790333,disk_1000n.csv,False,0.5446290590334684
"('eps', 'algorithm', 'leaf_size')",0.013652866545066006,disk_1000n.csv,False,0.5446290590334684
algorithm,0.014392368232745952,segment_RL.csv,False,3.6926093889633194
eps,0.19137612222364409,segment_RL.csv,False,3.6926093889633194
leaf_size,0.044809407355265916,segment_RL.csv,False,3.6926093889633194
metric,0.019089688392026904,segment_RL.csv,False,3.6926093889633194
min_samples,0.23151025876804615,segment_RL.csv,False,3.6926093889633194
"('eps', 'min_samples')",0.1802132702500888,segment_RL.csv,False,3.6926093889633194
"('eps', 'leaf_size')",0.037834555697103034,segment_RL.csv,False,3.6926093889633194
"('eps', 'metric')",0.032146467451323116,segment_RL.csv,False,3.6926093889633194
"('leaf_size', 'min_samples')",0.02838396657296561,segment_RL.csv,False,3.6926093889633194
"('algorithm', 'eps')",0.02298342820065178,segment_RL.csv,False,3.6926093889633194
"('metric', 'min_samples')",0.022088093701573427,segment_RL.csv,False,3.6926093889633194
"('algorithm', 'min_samples')",0.015713263393947227,segment_RL.csv,False,3.6926093889633194
"('algorithm', 'leaf_size')",0.014353950069202202,segment_RL.csv,False,3.6926093889633194
"('leaf_size', 'metric')",0.010991337950033547,segment_RL.csv,False,3.6926093889633194
"('algorithm', 'metric')",0.005877302747086577,segment_RL.csv,False,3.6926093889633194
"('eps', 'min_samples', 'metric')",0.022840243373815544,segment_RL.csv,False,3.6926093889633194
"('eps', 'algorithm', 'leaf_size')",0.0091504700220696,segment_RL.csv,False,3.6926093889633194
algorithm,0.007281118276221666,dense-disk-3000.csv,False,0.6773590280208737
eps,0.6248038149070101,dense-disk-3000.csv,False,0.6773590280208737
leaf_size,0.03674048407192326,dense-disk-3000.csv,False,0.6773590280208737
metric,0.00673925872579099,dense-disk-3000.csv,False,0.6773590280208737
min_samples,0.017871253629331785,dense-disk-3000.csv,False,0.6773590280208737
"('eps', 'leaf_size')",0.0689539943294707,dense-disk-3000.csv,False,0.6773590280208737
"('eps', 'min_samples')",0.05962818189709049,dense-disk-3000.csv,False,0.6773590280208737
"('algorithm', 'eps')",0.033656493991008694,dense-disk-3000.csv,False,0.6773590280208737
"('eps', 'metric')",0.03120715689854931,dense-disk-3000.csv,False,0.6773590280208737
"('leaf_size', 'metric')",0.016826246134547352,dense-disk-3000.csv,False,0.6773590280208737
"('leaf_size', 'min_samples')",0.012925428427351168,dense-disk-3000.csv,False,0.6773590280208737
"('algorithm', 'leaf_size')",0.009633605646927118,dense-disk-3000.csv,False,0.6773590280208737
"('algorithm', 'min_samples')",0.006225283804972885,dense-disk-3000.csv,False,0.6773590280208737
"('algorithm', 'metric')",0.005245304419279156,dense-disk-3000.csv,False,0.6773590280208737
"('metric', 'min_samples')",0.002007038826752662,dense-disk-3000.csv,False,0.6773590280208737
"('eps', 'min_samples', 'metric')",0.0048762919742425595,dense-disk-3000.csv,False,0.6773590280208737
"('eps', 'algorithm', 'leaf_size')",0.009792041852944921,dense-disk-3000.csv,False,0.6773590280208737
algorithm,0.003634433615671036,spherical_4_3.csv,False,0.8916845399653539
eps,0.653432859560866,spherical_4_3.csv,False,0.8916845399653539
leaf_size,0.02374065590029394,spherical_4_3.csv,False,0.8916845399653539
metric,0.03018018911948697,spherical_4_3.csv,False,0.8916845399653539
min_samples,0.018541303054786743,spherical_4_3.csv,False,0.8916845399653539
"('eps', 'metric')",0.11659841465889911,spherical_4_3.csv,False,0.8916845399653539
"('eps', 'leaf_size')",0.044115065373917794,spherical_4_3.csv,False,0.8916845399653539
"('eps', 'min_samples')",0.027356198130728735,spherical_4_3.csv,False,0.8916845399653539
"('leaf_size', 'metric')",0.009477474206091838,spherical_4_3.csv,False,0.8916845399653539
"('metric', 'min_samples')",0.008197986408224354,spherical_4_3.csv,False,0.8916845399653539
"('algorithm', 'eps')",0.007302213106209189,spherical_4_3.csv,False,0.8916845399653539
"('leaf_size', 'min_samples')",0.005788845796962783,spherical_4_3.csv,False,0.8916845399653539
"('algorithm', 'leaf_size')",0.005162073627048557,spherical_4_3.csv,False,0.8916845399653539
"('algorithm', 'min_samples')",0.0036857236473663633,spherical_4_3.csv,False,0.8916845399653539
"('algorithm', 'metric')",0.001980730701250823,spherical_4_3.csv,False,0.8916845399653539
"('eps', 'min_samples', 'metric')",0.006741421673361884,spherical_4_3.csv,False,0.8916845399653539
"('eps', 'algorithm', 'leaf_size')",0.004213298831229201,spherical_4_3.csv,False,0.8916845399653539
algorithm,0.0005514630526153115,dim064.csv,False,4.881467591971159
eps,0.15685189988329673,dim064.csv,False,4.881467591971159
leaf_size,0.011317334674879316,dim064.csv,False,4.881467591971159
metric,0.545963852126027,dim064.csv,False,4.881467591971159
min_samples,0.014440995346541426,dim064.csv,False,4.881467591971159
"('eps', 'metric')",0.20163033816160714,dim064.csv,False,4.881467591971159
"('eps', 'min_samples')",0.011148300240960878,dim064.csv,False,4.881467591971159
"('metric', 'min_samples')",0.009308869035280871,dim064.csv,False,4.881467591971159
"('eps', 'leaf_size')",0.007900824511564309,dim064.csv,False,4.881467591971159
"('leaf_size', 'metric')",0.007190654591546023,dim064.csv,False,4.881467591971159
"('leaf_size', 'min_samples')",0.003436761501198162,dim064.csv,False,4.881467591971159
"('algorithm', 'eps')",0.0013839094195564263,dim064.csv,False,4.881467591971159
"('algorithm', 'metric')",0.0009052415455778882,dim064.csv,False,4.881467591971159
"('algorithm', 'min_samples')",0.000697823547055525,dim064.csv,False,4.881467591971159
"('algorithm', 'leaf_size')",0.00029371783796142375,dim064.csv,False,4.881467591971159
"('eps', 'min_samples', 'metric')",0.009778023523597943,dim064.csv,False,4.881467591971159
"('eps', 'algorithm', 'leaf_size')",0.00031174738453790946,dim064.csv,False,4.881467591971159
algorithm,0.005136436028461127,vowel_RL.csv,False,0.6932400369551033
eps,0.14462561025588316,vowel_RL.csv,False,0.6932400369551033
leaf_size,0.02472963676737592,vowel_RL.csv,False,0.6932400369551033
metric,0.015269938221057051,vowel_RL.csv,False,0.6932400369551033
min_samples,0.20260750591763915,vowel_RL.csv,False,0.6932400369551033
"('eps', 'min_samples')",0.3197119370331162,vowel_RL.csv,False,0.6932400369551033
"('leaf_size', 'min_samples')",0.059193252428235046,vowel_RL.csv,False,0.6932400369551033
"('eps', 'metric')",0.053102686467747046,vowel_RL.csv,False,0.6932400369551033
"('algorithm', 'min_samples')",0.03077768126648224,vowel_RL.csv,False,0.6932400369551033
"('metric', 'min_samples')",0.029278540662866524,vowel_RL.csv,False,0.6932400369551033
"('eps', 'leaf_size')",0.017466701582576835,vowel_RL.csv,False,0.6932400369551033
"('leaf_size', 'metric')",0.014173321399567115,vowel_RL.csv,False,0.6932400369551033
"('algorithm', 'eps')",0.012639154786972686,vowel_RL.csv,False,0.6932400369551033
"('algorithm', 'leaf_size')",0.0033905265230089843,vowel_RL.csv,False,0.6932400369551033
"('algorithm', 'metric')",0.0011672883659702249,vowel_RL.csv,False,0.6932400369551033
"('eps', 'min_samples', 'metric')",0.012954972173278557,vowel_RL.csv,False,0.6932400369551033
"('eps', 'algorithm', 'leaf_size')",0.002363498397779001,vowel_RL.csv,False,0.6932400369551033
algorithm,0.01628294474761132,cluto-t4-8k.csv,False,0.4634370249696076
eps,0.5335425052899129,cluto-t4-8k.csv,False,0.4634370249696076
leaf_size,0.013742022742504413,cluto-t4-8k.csv,False,0.4634370249696076
metric,0.013371846317650243,cluto-t4-8k.csv,False,0.4634370249696076
min_samples,0.01925971016743187,cluto-t4-8k.csv,False,0.4634370249696076
"('eps', 'metric')",0.08632812913962207,cluto-t4-8k.csv,False,0.4634370249696076
"('eps', 'min_samples')",0.0838242605232226,cluto-t4-8k.csv,False,0.4634370249696076
"('algorithm', 'eps')",0.07267959419177435,cluto-t4-8k.csv,False,0.4634370249696076
"('eps', 'leaf_size')",0.06706682281312047,cluto-t4-8k.csv,False,0.4634370249696076
"('algorithm', 'min_samples')",0.012136875105584305,cluto-t4-8k.csv,False,0.4634370249696076
"('leaf_size', 'metric')",0.00879554326105451,cluto-t4-8k.csv,False,0.4634370249696076
"('metric', 'min_samples')",0.0028177085928214156,cluto-t4-8k.csv,False,0.4634370249696076
"('algorithm', 'leaf_size')",0.002769147121002895,cluto-t4-8k.csv,False,0.4634370249696076
"('algorithm', 'metric')",0.0015476854553605531,cluto-t4-8k.csv,False,0.4634370249696076
"('leaf_size', 'min_samples')",0.0012028155739415563,cluto-t4-8k.csv,False,0.4634370249696076
"('eps', 'min_samples', 'metric')",0.0073773619590849875,cluto-t4-8k.csv,False,0.4634370249696076
"('eps', 'algorithm', 'leaf_size')",0.007569349097403198,cluto-t4-8k.csv,False,0.4634370249696076
algorithm,0.013752792324286344,yeast_RL.csv,False,1.8991600020090118
eps,0.12804655769096024,yeast_RL.csv,False,1.8991600020090118
leaf_size,0.12517620854536862,yeast_RL.csv,False,1.8991600020090118
metric,0.021858093697117827,yeast_RL.csv,False,1.8991600020090118
min_samples,0.3416502896634823,yeast_RL.csv,False,1.8991600020090118
"('eps', 'metric')",0.0565831416180035,yeast_RL.csv,False,1.8991600020090118
"('eps', 'min_samples')",0.049180381177349464,yeast_RL.csv,False,1.8991600020090118
