param,importance,dataset,imputation,time_taken
algorithm,0.001534604196362426,vertebral_RL.csv,False,3.7516143650282174
init,0.0022373294019869456,vertebral_RL.csv,False,3.7516143650282174
max_iter,0.017672159938461527,vertebral_RL.csv,False,3.7516143650282174
n_clusters,0.8374418964653347,vertebral_RL.csv,False,3.7516143650282174
n_init,0.006079695268788531,vertebral_RL.csv,False,3.7516143650282174
tol,0.007134502493301236,vertebral_RL.csv,False,3.7516143650282174
"('max_iter', 'n_clusters')",0.026149727887156568,vertebral_RL.csv,False,3.7516143650282174
"('n_clusters', 'n_init')",0.023704621487465247,vertebral_RL.csv,False,3.7516143650282174
"('n_clusters', 'tol')",0.018923435234561845,vertebral_RL.csv,False,3.7516143650282174
"('max_iter', 'n_init')",0.010297621168846194,vertebral_RL.csv,False,3.7516143650282174
"('algorithm', 'n_clusters')",0.006899382551278809,vertebral_RL.csv,False,3.7516143650282174
"('init', 'n_clusters')",0.0061661938626191995,vertebral_RL.csv,False,3.7516143650282174
"('n_init', 'tol')",0.0037644094056508972,vertebral_RL.csv,False,3.7516143650282174
"('max_iter', 'tol')",0.0013936765204162658,vertebral_RL.csv,False,3.7516143650282174
"('algorithm', 'n_init')",0.0012305305876123326,vertebral_RL.csv,False,3.7516143650282174
"('init', 'tol')",0.0009967544501652366,vertebral_RL.csv,False,3.7516143650282174
"('n_clusters', 'init', 'max_iter')",0.0003378113037999389,vertebral_RL.csv,False,3.7516143650282174
"('n_clusters', 'init', 'algorithm')",0.00031837542111978756,vertebral_RL.csv,False,3.7516143650282174
algorithm,0.0039000272494655527,dense-disk-5000.csv,False,3.748296065023169
init,0.000488384947398481,dense-disk-5000.csv,False,3.748296065023169
max_iter,0.0028915517972016727,dense-disk-5000.csv,False,3.748296065023169
n_clusters,0.827004235261152,dense-disk-5000.csv,False,3.748296065023169
n_init,0.0040653637958921445,dense-disk-5000.csv,False,3.748296065023169
tol,0.013136664116394952,dense-disk-5000.csv,False,3.748296065023169
"('n_clusters', 'tol')",0.04227701590244705,dense-disk-5000.csv,False,3.748296065023169
"('max_iter', 'n_clusters')",0.026869556790544175,dense-disk-5000.csv,False,3.748296065023169
"('algorithm', 'n_clusters')",0.025949714007013555,dense-disk-5000.csv,False,3.748296065023169
"('n_clusters', 'n_init')",0.014947169456157303,dense-disk-5000.csv,False,3.748296065023169
"('max_iter', 'tol')",0.0039253891527924,dense-disk-5000.csv,False,3.748296065023169
"('n_init', 'tol')",0.0029133995266762735,dense-disk-5000.csv,False,3.748296065023169
"('init', 'n_clusters')",0.0028787313771782173,dense-disk-5000.csv,False,3.748296065023169
"('algorithm', 'tol')",0.0022690460953529055,dense-disk-5000.csv,False,3.748296065023169
"('max_iter', 'n_init')",0.0014796701683806516,dense-disk-5000.csv,False,3.748296065023169
"('algorithm', 'n_init')",0.0009022714194238448,dense-disk-5000.csv,False,3.748296065023169
"('n_clusters', 'init', 'max_iter')",0.0001135636566815602,dense-disk-5000.csv,False,3.748296065023169
"('n_clusters', 'init', 'algorithm')",0.00020529423575949197,dense-disk-5000.csv,False,3.748296065023169
algorithm,0.004474919428019307,wine_RL.csv,False,3.6757416329346597
init,0.007713761839245177,wine_RL.csv,False,3.6757416329346597
max_iter,0.020814925317784432,wine_RL.csv,False,3.6757416329346597
n_clusters,0.6552812534737003,wine_RL.csv,False,3.6757416329346597
n_init,0.040055349944709454,wine_RL.csv,False,3.6757416329346597
tol,0.018719324381852483,wine_RL.csv,False,3.6757416329346597
"('n_clusters', 'n_init')",0.06497268338653653,wine_RL.csv,False,3.6757416329346597
"('max_iter', 'n_clusters')",0.03377564021486963,wine_RL.csv,False,3.6757416329346597
"('n_clusters', 'tol')",0.026837653241998622,wine_RL.csv,False,3.6757416329346597
"('init', 'n_clusters')",0.014910710569216374,wine_RL.csv,False,3.6757416329346597
"('algorithm', 'n_clusters')",0.010740342197747943,wine_RL.csv,False,3.6757416329346597
"('max_iter', 'n_init')",0.007577131226902098,wine_RL.csv,False,3.6757416329346597
"('algorithm', 'max_iter')",0.006115234404362129,wine_RL.csv,False,3.6757416329346597
"('algorithm', 'n_init')",0.005131457886987337,wine_RL.csv,False,3.6757416329346597
"('algorithm', 'tol')",0.005052170896193689,wine_RL.csv,False,3.6757416329346597
"('max_iter', 'tol')",0.004996209795292297,wine_RL.csv,False,3.6757416329346597
"('n_clusters', 'init', 'max_iter')",0.002641604114995835,wine_RL.csv,False,3.6757416329346597
"('n_clusters', 'init', 'algorithm')",0.00143262625320146,wine_RL.csv,False,3.6757416329346597
algorithm,0.006337115112690894,disk_4500n.csv,False,3.848555542062968
init,0.0014913491410158705,disk_4500n.csv,False,3.848555542062968
max_iter,0.033784260963570595,disk_4500n.csv,False,3.848555542062968
n_clusters,0.759500909408243,disk_4500n.csv,False,3.848555542062968
n_init,0.0057307036420566945,disk_4500n.csv,False,3.848555542062968
tol,0.013717535814196305,disk_4500n.csv,False,3.848555542062968
"('max_iter', 'n_clusters')",0.07002658641859533,disk_4500n.csv,False,3.848555542062968
"('n_clusters', 'n_init')",0.021505346957124936,disk_4500n.csv,False,3.848555542062968
"('algorithm', 'max_iter')",0.01691398891191619,disk_4500n.csv,False,3.848555542062968
"('max_iter', 'n_init')",0.01394893535437762,disk_4500n.csv,False,3.848555542062968
"('n_clusters', 'tol')",0.013508163918456311,disk_4500n.csv,False,3.848555542062968
