param,importance,dataset,imputation,time_taken
algorithm,0.00022779296482776916,vertebral_RL.csv,False,0.4007785420399159
init,0.0026237005715244476,vertebral_RL.csv,False,0.4007785420399159
max_iter,0.03807583323758813,vertebral_RL.csv,False,0.4007785420399159
n_clusters,0.6964473457151347,vertebral_RL.csv,False,0.4007785420399159
n_init,0.09808566631843885,vertebral_RL.csv,False,0.4007785420399159
tol,0.008583449651723762,vertebral_RL.csv,False,0.4007785420399159
"('n_clusters', 'n_init')",0.0640850891953656,vertebral_RL.csv,False,0.4007785420399159
"('max_iter', 'n_init')",0.02312738985305742,vertebral_RL.csv,False,0.4007785420399159
"('n_init', 'tol')",0.01626809999903944,vertebral_RL.csv,False,0.4007785420399159
"('init', 'n_clusters')",0.013527094429570828,vertebral_RL.csv,False,0.4007785420399159
"('max_iter', 'n_clusters')",0.012504439105224094,vertebral_RL.csv,False,0.4007785420399159
"('max_iter', 'tol')",0.0053486499614124015,vertebral_RL.csv,False,0.4007785420399159
"('algorithm', 'n_clusters')",0.004805703322427324,vertebral_RL.csv,False,0.4007785420399159
"('algorithm', 'n_init')",0.002762489206337776,vertebral_RL.csv,False,0.4007785420399159
"('n_clusters', 'tol')",0.002342061016141568,vertebral_RL.csv,False,0.4007785420399159
"('algorithm', 'max_iter')",0.0006570006009974818,vertebral_RL.csv,False,0.4007785420399159
"('n_clusters', 'init', 'max_iter')",5.06369655421936e-05,vertebral_RL.csv,False,0.4007785420399159
"('n_clusters', 'init', 'algorithm')",5.482347966297757e-06,vertebral_RL.csv,False,0.4007785420399159
algorithm,0.016970057602264194,dense-disk-5000.csv,False,4.470995216048323
init,0.004318620581190206,dense-disk-5000.csv,False,4.470995216048323
max_iter,0.07458027394104476,dense-disk-5000.csv,False,4.470995216048323
n_clusters,0.3139307539880533,dense-disk-5000.csv,False,4.470995216048323
n_init,0.03860162250709866,dense-disk-5000.csv,False,4.470995216048323
tol,0.05024209988037547,dense-disk-5000.csv,False,4.470995216048323
"('max_iter', 'n_clusters')",0.07844241132337328,dense-disk-5000.csv,False,4.470995216048323
"('n_clusters', 'tol')",0.07092502551687457,dense-disk-5000.csv,False,4.470995216048323
"('n_clusters', 'n_init')",0.059435979371573106,dense-disk-5000.csv,False,4.470995216048323
"('max_iter', 'tol')",0.026667303199924323,dense-disk-5000.csv,False,4.470995216048323
"('algorithm', 'n_clusters')",0.024086246410147137,dense-disk-5000.csv,False,4.470995216048323
"('max_iter', 'n_init')",0.021962331829738214,dense-disk-5000.csv,False,4.470995216048323
"('n_init', 'tol')",0.018732343541279544,dense-disk-5000.csv,False,4.470995216048323
"('algorithm', 'max_iter')",0.008538731055118957,dense-disk-5000.csv,False,4.470995216048323
"('algorithm', 'tol')",0.007140996177813453,dense-disk-5000.csv,False,4.470995216048323
"('init', 'n_clusters')",0.005616493409850348,dense-disk-5000.csv,False,4.470995216048323
"('n_clusters', 'init', 'max_iter')",0.002312244429287747,dense-disk-5000.csv,False,4.470995216048323
"('n_clusters', 'init', 'algorithm')",0.002355426749889338,dense-disk-5000.csv,False,4.470995216048323
algorithm,0.01253903043694058,wine_RL.csv,False,1.5534860769985244
init,0.0010098390302489698,wine_RL.csv,False,1.5534860769985244
max_iter,0.05944714964328536,wine_RL.csv,False,1.5534860769985244
n_clusters,0.5241441146812763,wine_RL.csv,False,1.5534860769985244
n_init,0.02389866969696798,wine_RL.csv,False,1.5534860769985244
tol,0.030713184596199206,wine_RL.csv,False,1.5534860769985244
"('max_iter', 'n_clusters')",0.09334497250651558,wine_RL.csv,False,1.5534860769985244
"('n_clusters', 'tol')",0.05275139255934461,wine_RL.csv,False,1.5534860769985244
"('n_clusters', 'n_init')",0.039024576225720295,wine_RL.csv,False,1.5534860769985244
"('max_iter', 'tol')",0.016325376834954136,wine_RL.csv,False,1.5534860769985244
"('algorithm', 'n_clusters')",0.01456659943779818,wine_RL.csv,False,1.5534860769985244
"('n_init', 'tol')",0.013028649087139944,wine_RL.csv,False,1.5534860769985244
"('max_iter', 'n_init')",0.012914571256450035,wine_RL.csv,False,1.5534860769985244
"('algorithm', 'max_iter')",0.007799791719073339,wine_RL.csv,False,1.5534860769985244
"('init', 'n_clusters')",0.005467796635195019,wine_RL.csv,False,1.5534860769985244
"('algorithm', 'n_init')",0.004857006022233577,wine_RL.csv,False,1.5534860769985244
"('n_clusters', 'init', 'max_iter')",0.0002528258539008883,wine_RL.csv,False,1.5534860769985244
"('n_clusters', 'init', 'algorithm')",0.00019793048332979955,wine_RL.csv,False,1.5534860769985244
algorithm,0.01637513740682263,disk_4500n.csv,False,5.994347798987292
init,0.004114622981831187,disk_4500n.csv,False,5.994347798987292
max_iter,0.04881774606876178,disk_4500n.csv,False,5.994347798987292
n_clusters,0.3719054230841333,disk_4500n.csv,False,5.994347798987292
n_init,0.025446330153565642,disk_4500n.csv,False,5.994347798987292
tol,0.07400257319587489,disk_4500n.csv,False,5.994347798987292
"('n_clusters', 'tol')",0.071852876568974,disk_4500n.csv,False,5.994347798987292
"('max_iter', 'n_clusters')",0.0685110930478243,disk_4500n.csv,False,5.994347798987292
"('n_clusters', 'n_init')",0.037038290637348356,disk_4500n.csv,False,5.994347798987292
"('algorithm', 'n_clusters')",0.027107826578847836,disk_4500n.csv,False,5.994347798987292
"('max_iter', 'tol')",0.025986827445000953,disk_4500n.csv,False,5.994347798987292
"('n_init', 'tol')",0.018840599392306482,disk_4500n.csv,False,5.994347798987292
"('max_iter', 'n_init')",0.01764398528924943,disk_4500n.csv,False,5.994347798987292
"('init', 'n_clusters')",0.00922052677454462,disk_4500n.csv,False,5.994347798987292
"('algorithm', 'tol')",0.009114769839085676,disk_4500n.csv,False,5.994347798987292
"('algorithm', 'max_iter')",0.00898434632593597,disk_4500n.csv,False,5.994347798987292
"('n_clusters', 'init', 'max_iter')",0.0037625981522599397,disk_4500n.csv,False,5.994347798987292
"('n_clusters', 'init', 'algorithm')",0.0007505505182011258,disk_4500n.csv,False,5.994347798987292
algorithm,0.0560306430684935,disk_5000n.csv,False,5.5660375179722905
