param,importance,dataset,imputation,time_taken
algorithm,0.0011993626577912384,vertebral_RL.csv,False,4.548328806995414
init,0.0005708695736440758,vertebral_RL.csv,False,4.548328806995414
max_iter,0.032608908312423454,vertebral_RL.csv,False,4.548328806995414
n_clusters,0.8437694559102611,vertebral_RL.csv,False,4.548328806995414
n_init,0.0029195573475681038,vertebral_RL.csv,False,4.548328806995414
tol,0.006520114224023903,vertebral_RL.csv,False,4.548328806995414
"('max_iter', 'n_clusters')",0.05517500287429138,vertebral_RL.csv,False,4.548328806995414
"('n_clusters', 'tol')",0.017034911474025277,vertebral_RL.csv,False,4.548328806995414
"('max_iter', 'n_init')",0.012778586845999883,vertebral_RL.csv,False,4.548328806995414
"('n_clusters', 'n_init')",0.005788377438608623,vertebral_RL.csv,False,4.548328806995414
"('init', 'n_clusters')",0.004992341672219763,vertebral_RL.csv,False,4.548328806995414
"('algorithm', 'n_clusters')",0.0048621865821879984,vertebral_RL.csv,False,4.548328806995414
"('max_iter', 'tol')",0.001182894660989186,vertebral_RL.csv,False,4.548328806995414
"('init', 'max_iter')",0.0006808929209843227,vertebral_RL.csv,False,4.548328806995414
"('algorithm', 'max_iter')",0.0005118851941457446,vertebral_RL.csv,False,4.548328806995414
"('algorithm', 'tol')",0.000273153357699013,vertebral_RL.csv,False,4.548328806995414
"('n_clusters', 'init', 'max_iter')",0.002611731584548106,vertebral_RL.csv,False,4.548328806995414
"('n_clusters', 'init', 'algorithm')",5.36924266084734e-05,vertebral_RL.csv,False,4.548328806995414
algorithm,0.003626414020690822,dense-disk-5000.csv,False,4.539610018022358
init,0.00023315785804711443,dense-disk-5000.csv,False,4.539610018022358
max_iter,0.0318079936524369,dense-disk-5000.csv,False,4.539610018022358
n_clusters,0.8151388262328667,dense-disk-5000.csv,False,4.539610018022358
n_init,0.0023352994115349362,dense-disk-5000.csv,False,4.539610018022358
tol,0.011542162515991888,dense-disk-5000.csv,False,4.539610018022358
"('max_iter', 'n_clusters')",0.042940844510719625,dense-disk-5000.csv,False,4.539610018022358
"('n_clusters', 'tol')",0.03293430640216502,dense-disk-5000.csv,False,4.539610018022358
"('algorithm', 'n_clusters')",0.014114188339191492,dense-disk-5000.csv,False,4.539610018022358
"('n_clusters', 'n_init')",0.010319437137406157,dense-disk-5000.csv,False,4.539610018022358
"('max_iter', 'tol')",0.005078971801444698,dense-disk-5000.csv,False,4.539610018022358
"('max_iter', 'n_init')",0.00462377943011984,dense-disk-5000.csv,False,4.539610018022358
"('algorithm', 'max_iter')",0.003681197321221478,dense-disk-5000.csv,False,4.539610018022358
"('algorithm', 'tol')",0.0018984854627403893,dense-disk-5000.csv,False,4.539610018022358
"('n_init', 'tol')",0.0008817035721244264,dense-disk-5000.csv,False,4.539610018022358
"('init', 'n_clusters')",0.0008786864131011778,dense-disk-5000.csv,False,4.539610018022358
"('n_clusters', 'init', 'max_iter')",0.00014330457182815337,dense-disk-5000.csv,False,4.539610018022358
"('n_clusters', 'init', 'algorithm')",8.22317410861258e-06,dense-disk-5000.csv,False,4.539610018022358
algorithm,0.0006244864569276467,wine_RL.csv,False,4.18943929602392
init,0.0001642413660914766,wine_RL.csv,False,4.18943929602392
max_iter,0.023007429653472463,wine_RL.csv,False,4.18943929602392
n_clusters,0.8480652351446083,wine_RL.csv,False,4.18943929602392
n_init,0.0040525337580228716,wine_RL.csv,False,4.18943929602392
tol,0.011882764216618763,wine_RL.csv,False,4.18943929602392
