param,importance,dataset,imputation,time_taken
bandwidth,0.7835837026557478,vertebral_RL.csv,False,2.6734226420521736
bin_seeding,0.006585927012402842,vertebral_RL.csv,False,2.6734226420521736
cluster_all,0.0039423577576200505,vertebral_RL.csv,False,2.6734226420521736
max_iter,0.032560834509857375,vertebral_RL.csv,False,2.6734226420521736
"('bandwidth', 'max_iter')",0.04876223288568761,vertebral_RL.csv,False,2.6734226420521736
"('bandwidth', 'bin_seeding')",0.033176205085181876,vertebral_RL.csv,False,2.6734226420521736
"('bandwidth', 'cluster_all')",0.022602079475092542,vertebral_RL.csv,False,2.6734226420521736
"('bin_seeding', 'max_iter')",0.014977114836046425,vertebral_RL.csv,False,2.6734226420521736
"('cluster_all', 'max_iter')",0.011217249225498308,vertebral_RL.csv,False,2.6734226420521736
"('bin_seeding', 'cluster_all')",0.001304656336368087,vertebral_RL.csv,False,2.6734226420521736
"('bin_seeding', 'cluster_all', 'max_iter')",0.0034761670589545557,vertebral_RL.csv,False,2.6734226420521736
"('cluster_all', 'max_iter', 'bandwidth')",0.014468162047324037,vertebral_RL.csv,False,2.6734226420521736
bandwidth,0.8774182254609078,dense-disk-5000.csv,False,0.8652433650568128
bin_seeding,0.001118564213196675,dense-disk-5000.csv,False,0.8652433650568128
cluster_all,0.00095685164228725,dense-disk-5000.csv,False,0.8652433650568128
max_iter,0.032023444054162006,dense-disk-5000.csv,False,0.8652433650568128
"('bandwidth', 'max_iter')",0.025486136171726185,dense-disk-5000.csv,False,0.8652433650568128
"('bandwidth', 'cluster_all')",0.015932560284636334,dense-disk-5000.csv,False,0.8652433650568128
"('cluster_all', 'max_iter')",0.012135913609844656,dense-disk-5000.csv,False,0.8652433650568128
"('bandwidth', 'bin_seeding')",0.00983009153579444,dense-disk-5000.csv,False,0.8652433650568128
"('bin_seeding', 'max_iter')",0.0022896813452376115,dense-disk-5000.csv,False,0.8652433650568128
"('bin_seeding', 'cluster_all')",0.0006073365767277844,dense-disk-5000.csv,False,0.8652433650568128
"('bin_seeding', 'cluster_all', 'max_iter')",0.0012581503815024208,dense-disk-5000.csv,False,0.8652433650568128
"('cluster_all', 'max_iter', 'bandwidth')",0.007103364028245336,dense-disk-5000.csv,False,0.8652433650568128
bandwidth,0.6776151913553377,wine_RL.csv,False,1.4445855679223314
bin_seeding,0.00905684646894531,wine_RL.csv,False,1.4445855679223314
cluster_all,0.004751549885907926,wine_RL.csv,False,1.4445855679223314
max_iter,0.04738413931943147,wine_RL.csv,False,1.4445855679223314
"('bandwidth', 'max_iter')",0.08248577883740392,wine_RL.csv,False,1.4445855679223314
"('bandwidth', 'bin_seeding')",0.0553651543765686,wine_RL.csv,False,1.4445855679223314
"('bandwidth', 'cluster_all')",0.03317977905899478,wine_RL.csv,False,1.4445855679223314
"('bin_seeding', 'max_iter')",0.014639655543928213,wine_RL.csv,False,1.4445855679223314
"('cluster_all', 'max_iter')",0.007281016410803887,wine_RL.csv,False,1.4445855679223314
"('bin_seeding', 'cluster_all')",0.004497311437401419,wine_RL.csv,False,1.4445855679223314
"('bin_seeding', 'cluster_all', 'max_iter')",0.005862133893753984,wine_RL.csv,False,1.4445855679223314
"('cluster_all', 'max_iter', 'bandwidth')",0.015394380371579775,wine_RL.csv,False,1.4445855679223314
bandwidth,0.89979906876352,disk_4500n.csv,False,0.5897444570437074
bin_seeding,0.00040346113634968407,disk_4500n.csv,False,0.5897444570437074
cluster_all,0.0012952096697982389,disk_4500n.csv,False,0.5897444570437074
max_iter,0.0292798397176721,disk_4500n.csv,False,0.5897444570437074
"('bandwidth', 'max_iter')",0.038997582098288644,disk_4500n.csv,False,0.5897444570437074
"('cluster_all', 'max_iter')",0.00763466781044576,disk_4500n.csv,False,0.5897444570437074
"('bandwidth', 'cluster_all')",0.004558012103710348,disk_4500n.csv,False,0.5897444570437074
"('bandwidth', 'bin_seeding')",0.0033592998579613613,disk_4500n.csv,False,0.5897444570437074
"('bin_seeding', 'max_iter')",0.0009889754502830778,disk_4500n.csv,False,0.5897444570437074
"('bin_seeding', 'cluster_all')",0.00016240651510629248,disk_4500n.csv,False,0.5897444570437074
