param,importance,dataset,imputation,time_taken
bandwidth,0.40879886208055477,vertebral_RL.csv,False,2.511953959008679
bin_seeding,0.008721491506866788,vertebral_RL.csv,False,2.511953959008679
cluster_all,0.007082678368502694,vertebral_RL.csv,False,2.511953959008679
max_iter,0.14724199334092133,vertebral_RL.csv,False,2.511953959008679
"('bandwidth', 'max_iter')",0.16782988420830952,vertebral_RL.csv,False,2.511953959008679
"('bandwidth', 'bin_seeding')",0.073081057658234,vertebral_RL.csv,False,2.511953959008679
"('bandwidth', 'cluster_all')",0.05880208600480692,vertebral_RL.csv,False,2.511953959008679
"('cluster_all', 'max_iter')",0.0161999559545517,vertebral_RL.csv,False,2.511953959008679
"('bin_seeding', 'max_iter')",0.013321360630831988,vertebral_RL.csv,False,2.511953959008679
"('bin_seeding', 'cluster_all')",0.003594817700696391,vertebral_RL.csv,False,2.511953959008679
"('bin_seeding', 'cluster_all', 'max_iter')",0.0033633718158888413,vertebral_RL.csv,False,2.511953959008679
"('cluster_all', 'max_iter', 'bandwidth')",0.038881890546974024,vertebral_RL.csv,False,2.511953959008679
bandwidth,0.8858438412514744,dense-disk-5000.csv,False,0.873516837018542
bin_seeding,0.0010161935496993762,dense-disk-5000.csv,False,0.873516837018542
cluster_all,0.002604825594354645,dense-disk-5000.csv,False,0.873516837018542
max_iter,0.03089747191231082,dense-disk-5000.csv,False,0.873516837018542
"('bandwidth', 'max_iter')",0.03683702751401411,dense-disk-5000.csv,False,0.873516837018542
"('bandwidth', 'cluster_all')",0.012889753428348506,dense-disk-5000.csv,False,0.873516837018542
"('cluster_all', 'max_iter')",0.01075526468965882,dense-disk-5000.csv,False,0.873516837018542
"('bin_seeding', 'max_iter')",0.0050970556060013945,dense-disk-5000.csv,False,0.873516837018542
"('bandwidth', 'bin_seeding')",0.0011541389728668755,dense-disk-5000.csv,False,0.873516837018542
"('bin_seeding', 'cluster_all')",0.0007903632876932017,dense-disk-5000.csv,False,0.873516837018542
"('bin_seeding', 'cluster_all', 'max_iter')",0.003080114761265832,dense-disk-5000.csv,False,0.873516837018542
"('cluster_all', 'max_iter', 'bandwidth')",0.006355854098336267,dense-disk-5000.csv,False,0.873516837018542
bandwidth,0.7743992562996995,wine_RL.csv,False,1.5336567730410025
bin_seeding,0.0034598295634338735,wine_RL.csv,False,1.5336567730410025
cluster_all,0.002845142715597772,wine_RL.csv,False,1.5336567730410025
max_iter,0.05479375675222699,wine_RL.csv,False,1.5336567730410025
"('bandwidth', 'max_iter')",0.0679208317246682,wine_RL.csv,False,1.5336567730410025
"('bandwidth', 'bin_seeding')",0.0197251639349917,wine_RL.csv,False,1.5336567730410025
"('bandwidth', 'cluster_all')",0.015276915274353863,wine_RL.csv,False,1.5336567730410025
"('cluster_all', 'max_iter')",0.011230453186101082,wine_RL.csv,False,1.5336567730410025
"('bin_seeding', 'max_iter')",0.00910740493961425,wine_RL.csv,False,1.5336567730410025
"('bin_seeding', 'cluster_all')",0.0019427079255124908,wine_RL.csv,False,1.5336567730410025
"('bin_seeding', 'cluster_all', 'max_iter')",0.0036292866061949044,wine_RL.csv,False,1.5336567730410025
"('cluster_all', 'max_iter', 'bandwidth')",0.014264652632899662,wine_RL.csv,False,1.5336567730410025
bandwidth,0.8525827204420848,disk_4500n.csv,False,0.6550447669578716
bin_seeding,0.0005599744537968271,disk_4500n.csv,False,0.6550447669578716
cluster_all,0.0012566746627584056,disk_4500n.csv,False,0.6550447669578716
max_iter,0.05069530187903179,disk_4500n.csv,False,0.6550447669578716
"('bandwidth', 'max_iter')",0.05831823024015351,disk_4500n.csv,False,0.6550447669578716
"('cluster_all', 'max_iter')",0.007443525968820065,disk_4500n.csv,False,0.6550447669578716
"('bin_seeding', 'max_iter')",0.007432098207170418,disk_4500n.csv,False,0.6550447669578716
"('bandwidth', 'cluster_all')",0.005728410137824495,disk_4500n.csv,False,0.6550447669578716
"('bandwidth', 'bin_seeding')",0.0051716480809092386,disk_4500n.csv,False,0.6550447669578716
"('bin_seeding', 'cluster_all')",0.0001468246634081382,disk_4500n.csv,False,0.6550447669578716
"('bin_seeding', 'cluster_all', 'max_iter')",0.001136259571920555,disk_4500n.csv,False,0.6550447669578716
