param,importance,dataset,imputation,time_taken
bandwidth,0.8328944445078432,vertebral_RL.csv,False,2.778639041003771
bin_seeding,0.001300244258457202,vertebral_RL.csv,False,2.778639041003771
cluster_all,0.0021522940872255336,vertebral_RL.csv,False,2.778639041003771
max_iter,0.05716446221172592,vertebral_RL.csv,False,2.778639041003771
"('bandwidth', 'max_iter')",0.03036773251009824,vertebral_RL.csv,False,2.778639041003771
"('cluster_all', 'max_iter')",0.014903901568466995,vertebral_RL.csv,False,2.778639041003771
"('bandwidth', 'cluster_all')",0.014816341305980994,vertebral_RL.csv,False,2.778639041003771
"('bandwidth', 'bin_seeding')",0.014359393350867267,vertebral_RL.csv,False,2.778639041003771
"('bin_seeding', 'max_iter')",0.008114723307492324,vertebral_RL.csv,False,2.778639041003771
"('bin_seeding', 'cluster_all')",0.0008299695269791145,vertebral_RL.csv,False,2.778639041003771
"('bin_seeding', 'cluster_all', 'max_iter')",0.0035084098121201026,vertebral_RL.csv,False,2.778639041003771
"('cluster_all', 'max_iter', 'bandwidth')",0.008825624784655447,vertebral_RL.csv,False,2.778639041003771
bandwidth,0.9060912304006059,dense-disk-5000.csv,False,0.853269896004349
bin_seeding,0.0005286434726287196,dense-disk-5000.csv,False,0.853269896004349
cluster_all,0.0015515056291342132,dense-disk-5000.csv,False,0.853269896004349
max_iter,0.017702641523312274,dense-disk-5000.csv,False,0.853269896004349
"('bandwidth', 'max_iter')",0.024948860447210543,dense-disk-5000.csv,False,0.853269896004349
"('bandwidth', 'cluster_all')",0.015515628788487534,dense-disk-5000.csv,False,0.853269896004349
"('bin_seeding', 'max_iter')",0.00807290734635168,dense-disk-5000.csv,False,0.853269896004349
"('cluster_all', 'max_iter')",0.007047626474120423,dense-disk-5000.csv,False,0.853269896004349
"('bandwidth', 'bin_seeding')",0.004247932051132006,dense-disk-5000.csv,False,0.853269896004349
"('bin_seeding', 'cluster_all')",0.0010825445685303705,dense-disk-5000.csv,False,0.853269896004349
"('bin_seeding', 'cluster_all', 'max_iter')",0.0018512396676027467,dense-disk-5000.csv,False,0.853269896004349
"('cluster_all', 'max_iter', 'bandwidth')",0.00472030316707742,dense-disk-5000.csv,False,0.853269896004349
bandwidth,0.8306194194099384,wine_RL.csv,False,1.6878212230512872
bin_seeding,0.0017782588427302424,wine_RL.csv,False,1.6878212230512872
cluster_all,0.00329005267873185,wine_RL.csv,False,1.6878212230512872
max_iter,0.043032689414350116,wine_RL.csv,False,1.6878212230512872
"('bandwidth', 'max_iter')",0.03560604718005489,wine_RL.csv,False,1.6878212230512872
"('cluster_all', 'max_iter')",0.016566000417236586,wine_RL.csv,False,1.6878212230512872
"('bandwidth', 'bin_seeding')",0.01481330119417226,wine_RL.csv,False,1.6878212230512872
"('bandwidth', 'cluster_all')",0.012692332795420964,wine_RL.csv,False,1.6878212230512872
