param,importance,dataset,imputation,time_taken
algorithm,0.006586091525364801,disk_1000n.csv,False,0.940820200019516
cluster_method,0.011003534110260518,disk_1000n.csv,False,0.940820200019516
eps,0.05508691172886719,disk_1000n.csv,False,0.940820200019516
leaf_size,0.10142780801324516,disk_1000n.csv,False,0.940820200019516
max_eps,0.009563514322350752,disk_1000n.csv,False,0.940820200019516
metric,0.004558803919176794,disk_1000n.csv,False,0.940820200019516
min_samples,0.1077846569227126,disk_1000n.csv,False,0.940820200019516
xi,0.11398919196163718,disk_1000n.csv,False,0.940820200019516
"('eps', 'leaf_size')",0.14201947372135576,disk_1000n.csv,False,0.940820200019516
"('algorithm', 'leaf_size')",0.05834891776071464,disk_1000n.csv,False,0.940820200019516
"('eps', 'min_samples')",0.038803315732665385,disk_1000n.csv,False,0.940820200019516
"('cluster_method', 'min_samples')",0.028675699160286748,disk_1000n.csv,False,0.940820200019516
"('min_samples', 'xi')",0.0271202519100776,disk_1000n.csv,False,0.940820200019516
"('leaf_size', 'xi')",0.026585389266960184,disk_1000n.csv,False,0.940820200019516
"('leaf_size', 'min_samples')",0.02596889158387535,disk_1000n.csv,False,0.940820200019516
"('max_eps', 'min_samples')",0.023378452465377,disk_1000n.csv,False,0.940820200019516
"('algorithm', 'min_samples')",0.019320995275483806,disk_1000n.csv,False,0.940820200019516
"('metric', 'xi')",0.01930387799637094,disk_1000n.csv,False,0.940820200019516
"('eps', 'min_samples', 'metric')",0.0007740090332648112,disk_1000n.csv,False,0.940820200019516
"('eps', 'algorithm', 'leaf_size')",5.410226651320985e-05,disk_1000n.csv,False,0.940820200019516
algorithm,0.016901852745415627,segment_RL.csv,False,1.7291629889514297
cluster_method,0.008164944222555242,segment_RL.csv,False,1.7291629889514297
eps,0.04494295928641984,segment_RL.csv,False,1.7291629889514297
leaf_size,0.17050465246029953,segment_RL.csv,False,1.7291629889514297
max_eps,0.020637224602100105,segment_RL.csv,False,1.7291629889514297
metric,0.029996418057875895,segment_RL.csv,False,1.7291629889514297
min_samples,0.12457512749294071,segment_RL.csv,False,1.7291629889514297
xi,0.021867195004652906,segment_RL.csv,False,1.7291629889514297
"('leaf_size', 'metric')",0.08188052019417877,segment_RL.csv,False,1.7291629889514297
"('algorithm', 'min_samples')",0.0710577246613704,segment_RL.csv,False,1.7291629889514297
"('min_samples', 'xi')",0.04815118876480588,segment_RL.csv,False,1.7291629889514297
"('leaf_size', 'min_samples')",0.04336766582308209,segment_RL.csv,False,1.7291629889514297
"('eps', 'leaf_size')",0.02880251598073101,segment_RL.csv,False,1.7291629889514297
"('leaf_size', 'max_eps')",0.027328482031415812,segment_RL.csv,False,1.7291629889514297
"('algorithm', 'leaf_size')",0.023360530310558583,segment_RL.csv,False,1.7291629889514297
"('metric', 'xi')",0.01630563979856441,segment_RL.csv,False,1.7291629889514297
"('metric', 'min_samples')",0.01591856322298684,segment_RL.csv,False,1.7291629889514297
"('algorithm', 'max_eps')",0.013541810889878513,segment_RL.csv,False,1.7291629889514297
"('eps', 'min_samples', 'metric')",0.00941776631593677,segment_RL.csv,False,1.7291629889514297
"('eps', 'algorithm', 'leaf_size')",8.453235913282588e-05,segment_RL.csv,False,1.7291629889514297
algorithm,0.0014780375350212551,dense-disk-3000.csv,False,0.9031603570329025
cluster_method,0.003280001326846239,dense-disk-3000.csv,False,0.9031603570329025
eps,0.012246954857981607,dense-disk-3000.csv,False,0.9031603570329025
leaf_size,0.04827803710089271,dense-disk-3000.csv,False,0.9031603570329025
max_eps,0.09609387738558044,dense-disk-3000.csv,False,0.9031603570329025
metric,0.003599326350634787,dense-disk-3000.csv,False,0.9031603570329025
min_samples,0.05066227880967798,dense-disk-3000.csv,False,0.9031603570329025
xi,0.2815877882260003,dense-disk-3000.csv,False,0.9031603570329025
"('max_eps', 'xi')",0.19973313698750073,dense-disk-3000.csv,False,0.9031603570329025
"('leaf_size', 'xi')",0.04270053709114245,dense-disk-3000.csv,False,0.9031603570329025
"('leaf_size', 'min_samples')",0.02272322997076375,dense-disk-3000.csv,False,0.9031603570329025
"('leaf_size', 'max_eps')",0.01932897327053597,dense-disk-3000.csv,False,0.9031603570329025
"('metric', 'min_samples')",0.014071961509508443,dense-disk-3000.csv,False,0.9031603570329025
"('eps', 'xi')",0.012085455713272464,dense-disk-3000.csv,False,0.9031603570329025
"('min_samples', 'xi')",0.01202943524475636,dense-disk-3000.csv,False,0.9031603570329025
"('algorithm', 'xi')",0.00945093421438036,dense-disk-3000.csv,False,0.9031603570329025
"('cluster_method', 'xi')",0.00849649209655124,dense-disk-3000.csv,False,0.9031603570329025
"('algorithm', 'leaf_size')",0.007005442684843716,dense-disk-3000.csv,False,0.9031603570329025
"('eps', 'min_samples', 'metric')",6.331089754920761e-05,dense-disk-3000.csv,False,0.9031603570329025
"('eps', 'algorithm', 'leaf_size')",7.31686569400397e-05,dense-disk-3000.csv,False,0.9031603570329025
algorithm,0.014080382785819669,spherical_4_3.csv,False,0.9039819440804422
cluster_method,0.2765529907988544,spherical_4_3.csv,False,0.9039819440804422
eps,0.0044275566902884055,spherical_4_3.csv,False,0.9039819440804422
leaf_size,0.035568300574237294,spherical_4_3.csv,False,0.9039819440804422
max_eps,0.011757076742725204,spherical_4_3.csv,False,0.9039819440804422
metric,0.0009865925496930121,spherical_4_3.csv,False,0.9039819440804422
min_samples,0.038411018013638984,spherical_4_3.csv,False,0.9039819440804422
xi,0.10482296868859534,spherical_4_3.csv,False,0.9039819440804422
"('cluster_method', 'xi')",0.10068547619536528,spherical_4_3.csv,False,0.9039819440804422
"('min_samples', 'xi')",0.057730267615016706,spherical_4_3.csv,False,0.9039819440804422
"('cluster_method', 'min_samples')",0.024705236758848923,spherical_4_3.csv,False,0.9039819440804422
"('algorithm', 'xi')",0.023572731296153518,spherical_4_3.csv,False,0.9039819440804422
"('leaf_size', 'xi')",0.016073519665166867,spherical_4_3.csv,False,0.9039819440804422
"('cluster_method', 'leaf_size')",0.015102857915243184,spherical_4_3.csv,False,0.9039819440804422
"('algorithm', 'cluster_method')",0.012605130551809793,spherical_4_3.csv,False,0.9039819440804422
"('cluster_method', 'max_eps')",0.01136741208851863,spherical_4_3.csv,False,0.9039819440804422
"('max_eps', 'xi')",0.010796290457541805,spherical_4_3.csv,False,0.9039819440804422
"('eps', 'xi')",0.00836645477299923,spherical_4_3.csv,False,0.9039819440804422
"('eps', 'min_samples', 'metric')",0.0011333829382263057,spherical_4_3.csv,False,0.9039819440804422
"('eps', 'algorithm', 'leaf_size')",0.00012880494932165744,spherical_4_3.csv,False,0.9039819440804422
algorithm,0.00045251371279859975,dim064.csv,False,1.0609448220347986
cluster_method,0.4734017067653349,dim064.csv,False,1.0609448220347986
eps,0.007219188454659797,dim064.csv,False,1.0609448220347986
leaf_size,0.03061893144956327,dim064.csv,False,1.0609448220347986
max_eps,0.02887858958618204,dim064.csv,False,1.0609448220347986
metric,0.0017697984419760482,dim064.csv,False,1.0609448220347986
min_samples,0.022537425746018355,dim064.csv,False,1.0609448220347986
xi,0.12921465458644948,dim064.csv,False,1.0609448220347986
"('cluster_method', 'xi')",0.04899761787119508,dim064.csv,False,1.0609448220347986
"('leaf_size', 'xi')",0.030862943986242827,dim064.csv,False,1.0609448220347986
"('cluster_method', 'min_samples')",0.021843645795231452,dim064.csv,False,1.0609448220347986
"('cluster_method', 'leaf_size')",0.019823314109739087,dim064.csv,False,1.0609448220347986
"('eps', 'leaf_size')",0.01892756425898862,dim064.csv,False,1.0609448220347986
"('min_samples', 'xi')",0.01311579456436408,dim064.csv,False,1.0609448220347986
"('leaf_size', 'min_samples')",0.012963227999043954,dim064.csv,False,1.0609448220347986
"('max_eps', 'xi')",0.009858342058307486,dim064.csv,False,1.0609448220347986
"('cluster_method', 'max_eps')",0.009273552649364199,dim064.csv,False,1.0609448220347986
"('metric', 'xi')",0.009228398704579007,dim064.csv,False,1.0609448220347986
"('eps', 'min_samples', 'metric')",0.00015474170578487614,dim064.csv,False,1.0609448220347986
"('eps', 'algorithm', 'leaf_size')",0.0002395378617617466,dim064.csv,False,1.0609448220347986
algorithm,0.016300119313315896,vowel_RL.csv,False,2.0593938500387594
cluster_method,0.027490183561588367,vowel_RL.csv,False,2.0593938500387594
eps,0.072694490235753,vowel_RL.csv,False,2.0593938500387594
leaf_size,0.14696334226126007,vowel_RL.csv,False,2.0593938500387594
max_eps,0.020317698586420546,vowel_RL.csv,False,2.0593938500387594
metric,0.005892973486869681,vowel_RL.csv,False,2.0593938500387594
min_samples,0.10244450213427078,vowel_RL.csv,False,2.0593938500387594
xi,0.010100023734722973,vowel_RL.csv,False,2.0593938500387594
"('eps', 'leaf_size')",0.07564677925418944,vowel_RL.csv,False,2.0593938500387594
"('algorithm', 'min_samples')",0.06400813908645026,vowel_RL.csv,False,2.0593938500387594
"('min_samples', 'xi')",0.040646694260109015,vowel_RL.csv,False,2.0593938500387594
"('eps', 'min_samples')",0.03473489718027849,vowel_RL.csv,False,2.0593938500387594
"('algorithm', 'leaf_size')",0.03424715995780273,vowel_RL.csv,False,2.0593938500387594
"('eps', 'xi')",0.029972439950371466,vowel_RL.csv,False,2.0593938500387594
