param,importance,dataset,imputation,time_taken
algorithm,0.003935684889634266,disk_1000n.csv,False,0.9963423890294507
cluster_method,0.02908951460089735,disk_1000n.csv,False,0.9963423890294507
eps,0.021522470526363698,disk_1000n.csv,False,0.9963423890294507
leaf_size,0.006117978797070401,disk_1000n.csv,False,0.9963423890294507
max_eps,0.008431920011036619,disk_1000n.csv,False,0.9963423890294507
metric,0.002192891201213755,disk_1000n.csv,False,0.9963423890294507
min_samples,0.169899731398179,disk_1000n.csv,False,0.9963423890294507
xi,0.34360066428562086,disk_1000n.csv,False,0.9963423890294507
"('cluster_method', 'min_samples')",0.07427878269917783,disk_1000n.csv,False,0.9963423890294507
"('min_samples', 'xi')",0.07222180230071772,disk_1000n.csv,False,0.9963423890294507
"('cluster_method', 'xi')",0.029524353881951303,disk_1000n.csv,False,0.9963423890294507
"('leaf_size', 'min_samples')",0.022971868699623497,disk_1000n.csv,False,0.9963423890294507
"('eps', 'min_samples')",0.02034247679816091,disk_1000n.csv,False,0.9963423890294507
"('eps', 'xi')",0.019809255145060926,disk_1000n.csv,False,0.9963423890294507
"('algorithm', 'min_samples')",0.012112601301293551,disk_1000n.csv,False,0.9963423890294507
"('max_eps', 'min_samples')",0.009117517711321979,disk_1000n.csv,False,0.9963423890294507
"('metric', 'xi')",0.008837051793835354,disk_1000n.csv,False,0.9963423890294507
"('algorithm', 'xi')",0.008252645367646737,disk_1000n.csv,False,0.9963423890294507
"('eps', 'min_samples', 'metric')",0.0007195996356549435,disk_1000n.csv,False,0.9963423890294507
"('eps', 'algorithm', 'leaf_size')",0.0008372419950007286,disk_1000n.csv,False,0.9963423890294507
algorithm,0.002920533665437607,segment_RL.csv,False,1.8247999029699713
cluster_method,0.1665076796339032,segment_RL.csv,False,1.8247999029699713
eps,0.0020397864772138635,segment_RL.csv,False,1.8247999029699713
leaf_size,0.007096775716725625,segment_RL.csv,False,1.8247999029699713
max_eps,0.006715086906110747,segment_RL.csv,False,1.8247999029699713
metric,0.004378792875185502,segment_RL.csv,False,1.8247999029699713
min_samples,0.010566602570519876,segment_RL.csv,False,1.8247999029699713
xi,0.36773749595484506,segment_RL.csv,False,1.8247999029699713
