param,importance,dataset,imputation,time_taken
algorithm,0.0015359612989947163,disk_1000n.csv,False,1.158603597083129
cluster_method,0.032232679263956024,disk_1000n.csv,False,1.158603597083129
eps,0.021129729528263766,disk_1000n.csv,False,1.158603597083129
leaf_size,0.01364864567371881,disk_1000n.csv,False,1.158603597083129
max_eps,0.0059585150345889855,disk_1000n.csv,False,1.158603597083129
metric,0.003097300120534445,disk_1000n.csv,False,1.158603597083129
min_samples,0.053017314406060764,disk_1000n.csv,False,1.158603597083129
xi,0.46710470262163184,disk_1000n.csv,False,1.158603597083129
"('min_samples', 'xi')",0.08726890563199391,disk_1000n.csv,False,1.158603597083129
"('cluster_method', 'xi')",0.05385572471514214,disk_1000n.csv,False,1.158603597083129
"('metric', 'xi')",0.03340447878003565,disk_1000n.csv,False,1.158603597083129
"('cluster_method', 'min_samples')",0.029655703478242416,disk_1000n.csv,False,1.158603597083129
"('eps', 'xi')",0.024176781128001368,disk_1000n.csv,False,1.158603597083129
"('leaf_size', 'min_samples')",0.01799528079815309,disk_1000n.csv,False,1.158603597083129
"('leaf_size', 'xi')",0.01720679469407136,disk_1000n.csv,False,1.158603597083129
"('eps', 'min_samples')",0.006290204447022416,disk_1000n.csv,False,1.158603597083129
"('eps', 'metric')",0.005496682768503599,disk_1000n.csv,False,1.158603597083129
"('max_eps', 'xi')",0.0053282673277704005,disk_1000n.csv,False,1.158603597083129
"('eps', 'min_samples', 'metric')",0.0019902445343190417,disk_1000n.csv,False,1.158603597083129
"('eps', 'algorithm', 'leaf_size')",0.00011314131094696468,disk_1000n.csv,False,1.158603597083129
algorithm,0.0020601160233540902,dense-disk-3000.csv,False,0.850113193038851
cluster_method,0.047985285890116275,dense-disk-3000.csv,False,0.850113193038851
eps,0.03611995699477225,dense-disk-3000.csv,False,0.850113193038851
leaf_size,0.008069142399406763,dense-disk-3000.csv,False,0.850113193038851
max_eps,0.002255662717569074,dense-disk-3000.csv,False,0.850113193038851
metric,0.004255956136919494,dense-disk-3000.csv,False,0.850113193038851
min_samples,0.05464127723302271,dense-disk-3000.csv,False,0.850113193038851
xi,0.4172076808474938,dense-disk-3000.csv,False,0.850113193038851
"('cluster_method', 'xi')",0.09034167543115569,dense-disk-3000.csv,False,0.850113193038851
"('eps', 'xi')",0.05694664359156647,dense-disk-3000.csv,False,0.850113193038851
"('min_samples', 'xi')",0.050747339089703705,dense-disk-3000.csv,False,0.850113193038851
"('cluster_method', 'min_samples')",0.023876730525070507,dense-disk-3000.csv,False,0.850113193038851
"('eps', 'min_samples')",0.015491547504158456,dense-disk-3000.csv,False,0.850113193038851
"('leaf_size', 'min_samples')",0.011556969953655318,dense-disk-3000.csv,False,0.850113193038851
"('metric', 'xi')",0.007968526448426681,dense-disk-3000.csv,False,0.850113193038851
"('algorithm', 'xi')",0.00769474608932702,dense-disk-3000.csv,False,0.850113193038851
"('max_eps', 'xi')",0.006551366781314858,dense-disk-3000.csv,False,0.850113193038851
"('leaf_size', 'xi')",0.006132887838599783,dense-disk-3000.csv,False,0.850113193038851
"('eps', 'min_samples', 'metric')",0.000973006277990719,dense-disk-3000.csv,False,0.850113193038851
"('eps', 'algorithm', 'leaf_size')",0.00012463560873402993,dense-disk-3000.csv,False,0.850113193038851
algorithm,0.0073725793405612795,spherical_4_3.csv,False,1.0297468960052356
cluster_method,0.5163754432737966,spherical_4_3.csv,False,1.0297468960052356
eps,0.00548311047501889,spherical_4_3.csv,False,1.0297468960052356
leaf_size,0.003670817155671845,spherical_4_3.csv,False,1.0297468960052356
max_eps,0.0041250676701413535,spherical_4_3.csv,False,1.0297468960052356
metric,0.0005260574093174538,spherical_4_3.csv,False,1.0297468960052356
min_samples,0.019765006139828158,spherical_4_3.csv,False,1.0297468960052356
xi,0.15582084007574576,spherical_4_3.csv,False,1.0297468960052356
"('cluster_method', 'xi')",0.15746312563951853,spherical_4_3.csv,False,1.0297468960052356
"('cluster_method', 'min_samples')",0.019012657972200354,spherical_4_3.csv,False,1.0297468960052356
"('min_samples', 'xi')",0.013152242543426364,spherical_4_3.csv,False,1.0297468960052356
"('max_eps', 'xi')",0.00636367780654874,spherical_4_3.csv,False,1.0297468960052356
"('algorithm', 'xi')",0.005805022635871545,spherical_4_3.csv,False,1.0297468960052356
"('cluster_method', 'eps')",0.004033330818811284,spherical_4_3.csv,False,1.0297468960052356
"('cluster_method', 'leaf_size')",0.0036708260064119433,spherical_4_3.csv,False,1.0297468960052356
"('algorithm', 'cluster_method')",0.003656874397688963,spherical_4_3.csv,False,1.0297468960052356
"('cluster_method', 'max_eps')",0.0032023795576219096,spherical_4_3.csv,False,1.0297468960052356
"('eps', 'xi')",0.002693667697023673,spherical_4_3.csv,False,1.0297468960052356
"('eps', 'min_samples', 'metric')",2.5010153518500097e-05,spherical_4_3.csv,False,1.0297468960052356
"('eps', 'algorithm', 'leaf_size')",0.00013415568094117197,spherical_4_3.csv,False,1.0297468960052356
algorithm,0.0012035694993740894,dim064.csv,False,1.3983697270741686
cluster_method,0.8001931742191415,dim064.csv,False,1.3983697270741686
eps,0.0037930099756085544,dim064.csv,False,1.3983697270741686
leaf_size,0.002367157716559219,dim064.csv,False,1.3983697270741686
max_eps,0.0030504435735882072,dim064.csv,False,1.3983697270741686
metric,0.0015888635271853633,dim064.csv,False,1.3983697270741686
min_samples,0.0039034156076617347,dim064.csv,False,1.3983697270741686
xi,0.05101786526676298,dim064.csv,False,1.3983697270741686
"('cluster_method', 'xi')",0.0549598849778735,dim064.csv,False,1.3983697270741686
"('min_samples', 'xi')",0.004485072364457478,dim064.csv,False,1.3983697270741686
"('cluster_method', 'max_eps')",0.003872576162990163,dim064.csv,False,1.3983697270741686
"('eps', 'xi')",0.003171096747406649,dim064.csv,False,1.3983697270741686
"('cluster_method', 'min_samples')",0.003139740487015568,dim064.csv,False,1.3983697270741686
"('cluster_method', 'eps')",0.002907401912473234,dim064.csv,False,1.3983697270741686
"('cluster_method', 'leaf_size')",0.0028872396844538497,dim064.csv,False,1.3983697270741686
"('algorithm', 'eps')",0.0023820845036847606,dim064.csv,False,1.3983697270741686
"('eps', 'max_eps')",0.0022226716648149287,dim064.csv,False,1.3983697270741686
"('eps', 'min_samples')",0.0021299673230199528,dim064.csv,False,1.3983697270741686
"('eps', 'min_samples', 'metric')",0.00040964334461008147,dim064.csv,False,1.3983697270741686
"('eps', 'algorithm', 'leaf_size')",0.0002986662578745483,dim064.csv,False,1.3983697270741686
algorithm,0.001142007868504235,vowel_RL.csv,False,2.706908470019698
cluster_method,0.36528861375090815,vowel_RL.csv,False,2.706908470019698
eps,0.009926197173785713,vowel_RL.csv,False,2.706908470019698
leaf_size,0.009298177016703057,vowel_RL.csv,False,2.706908470019698
max_eps,0.007894426294015657,vowel_RL.csv,False,2.706908470019698
metric,0.004560581672515903,vowel_RL.csv,False,2.706908470019698
min_samples,0.01661025923641451,vowel_RL.csv,False,2.706908470019698
xi,0.1403740789531168,vowel_RL.csv,False,2.706908470019698
"('cluster_method', 'xi')",0.1307396062392187,vowel_RL.csv,False,2.706908470019698
"('min_samples', 'xi')",0.05007190198662005,vowel_RL.csv,False,2.706908470019698
"('cluster_method', 'min_samples')",0.014628031031344751,vowel_RL.csv,False,2.706908470019698
"('cluster_method', 'leaf_size')",0.012795818332374052,vowel_RL.csv,False,2.706908470019698
"('leaf_size', 'xi')",0.011680827461013982,vowel_RL.csv,False,2.706908470019698
"('eps', 'xi')",0.00840541132959847,vowel_RL.csv,False,2.706908470019698
"('max_eps', 'xi')",0.007694421431906344,vowel_RL.csv,False,2.706908470019698
"('metric', 'xi')",0.007372934784293728,vowel_RL.csv,False,2.706908470019698
"('cluster_method', 'eps')",0.006919209621445647,vowel_RL.csv,False,2.706908470019698
"('cluster_method', 'max_eps')",0.006062310530753714,vowel_RL.csv,False,2.706908470019698
"('eps', 'min_samples', 'metric')",0.00026299768654373815,vowel_RL.csv,False,2.706908470019698
"('eps', 'algorithm', 'leaf_size')",5.628085055905218e-05,vowel_RL.csv,False,2.706908470019698
algorithm,0.0023927425404681266,sonar_RL.csv,False,0.4967224500142038
cluster_method,0.002404541359326248,sonar_RL.csv,False,0.4967224500142038
eps,0.0430501390524768,sonar_RL.csv,False,0.4967224500142038
leaf_size,0.02794475338795188,sonar_RL.csv,False,0.4967224500142038
max_eps,0.05582293617598863,sonar_RL.csv,False,0.4967224500142038
metric,0.011658035558703577,sonar_RL.csv,False,0.4967224500142038
min_samples,0.20229392720480932,sonar_RL.csv,False,0.4967224500142038
xi,0.08622782282063907,sonar_RL.csv,False,0.4967224500142038
"('min_samples', 'xi')",0.2460928630781447,sonar_RL.csv,False,0.4967224500142038
"('leaf_size', 'min_samples')",0.064307936891817,sonar_RL.csv,False,0.4967224500142038
"('metric', 'min_samples')",0.03792137542638378,sonar_RL.csv,False,0.4967224500142038
"('eps', 'min_samples')",0.02212068707483779,sonar_RL.csv,False,0.4967224500142038
"('leaf_size', 'xi')",0.018422028674911578,sonar_RL.csv,False,0.4967224500142038
"('algorithm', 'xi')",0.014806261372786341,sonar_RL.csv,False,0.4967224500142038
"('eps', 'xi')",0.01149702070887128,sonar_RL.csv,False,0.4967224500142038
"('max_eps', 'min_samples')",0.008518978909907958,sonar_RL.csv,False,0.4967224500142038
"('cluster_method', 'min_samples')",0.008148124940521424,sonar_RL.csv,False,0.4967224500142038
"('cluster_method', 'xi')",0.0069978969185408605,sonar_RL.csv,False,0.4967224500142038
"('eps', 'min_samples', 'metric')",0.01062002707384951,sonar_RL.csv,False,0.4967224500142038
"('eps', 'algorithm', 'leaf_size')",7.304615807611581e-05,sonar_RL.csv,False,0.4967224500142038
algorithm,0.0020845604471237127,vertebral_RL.csv,False,0.34539967495948076
cluster_method,0.00480754397698418,vertebral_RL.csv,False,0.34539967495948076
eps,0.17366896822396566,vertebral_RL.csv,False,0.34539967495948076
leaf_size,0.0016818368454482135,vertebral_RL.csv,False,0.34539967495948076
max_eps,0.03506505351747417,vertebral_RL.csv,False,0.34539967495948076
metric,0.0028262654854103826,vertebral_RL.csv,False,0.34539967495948076
min_samples,0.19911172578264658,vertebral_RL.csv,False,0.34539967495948076
xi,0.10318835570282585,vertebral_RL.csv,False,0.34539967495948076
"('min_samples', 'xi')",0.19159219715400944,vertebral_RL.csv,False,0.34539967495948076
"('eps', 'min_samples')",0.04824018720730858,vertebral_RL.csv,False,0.34539967495948076
"('metric', 'min_samples')",0.029712845587015778,vertebral_RL.csv,False,0.34539967495948076
"('max_eps', 'xi')",0.029699915165039146,vertebral_RL.csv,False,0.34539967495948076
"('max_eps', 'min_samples')",0.015266935369014705,vertebral_RL.csv,False,0.34539967495948076
"('cluster_method', 'min_samples')",0.014853419225723096,vertebral_RL.csv,False,0.34539967495948076
"('leaf_size', 'xi')",0.01225918951656885,vertebral_RL.csv,False,0.34539967495948076
"('leaf_size', 'max_eps')",0.011042698335196256,vertebral_RL.csv,False,0.34539967495948076
"('cluster_method', 'xi')",0.008319520757635606,vertebral_RL.csv,False,0.34539967495948076
"('eps', 'xi')",0.008133946425635034,vertebral_RL.csv,False,0.34539967495948076
"('eps', 'min_samples', 'metric')",0.0023456473250619285,vertebral_RL.csv,False,0.34539967495948076
"('eps', 'algorithm', 'leaf_size')",4.337928277234406e-09,vertebral_RL.csv,False,0.34539967495948076
algorithm,0.007784118539354236,wine_RL.csv,False,0.3574377680197358
cluster_method,0.0020331462317338526,wine_RL.csv,False,0.3574377680197358
eps,0.1399279645325401,wine_RL.csv,False,0.3574377680197358
leaf_size,0.00013941585541205276,wine_RL.csv,False,0.3574377680197358
max_eps,0.05009570423813576,wine_RL.csv,False,0.3574377680197358
metric,0.0028954581131226554,wine_RL.csv,False,0.3574377680197358
min_samples,0.10148368725591901,wine_RL.csv,False,0.3574377680197358
xi,0.39053656645451884,wine_RL.csv,False,0.3574377680197358
"('min_samples', 'xi')",0.08918471115493337,wine_RL.csv,False,0.3574377680197358
"('eps', 'min_samples')",0.030300126355529533,wine_RL.csv,False,0.3574377680197358
"('algorithm', 'xi')",0.024304243698662336,wine_RL.csv,False,0.3574377680197358
"('algorithm', 'min_samples')",0.021910697630386083,wine_RL.csv,False,0.3574377680197358
"('algorithm', 'max_eps')",0.019547992963366824,wine_RL.csv,False,0.3574377680197358
"('eps', 'metric')",0.019504570542552856,wine_RL.csv,False,0.3574377680197358
"('algorithm', 'eps')",0.01197816683397814,wine_RL.csv,False,0.3574377680197358
"('metric', 'xi')",0.011211042421357027,wine_RL.csv,False,0.3574377680197358
"('eps', 'max_eps')",0.009449541997014413,wine_RL.csv,False,0.3574377680197358
"('cluster_method', 'eps')",0.00581060358129022,wine_RL.csv,False,0.3574377680197358
"('eps', 'min_samples', 'metric')",0.0002203781194040942,wine_RL.csv,False,0.3574377680197358
"('eps', 'algorithm', 'leaf_size')",4.782709244290556e-09,wine_RL.csv,False,0.3574377680197358
algorithm,0.017255368068472714,yeast_RL.csv,False,0.7773352159420028
cluster_method,0.15916715796985612,yeast_RL.csv,False,0.7773352159420028
eps,0.016077651638846224,yeast_RL.csv,False,0.7773352159420028
leaf_size,0.022974359138502903,yeast_RL.csv,False,0.7773352159420028
max_eps,0.018268381434670734,yeast_RL.csv,False,0.7773352159420028
metric,0.009130969444130905,yeast_RL.csv,False,0.7773352159420028
min_samples,0.05103913645021054,yeast_RL.csv,False,0.7773352159420028
xi,0.14376066930199963,yeast_RL.csv,False,0.7773352159420028
"('cluster_method', 'xi')",0.11486633067715543,yeast_RL.csv,False,0.7773352159420028
"('cluster_method', 'min_samples')",0.036633538058952794,yeast_RL.csv,False,0.7773352159420028
"('min_samples', 'xi')",0.03530606418380964,yeast_RL.csv,False,0.7773352159420028
"('leaf_size', 'xi')",0.02157430653225031,yeast_RL.csv,False,0.7773352159420028
