param,importance,dataset,imputation,time_taken
affinity,0.04923777085400279,segment_RL.csv,False,4.048088407027535
assign_labels,0.006095767450023175,segment_RL.csv,False,4.048088407027535
n_clusters,0.17925665438587546,segment_RL.csv,False,4.048088407027535
n_init,0.025082719774752092,segment_RL.csv,False,4.048088407027535
n_neighbors,0.28297230167962883,segment_RL.csv,False,4.048088407027535
"('n_clusters', 'n_neighbors')",0.11847867632279419,segment_RL.csv,False,4.048088407027535
"('affinity', 'n_clusters')",0.09278466964451947,segment_RL.csv,False,4.048088407027535
"('affinity', 'n_neighbors')",0.03702952536175856,segment_RL.csv,False,4.048088407027535
"('n_init', 'n_neighbors')",0.02972451418793773,segment_RL.csv,False,4.048088407027535
"('n_clusters', 'n_init')",0.029241514504259075,segment_RL.csv,False,4.048088407027535
"('affinity', 'n_init')",0.015658408855068376,segment_RL.csv,False,4.048088407027535
"('assign_labels', 'n_clusters')",0.015336584718672372,segment_RL.csv,False,4.048088407027535
"('assign_labels', 'n_neighbors')",0.00589355234127554,segment_RL.csv,False,4.048088407027535
"('assign_labels', 'n_init')",0.004128567095427346,segment_RL.csv,False,4.048088407027535
"('affinity', 'assign_labels')",0.0023753721655654075,segment_RL.csv,False,4.048088407027535
"('n_clusters', 'n_init', 'affinity')",0.013471404319765222,segment_RL.csv,False,4.048088407027535
"('n_clusters', 'assign_labels', 'n_neighbors')",0.0064078438089949594,segment_RL.csv,False,4.048088407027535
affinity,0.016803823511294304,dense-disk-3000.csv,False,4.120038434048183
assign_labels,0.014447313618360085,dense-disk-3000.csv,False,4.120038434048183
n_clusters,0.4472380258615437,dense-disk-3000.csv,False,4.120038434048183
n_init,0.0172961426931819,dense-disk-3000.csv,False,4.120038434048183
n_neighbors,0.2701937672472907,dense-disk-3000.csv,False,4.120038434048183
"('n_clusters', 'n_neighbors')",0.07109401721412577,dense-disk-3000.csv,False,4.120038434048183
"('n_init', 'n_neighbors')",0.03728365203068273,dense-disk-3000.csv,False,4.120038434048183
"('assign_labels', 'n_neighbors')",0.035757787005948505,dense-disk-3000.csv,False,4.120038434048183
"('n_clusters', 'n_init')",0.02232422385404621,dense-disk-3000.csv,False,4.120038434048183
"('affinity', 'n_clusters')",0.011296710552802992,dense-disk-3000.csv,False,4.120038434048183
"('affinity', 'assign_labels')",0.00865357530728534,dense-disk-3000.csv,False,4.120038434048183
"('affinity', 'n_init')",0.007353720829167363,dense-disk-3000.csv,False,4.120038434048183
"('assign_labels', 'n_clusters')",0.005289371786903205,dense-disk-3000.csv,False,4.120038434048183
"('assign_labels', 'n_init')",0.004479057420125538,dense-disk-3000.csv,False,4.120038434048183
"('affinity', 'n_neighbors')",0.0021878779717579276,dense-disk-3000.csv,False,4.120038434048183
"('n_clusters', 'n_init', 'affinity')",0.004126760456374044,dense-disk-3000.csv,False,4.120038434048183
"('n_clusters', 'assign_labels', 'n_neighbors')",0.007059685427525529,dense-disk-3000.csv,False,4.120038434048183
affinity,0.25908998684417667,vowel_RL.csv,False,4.472212351975031
assign_labels,0.007328800161618229,vowel_RL.csv,False,4.472212351975031
n_clusters,0.09911383607081475,vowel_RL.csv,False,4.472212351975031
n_init,0.01847748364742896,vowel_RL.csv,False,4.472212351975031
n_neighbors,0.22477152506607762,vowel_RL.csv,False,4.472212351975031
"('affinity', 'n_neighbors')",0.10159178636964543,vowel_RL.csv,False,4.472212351975031
"('n_clusters', 'n_neighbors')",0.04098204296877915,vowel_RL.csv,False,4.472212351975031
"('affinity', 'n_clusters')",0.0402033847488713,vowel_RL.csv,False,4.472212351975031
"('n_init', 'n_neighbors')",0.02759193569955559,vowel_RL.csv,False,4.472212351975031
"('assign_labels', 'n_clusters')",0.014717582783733956,vowel_RL.csv,False,4.472212351975031
"('n_clusters', 'n_init')",0.01468152772515535,vowel_RL.csv,False,4.472212351975031
