param,importance,dataset,imputation,time_taken
affinity,0.5296862673754054,segment_RL.csv,False,4.184126437059604
assign_labels,0.005906254707198229,segment_RL.csv,False,4.184126437059604
n_clusters,0.12767496409532092,segment_RL.csv,False,4.184126437059604
n_init,0.009113221896860209,segment_RL.csv,False,4.184126437059604
n_neighbors,0.06575352712684909,segment_RL.csv,False,4.184126437059604
"('affinity', 'n_clusters')",0.09482817526807213,segment_RL.csv,False,4.184126437059604
"('affinity', 'n_neighbors')",0.044888022858213604,segment_RL.csv,False,4.184126437059604
"('n_clusters', 'n_neighbors')",0.035556832024560475,segment_RL.csv,False,4.184126437059604
"('n_clusters', 'n_init')",0.008758181294821761,segment_RL.csv,False,4.184126437059604
"('affinity', 'n_init')",0.008347126388669381,segment_RL.csv,False,4.184126437059604
"('affinity', 'assign_labels')",0.005369529311970435,segment_RL.csv,False,4.184126437059604
"('n_init', 'n_neighbors')",0.004324958175718155,segment_RL.csv,False,4.184126437059604
"('assign_labels', 'n_init')",0.002106399897686964,segment_RL.csv,False,4.184126437059604
"('assign_labels', 'n_neighbors')",0.002068953791440547,segment_RL.csv,False,4.184126437059604
"('assign_labels', 'n_clusters')",0.0016957623667883937,segment_RL.csv,False,4.184126437059604
"('n_clusters', 'n_init', 'affinity')",0.008050777679359595,segment_RL.csv,False,4.184126437059604
"('n_clusters', 'assign_labels', 'n_neighbors')",0.000991659806390332,segment_RL.csv,False,4.184126437059604
affinity,0.16954954475530334,dense-disk-3000.csv,False,4.607429371913895
assign_labels,0.1097154046640016,dense-disk-3000.csv,False,4.607429371913895
n_clusters,0.030167235693685006,dense-disk-3000.csv,False,4.607429371913895
n_init,0.014056625968816613,dense-disk-3000.csv,False,4.607429371913895
n_neighbors,0.3282118151284739,dense-disk-3000.csv,False,4.607429371913895
"('affinity', 'assign_labels')",0.10895053733568907,dense-disk-3000.csv,False,4.607429371913895
"('affinity', 'n_neighbors')",0.045525628614182675,dense-disk-3000.csv,False,4.607429371913895
"('affinity', 'n_clusters')",0.03422563643735189,dense-disk-3000.csv,False,4.607429371913895
"('assign_labels', 'n_clusters')",0.017722933459012595,dense-disk-3000.csv,False,4.607429371913895
"('assign_labels', 'n_neighbors')",0.016655608728837996,dense-disk-3000.csv,False,4.607429371913895
"('affinity', 'n_init')",0.016096174668813926,dense-disk-3000.csv,False,4.607429371913895
"('n_init', 'n_neighbors')",0.013984145450702942,dense-disk-3000.csv,False,4.607429371913895
"('n_clusters', 'n_neighbors')",0.013189094543777308,dense-disk-3000.csv,False,4.607429371913895
"('n_clusters', 'n_init')",0.011486454642757094,dense-disk-3000.csv,False,4.607429371913895
"('assign_labels', 'n_init')",0.004726283698923611,dense-disk-3000.csv,False,4.607429371913895
"('n_clusters', 'n_init', 'affinity')",0.007134311243164276,dense-disk-3000.csv,False,4.607429371913895
"('n_clusters', 'assign_labels', 'n_neighbors')",0.0029351184157913046,dense-disk-3000.csv,False,4.607429371913895
affinity,0.12958253441136042,vowel_RL.csv,False,4.187566548003815
assign_labels,0.008221614267470843,vowel_RL.csv,False,4.187566548003815
n_clusters,0.10084485086149003,vowel_RL.csv,False,4.187566548003815
n_init,0.024636558937739465,vowel_RL.csv,False,4.187566548003815
n_neighbors,0.17731312136068006,vowel_RL.csv,False,4.187566548003815
"('affinity', 'n_neighbors')",0.10747299353470591,vowel_RL.csv,False,4.187566548003815
"('n_clusters', 'n_neighbors')",0.10183307218113513,vowel_RL.csv,False,4.187566548003815
"('n_init', 'n_neighbors')",0.038771685566391045,vowel_RL.csv,False,4.187566548003815
"('affinity', 'n_clusters')",0.03690655740786928,vowel_RL.csv,False,4.187566548003815
"('n_clusters', 'n_init')",0.0320656737194077,vowel_RL.csv,False,4.187566548003815
"('assign_labels', 'n_clusters')",0.017698481958561385,vowel_RL.csv,False,4.187566548003815
"('assign_labels', 'n_neighbors')",0.016909660525401812,vowel_RL.csv,False,4.187566548003815
"('affinity', 'n_init')",0.011904906725303595,vowel_RL.csv,False,4.187566548003815
"('assign_labels', 'n_init')",0.005799466253744702,vowel_RL.csv,False,4.187566548003815
"('affinity', 'assign_labels')",0.005753398933685406,vowel_RL.csv,False,4.187566548003815
"('n_clusters', 'n_init', 'affinity')",0.015499527092909379,vowel_RL.csv,False,4.187566548003815
"('n_clusters', 'assign_labels', 'n_neighbors')",0.018032444095046084,vowel_RL.csv,False,4.187566548003815
affinity,0.34637178232316085,sonar_RL.csv,False,4.550219143042341
assign_labels,0.03400991793221504,sonar_RL.csv,False,4.550219143042341
n_clusters,0.28627493138244636,sonar_RL.csv,False,4.550219143042341
n_init,0.019180152149077017,sonar_RL.csv,False,4.550219143042341
n_neighbors,0.009998796083323994,sonar_RL.csv,False,4.550219143042341
"('affinity', 'n_clusters')",0.11627481889789287,sonar_RL.csv,False,4.550219143042341
"('n_clusters', 'n_init')",0.03480673443837473,sonar_RL.csv,False,4.550219143042341
"('affinity', 'assign_labels')",0.029129100824917726,sonar_RL.csv,False,4.550219143042341
"('n_clusters', 'n_neighbors')",0.0198161067623022,sonar_RL.csv,False,4.550219143042341
"('assign_labels', 'n_clusters')",0.018162927069286135,sonar_RL.csv,False,4.550219143042341
"('affinity', 'n_init')",0.013926641361555345,sonar_RL.csv,False,4.550219143042341
"('affinity', 'n_neighbors')",0.007048804382455218,sonar_RL.csv,False,4.550219143042341
"('assign_labels', 'n_neighbors')",0.0036776942162804953,sonar_RL.csv,False,4.550219143042341
"('n_init', 'n_neighbors')",0.003096164654549138,sonar_RL.csv,False,4.550219143042341
"('assign_labels', 'n_init')",0.0020012372036745593,sonar_RL.csv,False,4.550219143042341
"('n_clusters', 'n_init', 'affinity')",0.013971882034141795,sonar_RL.csv,False,4.550219143042341
"('n_clusters', 'assign_labels', 'n_neighbors')",0.00420756013306233,sonar_RL.csv,False,4.550219143042341
affinity,0.03153369840828473,cluto-t4-8k.csv,False,3.980491367052309
assign_labels,0.0017430824236056297,cluto-t4-8k.csv,False,3.980491367052309
n_clusters,0.31809250956291474,cluto-t4-8k.csv,False,3.980491367052309
n_init,0.015533964130196616,cluto-t4-8k.csv,False,3.980491367052309
n_neighbors,0.18816024479089768,cluto-t4-8k.csv,False,3.980491367052309
"('affinity', 'n_clusters')",0.12111422558527542,cluto-t4-8k.csv,False,3.980491367052309
"('n_clusters', 'n_neighbors')",0.10082814377943193,cluto-t4-8k.csv,False,3.980491367052309
"('affinity', 'n_neighbors')",0.053723420930340764,cluto-t4-8k.csv,False,3.980491367052309
"('n_clusters', 'n_init')",0.025110469972805784,cluto-t4-8k.csv,False,3.980491367052309
"('n_init', 'n_neighbors')",0.022118143128366748,cluto-t4-8k.csv,False,3.980491367052309
"('affinity', 'n_init')",0.009715025679039872,cluto-t4-8k.csv,False,3.980491367052309
"('assign_labels', 'n_clusters')",0.0056419173441927825,cluto-t4-8k.csv,False,3.980491367052309
"('assign_labels', 'n_neighbors')",0.004286389908584352,cluto-t4-8k.csv,False,3.980491367052309
"('affinity', 'assign_labels')",0.0031124376621361814,cluto-t4-8k.csv,False,3.980491367052309
"('assign_labels', 'n_init')",0.0014367646088466047,cluto-t4-8k.csv,False,3.980491367052309
"('n_clusters', 'n_init', 'affinity')",0.007415692990019958,cluto-t4-8k.csv,False,3.980491367052309
