param,importance,dataset,imputation,time_taken
affinity,0.08447622843533376,segment_RL.csv,False,4.579451274010353
assign_labels,0.04692576214452948,segment_RL.csv,False,4.579451274010353
n_clusters,0.050536806233474375,segment_RL.csv,False,4.579451274010353
n_init,0.008266233598812438,segment_RL.csv,False,4.579451274010353
n_neighbors,0.5036226671899768,segment_RL.csv,False,4.579451274010353
"('affinity', 'n_neighbors')",0.04473327705151893,segment_RL.csv,False,4.579451274010353
"('affinity', 'assign_labels')",0.03944047811203746,segment_RL.csv,False,4.579451274010353
"('assign_labels', 'n_neighbors')",0.0380333916819864,segment_RL.csv,False,4.579451274010353
"('n_clusters', 'n_neighbors')",0.032877906039130496,segment_RL.csv,False,4.579451274010353
"('assign_labels', 'n_clusters')",0.01785180547905743,segment_RL.csv,False,4.579451274010353
"('affinity', 'n_clusters')",0.016622159708022326,segment_RL.csv,False,4.579451274010353
"('n_init', 'n_neighbors')",0.014598303284636056,segment_RL.csv,False,4.579451274010353
"('n_clusters', 'n_init')",0.010924030772786619,segment_RL.csv,False,4.579451274010353
"('assign_labels', 'n_init')",0.007365769753920205,segment_RL.csv,False,4.579451274010353
"('affinity', 'n_init')",0.0072819154774272105,segment_RL.csv,False,4.579451274010353
"('n_clusters', 'n_init', 'affinity')",0.0009308744242309539,segment_RL.csv,False,4.579451274010353
"('n_clusters', 'assign_labels', 'n_neighbors')",0.004236692693260612,segment_RL.csv,False,4.579451274010353
affinity,0.0056798632185506214,dense-disk-3000.csv,False,4.223697392037138
assign_labels,0.0025417614743641096,dense-disk-3000.csv,False,4.223697392037138
n_clusters,0.11851337703489828,dense-disk-3000.csv,False,4.223697392037138
n_init,0.013216655294480451,dense-disk-3000.csv,False,4.223697392037138
n_neighbors,0.5199394219530078,dense-disk-3000.csv,False,4.223697392037138
"('n_clusters', 'n_neighbors')",0.14587054783410694,dense-disk-3000.csv,False,4.223697392037138
"('n_init', 'n_neighbors')",0.10363914852154468,dense-disk-3000.csv,False,4.223697392037138
"('assign_labels', 'n_neighbors')",0.055367522060381966,dense-disk-3000.csv,False,4.223697392037138
