param,importance,dataset,imputation,time_taken
affinity,0.02202707922754685,segment_RL.csv,False,2.4839606479508802
assign_labels,0.06687793539788552,segment_RL.csv,False,2.4839606479508802
n_clusters,0.24583552867624595,segment_RL.csv,False,2.4839606479508802
n_init,0.04516938434747533,segment_RL.csv,False,2.4839606479508802
n_neighbors,0.06314246126103357,segment_RL.csv,False,2.4839606479508802
"('n_clusters', 'n_init')",0.07146697243263189,segment_RL.csv,False,2.4839606479508802
"('affinity', 'n_clusters')",0.0633768134123586,segment_RL.csv,False,2.4839606479508802
"('n_clusters', 'n_neighbors')",0.05731903657902119,segment_RL.csv,False,2.4839606479508802
"('assign_labels', 'n_clusters')",0.05586539227680798,segment_RL.csv,False,2.4839606479508802
"('n_init', 'n_neighbors')",0.038104744606804915,segment_RL.csv,False,2.4839606479508802
"('assign_labels', 'n_neighbors')",0.03675835906412266,segment_RL.csv,False,2.4839606479508802
"('affinity', 'assign_labels')",0.035875231233623496,segment_RL.csv,False,2.4839606479508802
"('assign_labels', 'n_init')",0.017407530817322076,segment_RL.csv,False,2.4839606479508802
"('affinity', 'n_neighbors')",0.01737007137877432,segment_RL.csv,False,2.4839606479508802
"('affinity', 'n_init')",0.009766757868361337,segment_RL.csv,False,2.4839606479508802
"('n_clusters', 'n_init', 'affinity')",0.008222016148286855,segment_RL.csv,False,2.4839606479508802
"('n_clusters', 'assign_labels', 'n_neighbors')",0.02087457388870229,segment_RL.csv,False,2.4839606479508802
affinity,0.22095172811415373,dense-disk-3000.csv,False,4.437540586921386
assign_labels,0.016922391802347187,dense-disk-3000.csv,False,4.437540586921386
n_clusters,0.21378917111179807,dense-disk-3000.csv,False,4.437540586921386
n_init,0.03539595139401597,dense-disk-3000.csv,False,4.437540586921386
n_neighbors,0.04957359573930785,dense-disk-3000.csv,False,4.437540586921386
"('affinity', 'n_clusters')",0.06680500427442465,dense-disk-3000.csv,False,4.437540586921386
"('n_clusters', 'n_neighbors')",0.05188838821128054,dense-disk-3000.csv,False,4.437540586921386
"('n_clusters', 'n_init')",0.04207338642180454,dense-disk-3000.csv,False,4.437540586921386
"('affinity', 'n_neighbors')",0.03403283551249102,dense-disk-3000.csv,False,4.437540586921386
"('affinity', 'assign_labels')",0.033343144797496525,dense-disk-3000.csv,False,4.437540586921386
"('affinity', 'n_init')",0.028296127808682833,dense-disk-3000.csv,False,4.437540586921386
"('assign_labels', 'n_clusters')",0.018499257404599498,dense-disk-3000.csv,False,4.437540586921386
"('n_init', 'n_neighbors')",0.012773572404615071,dense-disk-3000.csv,False,4.437540586921386
"('assign_labels', 'n_init')",0.010535294794809875,dense-disk-3000.csv,False,4.437540586921386
"('assign_labels', 'n_neighbors')",0.008398145035734106,dense-disk-3000.csv,False,4.437540586921386
"('n_clusters', 'n_init', 'affinity')",0.026878858935140023,dense-disk-3000.csv,False,4.437540586921386
"('n_clusters', 'assign_labels', 'n_neighbors')",0.006368407949411245,dense-disk-3000.csv,False,4.437540586921386
affinity,0.3320727866483566,vowel_RL.csv,False,4.556355072068982
assign_labels,0.001405099888167012,vowel_RL.csv,False,4.556355072068982
n_clusters,0.4355239349157819,vowel_RL.csv,False,4.556355072068982
n_init,0.014677769157261707,vowel_RL.csv,False,4.556355072068982
n_neighbors,0.010019919718031504,vowel_RL.csv,False,4.556355072068982
"('affinity', 'n_clusters')",0.07537572024618232,vowel_RL.csv,False,4.556355072068982
"('n_clusters', 'n_init')",0.026257950276983334,vowel_RL.csv,False,4.556355072068982
"('n_clusters', 'n_neighbors')",0.024916185023860133,vowel_RL.csv,False,4.556355072068982
"('affinity', 'n_neighbors')",0.010291236822347354,vowel_RL.csv,False,4.556355072068982
"('affinity', 'n_init')",0.009625511473727609,vowel_RL.csv,False,4.556355072068982
"('assign_labels', 'n_clusters')",0.005965290311657793,vowel_RL.csv,False,4.556355072068982
"('n_init', 'n_neighbors')",0.003765981442808698,vowel_RL.csv,False,4.556355072068982
"('affinity', 'assign_labels')",0.0010924163981433038,vowel_RL.csv,False,4.556355072068982
"('assign_labels', 'n_init')",0.0010458752728852022,vowel_RL.csv,False,4.556355072068982
"('assign_labels', 'n_neighbors')",0.00044695013033714987,vowel_RL.csv,False,4.556355072068982
"('n_clusters', 'n_init', 'affinity')",0.014862826711892463,vowel_RL.csv,False,4.556355072068982
"('n_clusters', 'assign_labels', 'n_neighbors')",0.0006671418769249969,vowel_RL.csv,False,4.556355072068982
affinity,0.35212560248831326,sonar_RL.csv,False,1.8434434470254928
assign_labels,0.008977498363368246,sonar_RL.csv,False,1.8434434470254928
n_clusters,0.08307429846723448,sonar_RL.csv,False,1.8434434470254928
n_init,0.05244486357393191,sonar_RL.csv,False,1.8434434470254928
n_neighbors,0.03985047358315814,sonar_RL.csv,False,1.8434434470254928
