param,importance,dataset,imputation,time_taken
affinity,0.021827975373473266,segment_RL.csv,False,4.266481125028804
assign_labels,0.03510391079371937,segment_RL.csv,False,4.266481125028804
n_clusters,0.165299515515786,segment_RL.csv,False,4.266481125028804
n_init,0.03862873116909245,segment_RL.csv,False,4.266481125028804
n_neighbors,0.26800194142585976,segment_RL.csv,False,4.266481125028804
"('n_clusters', 'n_neighbors')",0.0880189480881363,segment_RL.csv,False,4.266481125028804
"('affinity', 'n_clusters')",0.07704160757123038,segment_RL.csv,False,4.266481125028804
"('affinity', 'assign_labels')",0.04979368318242028,segment_RL.csv,False,4.266481125028804
"('n_clusters', 'n_init')",0.04158659073212093,segment_RL.csv,False,4.266481125028804
"('assign_labels', 'n_clusters')",0.03386682867658034,segment_RL.csv,False,4.266481125028804
"('assign_labels', 'n_neighbors')",0.023680464293312074,segment_RL.csv,False,4.266481125028804
"('n_init', 'n_neighbors')",0.018435197752122115,segment_RL.csv,False,4.266481125028804
"('affinity', 'n_neighbors')",0.012388282808861463,segment_RL.csv,False,4.266481125028804
"('affinity', 'n_init')",0.0060550875864926555,segment_RL.csv,False,4.266481125028804
"('assign_labels', 'n_init')",0.006012297063997512,segment_RL.csv,False,4.266481125028804
"('n_clusters', 'n_init', 'affinity')",0.007203067205891514,segment_RL.csv,False,4.266481125028804
"('n_clusters', 'assign_labels', 'n_neighbors')",0.01972630282216744,segment_RL.csv,False,4.266481125028804
affinity,0.022270291295392,dense-disk-3000.csv,False,4.1642438230337575
assign_labels,0.0081965905175175,dense-disk-3000.csv,False,4.1642438230337575
n_clusters,0.5142396345661975,dense-disk-3000.csv,False,4.1642438230337575
n_init,0.00537280909270521,dense-disk-3000.csv,False,4.1642438230337575
n_neighbors,0.23798502240782066,dense-disk-3000.csv,False,4.1642438230337575
"('n_clusters', 'n_neighbors')",0.0824583341217294,dense-disk-3000.csv,False,4.1642438230337575
"('n_init', 'n_neighbors')",0.028654470967940347,dense-disk-3000.csv,False,4.1642438230337575
"('assign_labels', 'n_clusters')",0.013041562050547462,dense-disk-3000.csv,False,4.1642438230337575
"('affinity', 'n_neighbors')",0.012973634545882056,dense-disk-3000.csv,False,4.1642438230337575
"('affinity', 'n_clusters')",0.012528183833288794,dense-disk-3000.csv,False,4.1642438230337575
"('n_clusters', 'n_init')",0.01073687285858257,dense-disk-3000.csv,False,4.1642438230337575
"('affinity', 'assign_labels')",0.005684511874135564,dense-disk-3000.csv,False,4.1642438230337575
"('assign_labels', 'n_neighbors')",0.005028928278983068,dense-disk-3000.csv,False,4.1642438230337575
"('affinity', 'n_init')",0.002527785059230592,dense-disk-3000.csv,False,4.1642438230337575
"('assign_labels', 'n_init')",0.0007389873150894103,dense-disk-3000.csv,False,4.1642438230337575
"('n_clusters', 'n_init', 'affinity')",0.003369639543784838,dense-disk-3000.csv,False,4.1642438230337575
"('n_clusters', 'assign_labels', 'n_neighbors')",0.004203093092937371,dense-disk-3000.csv,False,4.1642438230337575
affinity,0.05903979092503781,vowel_RL.csv,False,3.6933438370469958
assign_labels,0.004736889244164919,vowel_RL.csv,False,3.6933438370469958
n_clusters,0.4448476514354802,vowel_RL.csv,False,3.6933438370469958
n_init,0.03241000316742644,vowel_RL.csv,False,3.6933438370469958
n_neighbors,0.11744849692468834,vowel_RL.csv,False,3.6933438370469958
"('n_clusters', 'n_neighbors')",0.06770608604012693,vowel_RL.csv,False,3.6933438370469958
"('n_clusters', 'n_init')",0.04871090323547861,vowel_RL.csv,False,3.6933438370469958
"('affinity', 'n_clusters')",0.03260471660841366,vowel_RL.csv,False,3.6933438370469958
"('n_init', 'n_neighbors')",0.023925035254592764,vowel_RL.csv,False,3.6933438370469958
"('affinity', 'n_neighbors')",0.0236394926060883,vowel_RL.csv,False,3.6933438370469958
"('assign_labels', 'n_clusters')",0.016564910077385076,vowel_RL.csv,False,3.6933438370469958
"('affinity', 'n_init')",0.01078021744072814,vowel_RL.csv,False,3.6933438370469958
"('assign_labels', 'n_neighbors')",0.003876873181998877,vowel_RL.csv,False,3.6933438370469958
