param,importance,dataset,imputation,time_taken
affinity,0.025138058617324655,segment_RL.csv,False,3.9303933340124786
assign_labels,0.012297656227700371,segment_RL.csv,False,3.9303933340124786
n_clusters,0.26172495991245404,segment_RL.csv,False,3.9303933340124786
n_init,0.03264428905721741,segment_RL.csv,False,3.9303933340124786
n_neighbors,0.23214114550942863,segment_RL.csv,False,3.9303933340124786
"('affinity', 'n_clusters')",0.10803963384041919,segment_RL.csv,False,3.9303933340124786
"('n_clusters', 'n_neighbors')",0.08647866144266966,segment_RL.csv,False,3.9303933340124786
"('assign_labels', 'n_clusters')",0.03859435420004402,segment_RL.csv,False,3.9303933340124786
"('n_clusters', 'n_init')",0.03757336831107701,segment_RL.csv,False,3.9303933340124786
"('n_init', 'n_neighbors')",0.03223082924712037,segment_RL.csv,False,3.9303933340124786
"('affinity', 'n_neighbors')",0.024804109602404523,segment_RL.csv,False,3.9303933340124786
"('affinity', 'n_init')",0.010046870294328932,segment_RL.csv,False,3.9303933340124786
"('affinity', 'assign_labels')",0.005843886247079164,segment_RL.csv,False,3.9303933340124786
"('assign_labels', 'n_neighbors')",0.004304993174147697,segment_RL.csv,False,3.9303933340124786
"('assign_labels', 'n_init')",0.0032836201262939433,segment_RL.csv,False,3.9303933340124786
"('n_clusters', 'n_init', 'affinity')",0.012911612371566709,segment_RL.csv,False,3.9303933340124786
"('n_clusters', 'assign_labels', 'n_neighbors')",0.005514221889663155,segment_RL.csv,False,3.9303933340124786
affinity,0.03626607103844217,dense-disk-3000.csv,False,4.796040438930504
assign_labels,0.042844473543062124,dense-disk-3000.csv,False,4.796040438930504
n_clusters,0.018819219474250058,dense-disk-3000.csv,False,4.796040438930504
n_init,0.01987034317623742,dense-disk-3000.csv,False,4.796040438930504
n_neighbors,0.6192973981802998,dense-disk-3000.csv,False,4.796040438930504
"('n_init', 'n_neighbors')",0.04325973876436974,dense-disk-3000.csv,False,4.796040438930504
"('affinity', 'assign_labels')",0.042357577369816865,dense-disk-3000.csv,False,4.796040438930504
"('n_clusters', 'n_neighbors')",0.03878575197690468,dense-disk-3000.csv,False,4.796040438930504
"('assign_labels', 'n_neighbors')",0.03018339458081454,dense-disk-3000.csv,False,4.796040438930504
"('affinity', 'n_neighbors')",0.012020129466944054,dense-disk-3000.csv,False,4.796040438930504
"('n_clusters', 'n_init')",0.011638994895282289,dense-disk-3000.csv,False,4.796040438930504
"('affinity', 'n_init')",0.009992784603990444,dense-disk-3000.csv,False,4.796040438930504
"('assign_labels', 'n_clusters')",0.008222552363113266,dense-disk-3000.csv,False,4.796040438930504
"('affinity', 'n_clusters')",0.007495993417843558,dense-disk-3000.csv,False,4.796040438930504
"('assign_labels', 'n_init')",0.0071226215515935104,dense-disk-3000.csv,False,4.796040438930504
"('n_clusters', 'n_init', 'affinity')",0.0030473037068753338,dense-disk-3000.csv,False,4.796040438930504
"('n_clusters', 'assign_labels', 'n_neighbors')",0.004283365416370848,dense-disk-3000.csv,False,4.796040438930504
affinity,0.22237243386749841,vowel_RL.csv,False,4.44325851497706
assign_labels,0.011535641375375907,vowel_RL.csv,False,4.44325851497706
n_clusters,0.14107340472766944,vowel_RL.csv,False,4.44325851497706
n_init,0.019217064251635288,vowel_RL.csv,False,4.44325851497706
n_neighbors,0.21198015260791128,vowel_RL.csv,False,4.44325851497706
"('affinity', 'n_neighbors')",0.07647940536359923,vowel_RL.csv,False,4.44325851497706
"('n_clusters', 'n_neighbors')",0.06230679786619454,vowel_RL.csv,False,4.44325851497706
"('affinity', 'n_clusters')",0.04844433751915833,vowel_RL.csv,False,4.44325851497706
"('n_init', 'n_neighbors')",0.03276415352999856,vowel_RL.csv,False,4.44325851497706
"('n_clusters', 'n_init')",0.016767142593934383,vowel_RL.csv,False,4.44325851497706
"('assign_labels', 'n_clusters')",0.014395187219597821,vowel_RL.csv,False,4.44325851497706
"('assign_labels', 'n_neighbors')",0.012632458294553875,vowel_RL.csv,False,4.44325851497706
"('affinity', 'n_init')",0.01188696234798486,vowel_RL.csv,False,4.44325851497706
"('affinity', 'assign_labels')",0.004692933782808578,vowel_RL.csv,False,4.44325851497706
"('assign_labels', 'n_init')",0.002912963088200569,vowel_RL.csv,False,4.44325851497706
"('n_clusters', 'n_init', 'affinity')",0.011826378362988698,vowel_RL.csv,False,4.44325851497706
"('n_clusters', 'assign_labels', 'n_neighbors')",0.00774989950656698,vowel_RL.csv,False,4.44325851497706
affinity,0.12850926984280048,sonar_RL.csv,False,4.214739833958447
assign_labels,0.004497253881904051,sonar_RL.csv,False,4.214739833958447
n_clusters,0.3115542421054919,sonar_RL.csv,False,4.214739833958447
n_init,0.01689430575332049,sonar_RL.csv,False,4.214739833958447
n_neighbors,0.04760347090690667,sonar_RL.csv,False,4.214739833958447
"('affinity', 'n_clusters')",0.24260182655127172,sonar_RL.csv,False,4.214739833958447
"('n_clusters', 'n_neighbors')",0.03945043462855745,sonar_RL.csv,False,4.214739833958447
"('assign_labels', 'n_clusters')",0.03282592968887204,sonar_RL.csv,False,4.214739833958447
"('affinity', 'n_neighbors')",0.028252658842115665,sonar_RL.csv,False,4.214739833958447
"('n_clusters', 'n_init')",0.020757892077269746,sonar_RL.csv,False,4.214739833958447
"('n_init', 'n_neighbors')",0.016303644359261224,sonar_RL.csv,False,4.214739833958447
"('affinity', 'n_init')",0.008098364521017325,sonar_RL.csv,False,4.214739833958447
"('affinity', 'assign_labels')",0.0062017305216064645,sonar_RL.csv,False,4.214739833958447
"('assign_labels', 'n_neighbors')",0.004608313590996598,sonar_RL.csv,False,4.214739833958447
"('assign_labels', 'n_init')",0.002826621952828172,sonar_RL.csv,False,4.214739833958447
"('n_clusters', 'n_init', 'affinity')",0.012524523617828725,sonar_RL.csv,False,4.214739833958447
"('n_clusters', 'assign_labels', 'n_neighbors')",0.005002029527395719,sonar_RL.csv,False,4.214739833958447
affinity,0.013541449016929255,cluto-t4-8k.csv,False,4.06620237394236
assign_labels,0.0028461763981941423,cluto-t4-8k.csv,False,4.06620237394236
n_clusters,0.09972340904700162,cluto-t4-8k.csv,False,4.06620237394236
n_init,0.011950461928987063,cluto-t4-8k.csv,False,4.06620237394236
n_neighbors,0.5182706438654785,cluto-t4-8k.csv,False,4.06620237394236
"('affinity', 'n_clusters')",0.10002622164448058,cluto-t4-8k.csv,False,4.06620237394236
"('n_clusters', 'n_neighbors')",0.07823619838117016,cluto-t4-8k.csv,False,4.06620237394236
"('n_init', 'n_neighbors')",0.037144824290226294,cluto-t4-8k.csv,False,4.06620237394236
"('affinity', 'n_neighbors')",0.033510954003188195,cluto-t4-8k.csv,False,4.06620237394236
"('n_clusters', 'n_init')",0.012405192518981142,cluto-t4-8k.csv,False,4.06620237394236
"('assign_labels', 'n_neighbors')",0.011283460714659384,cluto-t4-8k.csv,False,4.06620237394236
"('assign_labels', 'n_clusters')",0.009441956547812248,cluto-t4-8k.csv,False,4.06620237394236
"('affinity', 'n_init')",0.004614636657071236,cluto-t4-8k.csv,False,4.06620237394236
"('affinity', 'assign_labels')",0.0012803317201006733,cluto-t4-8k.csv,False,4.06620237394236
"('assign_labels', 'n_init')",0.0007388266847613029,cluto-t4-8k.csv,False,4.06620237394236
"('n_clusters', 'n_init', 'affinity')",0.007500564939586731,cluto-t4-8k.csv,False,4.06620237394236
"('n_clusters', 'assign_labels', 'n_neighbors')",0.0021974142404836985,cluto-t4-8k.csv,False,4.06620237394236
affinity,0.09957081292752268,engytime.csv,False,4.445152802974917
assign_labels,0.04875642052171704,engytime.csv,False,4.445152802974917
n_clusters,0.12374589967902239,engytime.csv,False,4.445152802974917
n_init,0.015738095856552968,engytime.csv,False,4.445152802974917
n_neighbors,0.3434926963724114,engytime.csv,False,4.445152802974917
"('affinity', 'n_neighbors')",0.058320611465623076,engytime.csv,False,4.445152802974917
"('affinity', 'n_clusters')",0.050223062310724015,engytime.csv,False,4.445152802974917
"('affinity', 'assign_labels')",0.045776346898726596,engytime.csv,False,4.445152802974917
"('n_clusters', 'n_neighbors')",0.033944316481908425,engytime.csv,False,4.445152802974917
"('n_init', 'n_neighbors')",0.02837991520214101,engytime.csv,False,4.445152802974917
"('assign_labels', 'n_clusters')",0.020927293568774687,engytime.csv,False,4.445152802974917
"('n_clusters', 'n_init')",0.01987906986770227,engytime.csv,False,4.445152802974917
"('assign_labels', 'n_neighbors')",0.015507483604510715,engytime.csv,False,4.445152802974917
"('affinity', 'n_init')",0.009341252783786618,engytime.csv,False,4.445152802974917
