dataset,n_clusters,init,max_iter,algorithm,n_init,tol,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
yeast_RL.csv,23,k-means++,184,full,27,0.06926263833167826,None,Real,4.311583297996549,0.7687938596092644,0.0953996280083582,0.14686531937469538,0.24963675691309536,0.27113069401697987
yeast_RL.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Real,9.828295404004166,0.7712448177275975,0.05879574511249152,0.13836007916401957,0.22982353196858835,0.2629660010660651
yeast_RL.csv,29,random,184,auto,9,0.006150895932805391,None,Real,0.3185689110250678,0.7705541509979226,0.06858959997142343,0.1483966523459235,0.2310478264944505,0.25792920198212105
engytime.csv,23,k-means++,184,full,27,0.06926263833167826,None,Synthetic,0.7298279690148775,0.5433656946352259,0.08653062320586599,0.31101543154173467,0.3024656848576734,0.3034684243432098
engytime.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Synthetic,5.108916317985859,0.527035399496337,0.05385378886008182,0.3076782135089117,0.2737859371778136,0.2753793777023633
engytime.csv,29,random,184,auto,9,0.006150895932805391,None,Synthetic,7.034665044979192,0.5340113228785104,0.0678124615216894,0.32311301983988694,0.2879191605725939,0.28914066790012166
triangle2.csv,23,k-means++,184,full,27,0.06926263833167826,None,Synthetic,0.5043368460028432,0.7485385385385386,0.2111942423993047,0.3286170890350039,0.5723148422650659,0.5790888634868153
triangle2.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Synthetic,0.7444295449822675,0.7304424424424425,0.13423475389499356,0.3425921485468283,0.5083897775768832,0.5208628139336756
triangle2.csv,29,random,184,auto,9,0.006150895932805391,None,Synthetic,0.14370175497606397,0.7397057057057057,0.17412231830782413,0.32249807289452226,0.5437171436303428,0.552609625872941
s2.csv,23,k-means++,184,full,27,0.06926263833167826,None,Synthetic,4.352901707985438,0.9801438478972305,0.8225730987466937,0.49421436287737064,0.8900492902044762,0.891258517707712
s2.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Synthetic,5.611064147989964,0.9645476914510553,0.6317267908920539,0.3841281668200084,0.8227807093239257,0.8259481938837285
s2.csv,29,random,184,auto,9,0.006150895932805391,None,Synthetic,4.141435847006505,0.974839625788303,0.7638200896544286,0.4566429654178459,0.8642444210840946,0.8661064677780986
2d-10c-no0.csv,23,k-means++,184,full,27,0.06926263833167826,None,Synthetic,0.5814552290248685,0.950713061239377,0.6924042919896709,0.5045778643141872,0.842361410470424,0.8514710827182366
2d-10c-no0.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Synthetic,0.9556843400059734,0.9266477003319109,0.4801019128293999,0.4006488310939823,0.7592376977336419,0.7807871142762356
2d-10c-no0.csv,29,random,184,auto,9,0.006150895932805391,None,Synthetic,0.17226943399873562,0.9291425028267134,0.50565647845754,0.3923089432436651,0.7818744705876517,0.7971473756122651
donut3.csv,23,k-means++,184,full,27,0.06926263833167826,None,Synthetic,0.5608007950067986,0.7302167022108409,0.23727549889974853,0.38273334934204334,0.5418387251292052,0.5470023928281739
donut3.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Synthetic,0.8920543139975052,0.7032379704242989,0.1390242749746133,0.3734572707854378,0.47154184806371524,0.4807648905406803
donut3.csv,29,random,184,auto,9,0.006150895932805391,None,Synthetic,0.20570071000838652,0.7055133335879382,0.14750901775396988,0.3780156780509521,0.4927475912963379,0.4993811029994294
disk_4500n.csv,23,k-means++,184,full,27,0.06926263833167826,None,Synthetic,0.7841081589867827,0.45374241189400116,0.04632396756793996,0.32801016888715784,0.24033362448121096,0.24133233057749542
disk_4500n.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Synthetic,4.82551073297509,0.4427211973031044,0.0320118628018227,0.33508344188066336,0.23185536152030106,0.23338765245810505
disk_4500n.csv,29,random,184,auto,9,0.006150895932805391,None,Synthetic,5.449442217999604,0.4468762934973204,0.03677313790314079,0.3335565243434266,0.21868091256330924,0.21991375628325963
2d-25c-no0.csv,23,k-means++,184,full,27,0.06926263833167826,None,Synthetic,0.5415218280104455,0.9716827601171748,0.7169969485420497,0.5164031534886931,0.8346863194140615,0.8457424680537263
2d-25c-no0.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Synthetic,3.365912463981658,0.9753258090106733,0.7067915211943147,0.499573414139411,0.8279734846623666,0.8457108934675448
2d-25c-no0.csv,29,random,184,auto,9,0.006150895932805391,None,Synthetic,0.16594584498670883,0.9746599074506322,0.7192680554124281,0.49010493979894293,0.8400409710014706,0.8532076569945266
target.csv,23,k-means++,184,full,27,0.06926263833167826,None,Synthetic,0.5680239439825527,0.5846182426156419,0.1468907421740763,0.4114888210998967,0.41872904243765624,0.4328808188181813
target.csv,39,k-means++,288,elkan,22,0.07854280426055202,None,Synthetic,0.8146400309924502,0.5509837366794454,0.07587068597967293,0.3817340561169887,0.35031191036418663,0.36997868592535876
target.csv,29,random,184,auto,9,0.006150895932805391,None,Synthetic,0.14636622200487182,0.5557901136574739,0.08603777394416917,0.4097163931779858,0.3735295463680964,0.3902801019859874
