param,importance,dataset,imputation,time_taken
affinity,0.22020595444053942,vertebral_RL.csv,False,1.1958127550315112
compute_full_tree,0.012924704768348606,vertebral_RL.csv,False,1.1958127550315112
linkage,0.2536516845125113,vertebral_RL.csv,False,1.1958127550315112
n_clusters,0.05791815210194706,vertebral_RL.csv,False,1.1958127550315112
"('affinity', 'linkage')",0.20456582083890687,vertebral_RL.csv,False,1.1958127550315112
"('affinity', 'n_clusters')",0.05406687765850667,vertebral_RL.csv,False,1.1958127550315112
"('linkage', 'n_clusters')",0.03501168136483169,vertebral_RL.csv,False,1.1958127550315112
"('affinity', 'compute_full_tree')",0.026791489874278714,vertebral_RL.csv,False,1.1958127550315112
"('compute_full_tree', 'linkage')",0.012794562047689601,vertebral_RL.csv,False,1.1958127550315112
"('compute_full_tree', 'n_clusters')",0.008752617902058212,vertebral_RL.csv,False,1.1958127550315112
"('n_clusters', 'affinity', 'linkage')",0.05314257755797201,vertebral_RL.csv,False,1.1958127550315112
"('compute_full_tree', 'affinity', 'linkage')",0.024798536877531585,vertebral_RL.csv,False,1.1958127550315112
affinity,0.38443295044760495,dense-disk-5000.csv,False,1.1361156159546226
compute_full_tree,0.006996341686757681,dense-disk-5000.csv,False,1.1361156159546226
linkage,0.1031188168574651,dense-disk-5000.csv,False,1.1361156159546226
n_clusters,0.06948750002522497,dense-disk-5000.csv,False,1.1361156159546226
"('affinity', 'n_clusters')",0.20824047560391956,dense-disk-5000.csv,False,1.1361156159546226
"('affinity', 'linkage')",0.08998843731211557,dense-disk-5000.csv,False,1.1361156159546226
"('affinity', 'compute_full_tree')",0.025200672961477807,dense-disk-5000.csv,False,1.1361156159546226
"('linkage', 'n_clusters')",0.02020759819050536,dense-disk-5000.csv,False,1.1361156159546226
"('compute_full_tree', 'n_clusters')",0.01029651687110307,dense-disk-5000.csv,False,1.1361156159546226
"('compute_full_tree', 'linkage')",0.005865184622567845,dense-disk-5000.csv,False,1.1361156159546226
"('n_clusters', 'affinity', 'linkage')",0.03204344875076015,dense-disk-5000.csv,False,1.1361156159546226
"('compute_full_tree', 'affinity', 'linkage')",0.01705558523965147,dense-disk-5000.csv,False,1.1361156159546226
affinity,0.07854801526323384,wine_RL.csv,False,1.1468097469769418
compute_full_tree,0.005457501135639149,wine_RL.csv,False,1.1468097469769418
linkage,0.4763199551063746,wine_RL.csv,False,1.1468097469769418
n_clusters,0.03927027719334206,wine_RL.csv,False,1.1468097469769418
"('affinity', 'linkage')",0.17682597408243272,wine_RL.csv,False,1.1468097469769418
"('linkage', 'n_clusters')",0.0640624327548693,wine_RL.csv,False,1.1468097469769418
"('affinity', 'n_clusters')",0.04045681302268839,wine_RL.csv,False,1.1468097469769418
"('affinity', 'compute_full_tree')",0.013536602902817028,wine_RL.csv,False,1.1468097469769418
"('compute_full_tree', 'linkage')",0.013307055187842951,wine_RL.csv,False,1.1468097469769418
