param,importance,dataset,imputation,time_taken
affinity,0.09140857037176939,vertebral_RL.csv,True,2.3647989529999904
compute_full_tree,0.004876532246475324,vertebral_RL.csv,True,2.3647989529999904
imputation,1.0410999530462756e-16,vertebral_RL.csv,True,2.3647989529999904
linkage,0.5108426411382945,vertebral_RL.csv,True,2.3647989529999904
n_clusters,0.12248717889718669,vertebral_RL.csv,True,2.3647989529999904
"('linkage', 'n_clusters')",0.08416621201950773,vertebral_RL.csv,True,2.3647989529999904
"('affinity', 'n_clusters')",0.04719367152541985,vertebral_RL.csv,True,2.3647989529999904
"('affinity', 'linkage')",0.02964827006996608,vertebral_RL.csv,True,2.3647989529999904
"('compute_full_tree', 'n_clusters')",0.014720364059469339,vertebral_RL.csv,True,2.3647989529999904
"('compute_full_tree', 'linkage')",0.008039143863137003,vertebral_RL.csv,True,2.3647989529999904
"('affinity', 'compute_full_tree')",0.004018398014409473,vertebral_RL.csv,True,2.3647989529999904
"('imputation', 'linkage')",1.310436014528014e-16,vertebral_RL.csv,True,2.3647989529999904
"('affinity', 'imputation')",4.9341426971155426e-17,vertebral_RL.csv,True,2.3647989529999904
"('imputation', 'n_clusters')",2.8386383229657463e-17,vertebral_RL.csv,True,2.3647989529999904
"('compute_full_tree', 'imputation')",1.888679050339051e-17,vertebral_RL.csv,True,2.3647989529999904
"('n_clusters', 'affinity', 'linkage')",0.043523391591942115,vertebral_RL.csv,True,2.3647989529999904
"('compute_full_tree', 'affinity', 'linkage')",0.005603912254948221,vertebral_RL.csv,True,2.3647989529999904
"('imputation', 'n_clusters', 'affinity')",3.2003375436521074e-17,vertebral_RL.csv,True,2.3647989529999904
affinity,0.28358832197347406,dense-disk-5000.csv,True,2.4200614749861415
compute_full_tree,0.0020312692165693133,dense-disk-5000.csv,True,2.4200614749861415
imputation,0.0,dense-disk-5000.csv,True,2.4200614749861415
linkage,0.2788543067887047,dense-disk-5000.csv,True,2.4200614749861415
n_clusters,0.17363296441654819,dense-disk-5000.csv,True,2.4200614749861415
"('affinity', 'linkage')",0.08388364967089718,dense-disk-5000.csv,True,2.4200614749861415
"('linkage', 'n_clusters')",0.06262789828082614,dense-disk-5000.csv,True,2.4200614749861415
"('affinity', 'n_clusters')",0.0524274304750844,dense-disk-5000.csv,True,2.4200614749861415
"('compute_full_tree', 'linkage')",0.005578777187101492,dense-disk-5000.csv,True,2.4200614749861415
"('compute_full_tree', 'n_clusters')",0.005033429483972415,dense-disk-5000.csv,True,2.4200614749861415
"('affinity', 'compute_full_tree')",0.0042218392280818666,dense-disk-5000.csv,True,2.4200614749861415
"('affinity', 'imputation')",7.015712354730132e-17,dense-disk-5000.csv,True,2.4200614749861415
"('imputation', 'linkage')",6.065725893738159e-17,dense-disk-5000.csv,True,2.4200614749861415
"('imputation', 'n_clusters')",2.435991285653977e-17,dense-disk-5000.csv,True,2.4200614749861415
"('compute_full_tree', 'imputation')",6.290791751310148e-18,dense-disk-5000.csv,True,2.4200614749861415
"('n_clusters', 'affinity', 'linkage')",0.027085656038009113,dense-disk-5000.csv,True,2.4200614749861415
"('compute_full_tree', 'affinity', 'linkage')",0.004713977482014797,dense-disk-5000.csv,True,2.4200614749861415
"('imputation', 'n_clusters', 'affinity')",1.3315423951130469e-17,dense-disk-5000.csv,True,2.4200614749861415
affinity,0.024882132293613628,wine_RL.csv,True,2.3950193979835603
compute_full_tree,0.009926456036102115,wine_RL.csv,True,2.3950193979835603
imputation,5.652439120995156e-17,wine_RL.csv,True,2.3950193979835603
linkage,0.48267632980628844,wine_RL.csv,True,2.3950193979835603
n_clusters,0.05151487645829108,wine_RL.csv,True,2.3950193979835603
"('linkage', 'n_clusters')",0.16210451883051422,wine_RL.csv,True,2.3950193979835603
"('affinity', 'linkage')",0.06531924640151915,wine_RL.csv,True,2.3950193979835603
"('affinity', 'n_clusters')",0.050358918883323674,wine_RL.csv,True,2.3950193979835603
"('compute_full_tree', 'n_clusters')",0.019468510711917318,wine_RL.csv,True,2.3950193979835603
"('compute_full_tree', 'linkage')",0.010102718592688653,wine_RL.csv,True,2.3950193979835603
"('affinity', 'compute_full_tree')",0.010087164800181148,wine_RL.csv,True,2.3950193979835603
"('imputation', 'linkage')",1.4817702730894708e-16,wine_RL.csv,True,2.3950193979835603
"('compute_full_tree', 'imputation')",4.132201409185288e-17,wine_RL.csv,True,2.3950193979835603
"('affinity', 'imputation')",4.079031565471585e-17,wine_RL.csv,True,2.3950193979835603
"('imputation', 'n_clusters')",1.6999321138032397e-17,wine_RL.csv,True,2.3950193979835603
"('n_clusters', 'affinity', 'linkage')",0.055596688785387136,wine_RL.csv,True,2.3950193979835603
"('compute_full_tree', 'affinity', 'linkage')",0.011810569848721999,wine_RL.csv,True,2.3950193979835603
"('imputation', 'n_clusters', 'affinity')",9.034603463993908e-18,wine_RL.csv,True,2.3950193979835603
affinity,0.2689736948615611,disk_4500n.csv,True,2.2928218689921778
compute_full_tree,0.00217306193533587,disk_4500n.csv,True,2.2928218689921778
imputation,0.0,disk_4500n.csv,True,2.2928218689921778
linkage,0.3606209112235639,disk_4500n.csv,True,2.2928218689921778
n_clusters,0.10833547444874987,disk_4500n.csv,True,2.2928218689921778
"('affinity', 'linkage')",0.1045982333101615,disk_4500n.csv,True,2.2928218689921778
"('linkage', 'n_clusters')",0.05181414752079894,disk_4500n.csv,True,2.2928218689921778
"('affinity', 'n_clusters')",0.04782520493769045,disk_4500n.csv,True,2.2928218689921778
"('compute_full_tree', 'linkage')",0.007156331170133401,disk_4500n.csv,True,2.2928218689921778
"('compute_full_tree', 'n_clusters')",0.004585672138560966,disk_4500n.csv,True,2.2928218689921778
"('affinity', 'compute_full_tree')",0.002344474773432678,disk_4500n.csv,True,2.2928218689921778
"('imputation', 'linkage')",9.290897376662452e-17,disk_4500n.csv,True,2.2928218689921778
"('affinity', 'imputation')",3.4119433634055896e-17,disk_4500n.csv,True,2.2928218689921778
"('imputation', 'n_clusters')",1.4321978141770455e-17,disk_4500n.csv,True,2.2928218689921778
"('compute_full_tree', 'imputation')",8.641113284940863e-19,disk_4500n.csv,True,2.2928218689921778
"('n_clusters', 'affinity', 'linkage')",0.025898648122887002,disk_4500n.csv,True,2.2928218689921778
"('compute_full_tree', 'affinity', 'linkage')",0.00459383878666586,disk_4500n.csv,True,2.2928218689921778
"('imputation', 'n_clusters', 'affinity')",2.2983070644969337e-17,disk_4500n.csv,True,2.2928218689921778
affinity,0.34763153404699604,disk_5000n.csv,True,2.4597509109880775
compute_full_tree,0.00648967497124169,disk_5000n.csv,True,2.4597509109880775
imputation,4.893194762256967e-18,disk_5000n.csv,True,2.4597509109880775
linkage,0.34998272644381073,disk_5000n.csv,True,2.4597509109880775
n_clusters,0.05139839303489284,disk_5000n.csv,True,2.4597509109880775
"('affinity', 'linkage')",0.11014527534612362,disk_5000n.csv,True,2.4597509109880775
"('affinity', 'n_clusters')",0.030311175615521588,disk_5000n.csv,True,2.4597509109880775
"('linkage', 'n_clusters')",0.024434311974527348,disk_5000n.csv,True,2.4597509109880775
"('affinity', 'compute_full_tree')",0.01626072063360975,disk_5000n.csv,True,2.4597509109880775
"('compute_full_tree', 'n_clusters')",0.008108513316261744,disk_5000n.csv,True,2.4597509109880775
"('compute_full_tree', 'linkage')",0.004560366376925,disk_5000n.csv,True,2.4597509109880775
"('imputation', 'linkage')",9.734404544906137e-17,disk_5000n.csv,True,2.4597509109880775
"('affinity', 'imputation')",7.601281732776325e-17,disk_5000n.csv,True,2.4597509109880775
"('imputation', 'n_clusters')",1.565976507842728e-17,disk_5000n.csv,True,2.4597509109880775
"('compute_full_tree', 'imputation')",4.420103866037049e-18,disk_5000n.csv,True,2.4597509109880775
"('n_clusters', 'affinity', 'linkage')",0.020825903346325902,disk_5000n.csv,True,2.4597509109880775
"('compute_full_tree', 'affinity', 'linkage')",0.009967744256795702,disk_5000n.csv,True,2.4597509109880775
"('imputation', 'n_clusters', 'affinity')",2.4257806037248857e-17,disk_5000n.csv,True,2.4597509109880775
affinity,0.043441325641349844,blobs.csv,True,2.3797611170157325
compute_full_tree,0.004455910019815281,blobs.csv,True,2.3797611170157325
imputation,0.0,blobs.csv,True,2.3797611170157325
linkage,0.10531905859089022,blobs.csv,True,2.3797611170157325
n_clusters,0.10137090962210644,blobs.csv,True,2.3797611170157325
"('linkage', 'n_clusters')",0.34606644976344336,blobs.csv,True,2.3797611170157325
"('affinity', 'linkage')",0.09759425232026617,blobs.csv,True,2.3797611170157325
"('affinity', 'n_clusters')",0.08150826855291594,blobs.csv,True,2.3797611170157325
"('compute_full_tree', 'n_clusters')",0.02514005532807151,blobs.csv,True,2.3797611170157325
"('affinity', 'compute_full_tree')",0.009394579243028332,blobs.csv,True,2.3797611170157325
"('compute_full_tree', 'linkage')",0.00565831461861991,blobs.csv,True,2.3797611170157325
"('imputation', 'n_clusters')",7.314634842644528e-17,blobs.csv,True,2.3797611170157325
"('affinity', 'imputation')",7.217257632466586e-17,blobs.csv,True,2.3797611170157325
"('imputation', 'linkage')",7.187804167197231e-17,blobs.csv,True,2.3797611170157325
"('compute_full_tree', 'imputation')",3.0297017459857175e-17,blobs.csv,True,2.3797611170157325
"('n_clusters', 'affinity', 'linkage')",0.11799365718288049,blobs.csv,True,2.3797611170157325
"('compute_full_tree', 'affinity', 'linkage')",0.013630289549710154,blobs.csv,True,2.3797611170157325
"('imputation', 'n_clusters', 'affinity')",2.9218474147967274e-17,blobs.csv,True,2.3797611170157325
affinity,0.006747181114793614,3d-40c-no0.csv,True,2.4965497579833027
compute_full_tree,0.004674060775719147,3d-40c-no0.csv,True,2.4965497579833027
imputation,0.0,3d-40c-no0.csv,True,2.4965497579833027
linkage,0.7598642148509656,3d-40c-no0.csv,True,2.4965497579833027
n_clusters,0.11043547194821643,3d-40c-no0.csv,True,2.4965497579833027
"('linkage', 'n_clusters')",0.04779167556497927,3d-40c-no0.csv,True,2.4965497579833027
"('affinity', 'n_clusters')",0.018206719004513768,3d-40c-no0.csv,True,2.4965497579833027
"('affinity', 'linkage')",0.011580125496437098,3d-40c-no0.csv,True,2.4965497579833027
"('compute_full_tree', 'linkage')",0.01054401421815585,3d-40c-no0.csv,True,2.4965497579833027
"('compute_full_tree', 'n_clusters')",0.003437905374607792,3d-40c-no0.csv,True,2.4965497579833027
"('affinity', 'compute_full_tree')",0.002429433471152531,3d-40c-no0.csv,True,2.4965497579833027
"('imputation', 'linkage')",1.4845545598767474e-16,3d-40c-no0.csv,True,2.4965497579833027
"('imputation', 'n_clusters')",4.1308900256987883e-17,3d-40c-no0.csv,True,2.4965497579833027
"('affinity', 'imputation')",9.50033963174243e-18,3d-40c-no0.csv,True,2.4965497579833027
"('compute_full_tree', 'imputation')",6.192777578507955e-18,3d-40c-no0.csv,True,2.4965497579833027
"('n_clusters', 'affinity', 'linkage')",0.011943558250902972,3d-40c-no0.csv,True,2.4965497579833027
"('compute_full_tree', 'affinity', 'linkage')",0.0020626314661000913,3d-40c-no0.csv,True,2.4965497579833027
