param,importance,dataset,imputation,time_taken
affinity,0.10652628154042398,vertebral_RL.csv,False,1.2545559488935396
compute_full_tree,0.003193218338023963,vertebral_RL.csv,False,1.2545559488935396
linkage,0.42618085691913943,vertebral_RL.csv,False,1.2545559488935396
n_clusters,0.13541067955310782,vertebral_RL.csv,False,1.2545559488935396
"('affinity', 'linkage')",0.10319336759740994,vertebral_RL.csv,False,1.2545559488935396
"('linkage', 'n_clusters')",0.06484809186580498,vertebral_RL.csv,False,1.2545559488935396
"('affinity', 'n_clusters')",0.06062571939917985,vertebral_RL.csv,False,1.2545559488935396
"('affinity', 'compute_full_tree')",0.008103380040031707,vertebral_RL.csv,False,1.2545559488935396
"('compute_full_tree', 'linkage')",0.007489017605583151,vertebral_RL.csv,False,1.2545559488935396
"('compute_full_tree', 'n_clusters')",0.005419125200695036,vertebral_RL.csv,False,1.2545559488935396
"('n_clusters', 'affinity', 'linkage')",0.04298800663319149,vertebral_RL.csv,False,1.2545559488935396
"('compute_full_tree', 'affinity', 'linkage')",0.012027346055424392,vertebral_RL.csv,False,1.2545559488935396
affinity,0.21348713713701992,dense-disk-5000.csv,False,1.2381895419675857
compute_full_tree,0.00856262127324446,dense-disk-5000.csv,False,1.2381895419675857
linkage,0.3087043733186862,dense-disk-5000.csv,False,1.2381895419675857
n_clusters,0.12965074813711863,dense-disk-5000.csv,False,1.2381895419675857
"('affinity', 'linkage')",0.12269920042916489,dense-disk-5000.csv,False,1.2381895419675857
"('linkage', 'n_clusters')",0.06527802932073005,dense-disk-5000.csv,False,1.2381895419675857
"('affinity', 'n_clusters')",0.05123775504092706,dense-disk-5000.csv,False,1.2381895419675857
"('affinity', 'compute_full_tree')",0.015614007559631306,dense-disk-5000.csv,False,1.2381895419675857
"('compute_full_tree', 'linkage')",0.009086191512846889,dense-disk-5000.csv,False,1.2381895419675857
"('compute_full_tree', 'n_clusters')",0.008151029307688174,dense-disk-5000.csv,False,1.2381895419675857
"('n_clusters', 'affinity', 'linkage')",0.034749656477023175,dense-disk-5000.csv,False,1.2381895419675857
"('compute_full_tree', 'affinity', 'linkage')",0.014349711111219295,dense-disk-5000.csv,False,1.2381895419675857
affinity,0.09820517836623088,wine_RL.csv,False,1.2519796629203483
compute_full_tree,0.005394972836786634,wine_RL.csv,False,1.2519796629203483
linkage,0.3986703877491739,wine_RL.csv,False,1.2519796629203483
n_clusters,0.08731878800836698,wine_RL.csv,False,1.2519796629203483
"('affinity', 'linkage')",0.11410994463580801,wine_RL.csv,False,1.2519796629203483
"('linkage', 'n_clusters')",0.09838512182475102,wine_RL.csv,False,1.2519796629203483
"('affinity', 'n_clusters')",0.07602134085073356,wine_RL.csv,False,1.2519796629203483
"('affinity', 'compute_full_tree')",0.008936333935582417,wine_RL.csv,False,1.2519796629203483
