dataset,eps,min_samples,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,0.7597941957813944,15,l2,ball_tree,31,None,Real,0.00178629100003036,0.6036329470717194,0.1839999353832982,0.11170729834051508,0.0951464396961775,0.09759932392787603
vertebral_RL.csv,0.46779733013896135,2,l1,kd_tree,18,None,Real,0.0019467399999939516,0.5758221108675227,0.04287096093949605,-0.2583827786535216,0.0436127750633671,0.05982507088076456
vertebral_RL.csv,0.9721835648732549,11,l1,ball_tree,5,None,Real,0.0020353200000045035,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.4270304216073624,2,euclidean,brute,14,None,Real,0.002717295999957514,0.5772627622925148,0.14954911956002648,-0.3267240617914367,0.09601315344601301,0.15172057187368376
vertebral_RL.csv,0.7951189694400745,15,l1,brute,10,None,Real,0.0024894430000017564,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.2291101806328504,7,l2,brute,22,None,Real,0.0026966159999801675,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.03247281733288461,9,manhattan,brute,3,None,Real,0.002320603999976356,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.5586204362335192,11,euclidean,kd_tree,6,None,Real,0.004220653999993829,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.723560448870053,5,l2,kd_tree,11,None,Real,0.0034991009999885136,0.5875352333228938,0.1839184951895182,-0.09633089944760337,0.13792152942805302,0.14390617549554785
vertebral_RL.csv,0.3791231567158081,8,l1,brute,5,None,Real,0.0023647529999948347,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.17383276056137806,10,l1,brute,17,None,Real,0.002337443000044459,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
