param,importance,dataset,imputation,time_taken
algorithm,0.004235953928259566,vertebral_RL.csv,True,0.9788612080010353
eps,0.3407761145700147,vertebral_RL.csv,True,0.9788612080010353
imputation,2.2289664195794483e-18,vertebral_RL.csv,True,0.9788612080010353
leaf_size,0.009559728380204654,vertebral_RL.csv,True,0.9788612080010353
metric,0.13548523816049213,vertebral_RL.csv,True,0.9788612080010353
min_samples,0.06747397213207931,vertebral_RL.csv,True,0.9788612080010353
"('eps', 'metric')",0.2514004683157627,vertebral_RL.csv,True,0.9788612080010353
"('eps', 'min_samples')",0.052809536118673894,vertebral_RL.csv,True,0.9788612080010353
"('eps', 'leaf_size')",0.020092343064420374,vertebral_RL.csv,True,0.9788612080010353
"('metric', 'min_samples')",0.016899711479047785,vertebral_RL.csv,True,0.9788612080010353
"('leaf_size', 'min_samples')",0.015251170518476641,vertebral_RL.csv,True,0.9788612080010353
"('algorithm', 'eps')",0.007382003987712554,vertebral_RL.csv,True,0.9788612080010353
"('leaf_size', 'metric')",0.005507415562478206,vertebral_RL.csv,True,0.9788612080010353
"('algorithm', 'metric')",0.004389978640164106,vertebral_RL.csv,True,0.9788612080010353
"('algorithm', 'min_samples')",0.0036646942646484833,vertebral_RL.csv,True,0.9788612080010353
"('algorithm', 'leaf_size')",0.002487017704251288,vertebral_RL.csv,True,0.9788612080010353
"('eps', 'min_samples', 'metric')",0.0286435905506318,vertebral_RL.csv,True,0.9788612080010353
"('eps', 'algorithm', 'leaf_size')",0.0006180052505012916,vertebral_RL.csv,True,0.9788612080010353
"('imputation', 'eps', 'min_samples')",2.0799995605985538e-17,vertebral_RL.csv,True,0.9788612080010353
algorithm,0.00572840385572255,dense-disk-5000.csv,True,0.801610469003208
eps,0.6263685731949453,dense-disk-5000.csv,True,0.801610469003208
imputation,2.8485709555954e-18,dense-disk-5000.csv,True,0.801610469003208
leaf_size,0.030994786934039606,dense-disk-5000.csv,True,0.801610469003208
metric,0.0070977196127303644,dense-disk-5000.csv,True,0.801610469003208
min_samples,0.02170830244533589,dense-disk-5000.csv,True,0.801610469003208
"('eps', 'min_samples')",0.07124591538689516,dense-disk-5000.csv,True,0.801610469003208
"('eps', 'leaf_size')",0.053480665062535085,dense-disk-5000.csv,True,0.801610469003208
"('eps', 'metric')",0.035963534009526836,dense-disk-5000.csv,True,0.801610469003208
"('algorithm', 'eps')",0.027094376523974263,dense-disk-5000.csv,True,0.801610469003208
"('algorithm', 'leaf_size')",0.025449346990398275,dense-disk-5000.csv,True,0.801610469003208
"('metric', 'min_samples')",0.01152611972548877,dense-disk-5000.csv,True,0.801610469003208
"('algorithm', 'min_samples')",0.009866696930571135,dense-disk-5000.csv,True,0.801610469003208
"('leaf_size', 'metric')",0.009746970142350696,dense-disk-5000.csv,True,0.801610469003208
"('leaf_size', 'min_samples')",0.00518920718209059,dense-disk-5000.csv,True,0.801610469003208
"('algorithm', 'metric')",0.00038146924065420094,dense-disk-5000.csv,True,0.801610469003208
"('eps', 'min_samples', 'metric')",0.009200016108651912,dense-disk-5000.csv,True,0.801610469003208
"('eps', 'algorithm', 'leaf_size')",0.01057928441034493,dense-disk-5000.csv,True,0.801610469003208
"('imputation', 'eps', 'min_samples')",5.297378268909835e-17,dense-disk-5000.csv,True,0.801610469003208
algorithm,0.016571418162733585,disk_4500n.csv,True,0.5844485119996534
eps,0.5177404529381068,disk_4500n.csv,True,0.5844485119996534
imputation,4.761493213609379e-19,disk_4500n.csv,True,0.5844485119996534
leaf_size,0.024229765729762414,disk_4500n.csv,True,0.5844485119996534
metric,0.011350876945111985,disk_4500n.csv,True,0.5844485119996534
min_samples,0.01640795636171044,disk_4500n.csv,True,0.5844485119996534
"('algorithm', 'eps')",0.10523846153761318,disk_4500n.csv,True,0.5844485119996534
"('eps', 'leaf_size')",0.06436539368152744,disk_4500n.csv,True,0.5844485119996534
"('eps', 'min_samples')",0.05801448851957987,disk_4500n.csv,True,0.5844485119996534
"('leaf_size', 'min_samples')",0.0369355358221881,disk_4500n.csv,True,0.5844485119996534
"('eps', 'metric')",0.0288209464241412,disk_4500n.csv,True,0.5844485119996534
"('algorithm', 'min_samples')",0.02315689589949068,disk_4500n.csv,True,0.5844485119996534
"('algorithm', 'leaf_size')",0.012241673357595902,disk_4500n.csv,True,0.5844485119996534
"('metric', 'min_samples')",0.012172596687141846,disk_4500n.csv,True,0.5844485119996534
"('algorithm', 'metric')",0.008174944386783135,disk_4500n.csv,True,0.5844485119996534
"('leaf_size', 'metric')",0.004749349608030315,disk_4500n.csv,True,0.5844485119996534
"('eps', 'min_samples', 'metric')",0.0037672183776285935,disk_4500n.csv,True,0.5844485119996534
