param,importance,dataset,imputation,time_taken
algorithm,0.013178205112060384,disk_1000n.csv,False,0.5304862579796463
eps,0.5176149165890069,disk_1000n.csv,False,0.5304862579796463
leaf_size,0.02988630588573784,disk_1000n.csv,False,0.5304862579796463
metric,0.013526909377108473,disk_1000n.csv,False,0.5304862579796463
min_samples,0.04103593263745024,disk_1000n.csv,False,0.5304862579796463
"('eps', 'min_samples')",0.1286212908064301,disk_1000n.csv,False,0.5304862579796463
"('eps', 'leaf_size')",0.08556244425125323,disk_1000n.csv,False,0.5304862579796463
"('eps', 'metric')",0.025437649434588636,disk_1000n.csv,False,0.5304862579796463
"('algorithm', 'eps')",0.02518790713933191,disk_1000n.csv,False,0.5304862579796463
"('leaf_size', 'min_samples')",0.012782584559267169,disk_1000n.csv,False,0.5304862579796463
"('leaf_size', 'metric')",0.012706235511949836,disk_1000n.csv,False,0.5304862579796463
"('metric', 'min_samples')",0.012033587670074921,disk_1000n.csv,False,0.5304862579796463
"('algorithm', 'min_samples')",0.006058453695595251,disk_1000n.csv,False,0.5304862579796463
"('algorithm', 'metric')",0.0036818767245019868,disk_1000n.csv,False,0.5304862579796463
"('algorithm', 'leaf_size')",0.003521990202881889,disk_1000n.csv,False,0.5304862579796463
"('eps', 'min_samples', 'metric')",0.008678287664911646,disk_1000n.csv,False,0.5304862579796463
"('eps', 'algorithm', 'leaf_size')",0.007342163060574436,disk_1000n.csv,False,0.5304862579796463
algorithm,0.004394464493871313,segment_RL.csv,False,3.9418670820305124
eps,0.4096640355975173,segment_RL.csv,False,3.9418670820305124
leaf_size,0.01370932213519294,segment_RL.csv,False,3.9418670820305124
metric,0.22267064122235303,segment_RL.csv,False,3.9418670820305124
min_samples,0.0659188130054964,segment_RL.csv,False,3.9418670820305124
"('eps', 'metric')",0.13421708029334856,segment_RL.csv,False,3.9418670820305124
"('eps', 'min_samples')",0.03189890873435347,segment_RL.csv,False,3.9418670820305124
"('metric', 'min_samples')",0.017788768833298472,segment_RL.csv,False,3.9418670820305124
"('eps', 'leaf_size')",0.013811571860490968,segment_RL.csv,False,3.9418670820305124
"('leaf_size', 'metric')",0.011523821938406953,segment_RL.csv,False,3.9418670820305124
"('algorithm', 'eps')",0.00838350194098576,segment_RL.csv,False,3.9418670820305124
"('algorithm', 'min_samples')",0.004513679690961033,segment_RL.csv,False,3.9418670820305124
"('algorithm', 'leaf_size')",0.003255767885347122,segment_RL.csv,False,3.9418670820305124
"('leaf_size', 'min_samples')",0.0025559507893082515,segment_RL.csv,False,3.9418670820305124
"('algorithm', 'metric')",0.0020175136570012714,segment_RL.csv,False,3.9418670820305124
"('eps', 'min_samples', 'metric')",0.01746260342880733,segment_RL.csv,False,3.9418670820305124
"('eps', 'algorithm', 'leaf_size')",0.0022640811245014246,segment_RL.csv,False,3.9418670820305124
algorithm,0.01018713297159286,dense-disk-3000.csv,False,1.072469595936127
eps,0.5249834836453203,dense-disk-3000.csv,False,1.072469595936127
leaf_size,0.0263707154648195,dense-disk-3000.csv,False,1.072469595936127
metric,0.012985495948348434,dense-disk-3000.csv,False,1.072469595936127
min_samples,0.032750600774970134,dense-disk-3000.csv,False,1.072469595936127
"('eps', 'min_samples')",0.0808717793998521,dense-disk-3000.csv,False,1.072469595936127
"('eps', 'leaf_size')",0.0735286071307596,dense-disk-3000.csv,False,1.072469595936127
"('eps', 'metric')",0.06072209528248055,dense-disk-3000.csv,False,1.072469595936127
"('algorithm', 'eps')",0.03588321652432541,dense-disk-3000.csv,False,1.072469595936127
"('metric', 'min_samples')",0.016057464880214273,dense-disk-3000.csv,False,1.072469595936127
"('leaf_size', 'metric')",0.00946877435085976,dense-disk-3000.csv,False,1.072469595936127
"('leaf_size', 'min_samples')",0.0071543082467103395,dense-disk-3000.csv,False,1.072469595936127
"('algorithm', 'leaf_size')",0.007055348628735574,dense-disk-3000.csv,False,1.072469595936127
"('algorithm', 'metric')",0.002963141403929025,dense-disk-3000.csv,False,1.072469595936127
"('algorithm', 'min_samples')",0.0017492575053153648,dense-disk-3000.csv,False,1.072469595936127
"('eps', 'min_samples', 'metric')",0.018030998441682915,dense-disk-3000.csv,False,1.072469595936127
"('eps', 'algorithm', 'leaf_size')",0.014194690773652019,dense-disk-3000.csv,False,1.072469595936127
algorithm,0.005894043581959052,spherical_4_3.csv,False,1.1643595350906253
eps,0.5643000255945424,spherical_4_3.csv,False,1.1643595350906253
leaf_size,0.024962573044670432,spherical_4_3.csv,False,1.1643595350906253
metric,0.045238330194986846,spherical_4_3.csv,False,1.1643595350906253
min_samples,0.005799900259319459,spherical_4_3.csv,False,1.1643595350906253
"('eps', 'metric')",0.18418660124309516,spherical_4_3.csv,False,1.1643595350906253
"('eps', 'leaf_size')",0.03819592027296847,spherical_4_3.csv,False,1.1643595350906253
"('eps', 'min_samples')",0.022285640107040684,spherical_4_3.csv,False,1.1643595350906253
"('leaf_size', 'metric')",0.013144534159942782,spherical_4_3.csv,False,1.1643595350906253
"('algorithm', 'eps')",0.012281615941551121,spherical_4_3.csv,False,1.1643595350906253
"('algorithm', 'leaf_size')",0.008957212370541938,spherical_4_3.csv,False,1.1643595350906253
"('metric', 'min_samples')",0.005687026261195386,spherical_4_3.csv,False,1.1643595350906253
"('leaf_size', 'min_samples')",0.004896621919248754,spherical_4_3.csv,False,1.1643595350906253
"('algorithm', 'metric')",0.003589016145391366,spherical_4_3.csv,False,1.1643595350906253
"('algorithm', 'min_samples')",0.0032721426319003294,spherical_4_3.csv,False,1.1643595350906253
"('eps', 'min_samples', 'metric')",0.009080714411184486,spherical_4_3.csv,False,1.1643595350906253
"('eps', 'algorithm', 'leaf_size')",0.004386751323063945,spherical_4_3.csv,False,1.1643595350906253
algorithm,0.001540198016237254,dim064.csv,False,4.88612857600674
eps,0.3701243805635843,dim064.csv,False,4.88612857600674
leaf_size,0.0055249635468428236,dim064.csv,False,4.88612857600674
metric,0.47213583194713116,dim064.csv,False,4.88612857600674
min_samples,0.01537377750616784,dim064.csv,False,4.88612857600674
"('eps', 'metric')",0.04636322903587253,dim064.csv,False,4.88612857600674
"('eps', 'min_samples')",0.021153368441064056,dim064.csv,False,4.88612857600674
"('eps', 'leaf_size')",0.009639770216027688,dim064.csv,False,4.88612857600674
"('metric', 'min_samples')",0.007703133110128252,dim064.csv,False,4.88612857600674
"('leaf_size', 'metric')",0.005524975131881141,dim064.csv,False,4.88612857600674
"('algorithm', 'leaf_size')",0.003541058634751823,dim064.csv,False,4.88612857600674
"('leaf_size', 'min_samples')",0.0029608955814545033,dim064.csv,False,4.88612857600674
"('algorithm', 'eps')",0.0020962628965101307,dim064.csv,False,4.88612857600674
"('algorithm', 'metric')",0.0017194411303050417,dim064.csv,False,4.88612857600674
"('algorithm', 'min_samples')",0.0016259839862189502,dim064.csv,False,4.88612857600674
"('eps', 'min_samples', 'metric')",0.01096874230306646,dim064.csv,False,4.88612857600674
"('eps', 'algorithm', 'leaf_size')",0.0005974457987738348,dim064.csv,False,4.88612857600674
algorithm,0.0043438131213860256,vowel_RL.csv,False,0.7273586109513417
eps,0.05526500960808819,vowel_RL.csv,False,0.7273586109513417
leaf_size,0.00580666897708032,vowel_RL.csv,False,0.7273586109513417
metric,0.027037551893286167,vowel_RL.csv,False,0.7273586109513417
min_samples,0.48724636898595053,vowel_RL.csv,False,0.7273586109513417
"('eps', 'min_samples')",0.1657085192512337,vowel_RL.csv,False,0.7273586109513417
"('metric', 'min_samples')",0.07225159354672185,vowel_RL.csv,False,0.7273586109513417
"('leaf_size', 'min_samples')",0.035293454108210304,vowel_RL.csv,False,0.7273586109513417
"('eps', 'metric')",0.0344304231650602,vowel_RL.csv,False,0.7273586109513417
"('algorithm', 'min_samples')",0.01931769033656349,vowel_RL.csv,False,0.7273586109513417
"('algorithm', 'metric')",0.004842231161404785,vowel_RL.csv,False,0.7273586109513417
"('leaf_size', 'metric')",0.003044035677006207,vowel_RL.csv,False,0.7273586109513417
"('eps', 'leaf_size')",0.0021822976404424375,vowel_RL.csv,False,0.7273586109513417
"('algorithm', 'eps')",0.0018406416873231598,vowel_RL.csv,False,0.7273586109513417
"('algorithm', 'leaf_size')",0.000903770839600841,vowel_RL.csv,False,0.7273586109513417
"('eps', 'min_samples', 'metric')",0.03252773608173168,vowel_RL.csv,False,0.7273586109513417
"('eps', 'algorithm', 'leaf_size')",0.00037414758622769624,vowel_RL.csv,False,0.7273586109513417
algorithm,0.006212035947691662,cluto-t4-8k.csv,False,0.49709296703804284
eps,0.7209852036774911,cluto-t4-8k.csv,False,0.49709296703804284
leaf_size,0.03700902271852398,cluto-t4-8k.csv,False,0.49709296703804284
metric,0.0027020405079348315,cluto-t4-8k.csv,False,0.49709296703804284
min_samples,0.007832947176188964,cluto-t4-8k.csv,False,0.49709296703804284
"('eps', 'leaf_size')",0.09054909453678821,cluto-t4-8k.csv,False,0.49709296703804284
"('algorithm', 'eps')",0.029429207119819493,cluto-t4-8k.csv,False,0.49709296703804284
"('eps', 'metric')",0.018126990933310005,cluto-t4-8k.csv,False,0.49709296703804284
"('eps', 'min_samples')",0.01714474990034171,cluto-t4-8k.csv,False,0.49709296703804284
"('leaf_size', 'min_samples')",0.011641349639510247,cluto-t4-8k.csv,False,0.49709296703804284
"('algorithm', 'leaf_size')",0.006506688811746325,cluto-t4-8k.csv,False,0.49709296703804284
"('algorithm', 'metric')",0.002404091637775399,cluto-t4-8k.csv,False,0.49709296703804284
"('leaf_size', 'metric')",0.0020275056768106797,cluto-t4-8k.csv,False,0.49709296703804284
"('algorithm', 'min_samples')",0.0019109458888024553,cluto-t4-8k.csv,False,0.49709296703804284
"('metric', 'min_samples')",0.0004355189915792332,cluto-t4-8k.csv,False,0.49709296703804284
"('eps', 'min_samples', 'metric')",0.0009255624332204117,cluto-t4-8k.csv,False,0.49709296703804284
"('eps', 'algorithm', 'leaf_size')",0.015912352063953805,cluto-t4-8k.csv,False,0.49709296703804284
algorithm,0.021850408124750725,yeast_RL.csv,False,2.3724684739718214
eps,0.23533281843063703,yeast_RL.csv,False,2.3724684739718214
leaf_size,0.042793424782923306,yeast_RL.csv,False,2.3724684739718214
metric,0.07659098752151264,yeast_RL.csv,False,2.3724684739718214
min_samples,0.2632706200526175,yeast_RL.csv,False,2.3724684739718214
"('eps', 'metric')",0.10663363407071913,yeast_RL.csv,False,2.3724684739718214
"('eps', 'min_samples')",0.058108210166251714,yeast_RL.csv,False,2.3724684739718214
"('algorithm', 'eps')",0.02392206942974325,yeast_RL.csv,False,2.3724684739718214
"('metric', 'min_samples')",0.02219538024075173,yeast_RL.csv,False,2.3724684739718214
"('eps', 'leaf_size')",0.02201017376159991,yeast_RL.csv,False,2.3724684739718214
"('leaf_size', 'min_samples')",0.018536817059109516,yeast_RL.csv,False,2.3724684739718214
"('leaf_size', 'metric')",0.01777384636286675,yeast_RL.csv,False,2.3724684739718214
"('algorithm', 'min_samples')",0.009830846039775914,yeast_RL.csv,False,2.3724684739718214
"('algorithm', 'leaf_size')",0.004693052639499541,yeast_RL.csv,False,2.3724684739718214
"('algorithm', 'metric')",0.004275120141348289,yeast_RL.csv,False,2.3724684739718214
