param,importance,dataset,imputation,time_taken
algorithm,0.005289627290594212,vertebral_RL.csv,False,3.7806900719879195
init,0.06329397439110507,vertebral_RL.csv,False,3.7806900719879195
max_iter,0.03926566794589617,vertebral_RL.csv,False,3.7806900719879195
n_clusters,0.2879898279737467,vertebral_RL.csv,False,3.7806900719879195
n_init,0.1347577360503313,vertebral_RL.csv,False,3.7806900719879195
tol,0.018466172267385922,vertebral_RL.csv,False,3.7806900719879195
"('n_clusters', 'n_init')",0.0864158277364454,vertebral_RL.csv,False,3.7806900719879195
"('init', 'n_clusters')",0.06237615734648537,vertebral_RL.csv,False,3.7806900719879195
"('max_iter', 'n_clusters')",0.04620166565877552,vertebral_RL.csv,False,3.7806900719879195
"('n_clusters', 'tol')",0.030751040353640076,vertebral_RL.csv,False,3.7806900719879195
"('max_iter', 'n_init')",0.024383267325544543,vertebral_RL.csv,False,3.7806900719879195
"('init', 'n_init')",0.017148323759363225,vertebral_RL.csv,False,3.7806900719879195
"('init', 'max_iter')",0.012237324968841414,vertebral_RL.csv,False,3.7806900719879195
"('max_iter', 'tol')",0.012224409595046259,vertebral_RL.csv,False,3.7806900719879195
"('algorithm', 'n_init')",0.008762926108252626,vertebral_RL.csv,False,3.7806900719879195
"('n_init', 'tol')",0.007675107309159172,vertebral_RL.csv,False,3.7806900719879195
"('n_clusters', 'init', 'max_iter')",0.010961042467946299,vertebral_RL.csv,False,3.7806900719879195
"('n_clusters', 'init', 'algorithm')",0.0039204568916806,vertebral_RL.csv,False,3.7806900719879195
algorithm,0.004639187573736752,dense-disk-5000.csv,False,3.6251906299730763
init,0.002256479766547559,dense-disk-5000.csv,False,3.6251906299730763
max_iter,0.018135954704898198,dense-disk-5000.csv,False,3.6251906299730763
n_clusters,0.7624969598476063,dense-disk-5000.csv,False,3.6251906299730763
n_init,0.00830290548031367,dense-disk-5000.csv,False,3.6251906299730763
tol,0.019968616869111014,dense-disk-5000.csv,False,3.6251906299730763
"('max_iter', 'n_clusters')",0.04931794473864648,dense-disk-5000.csv,False,3.6251906299730763
"('n_clusters', 'tol')",0.022331246997256325,dense-disk-5000.csv,False,3.6251906299730763
"('algorithm', 'n_clusters')",0.020428452672320015,dense-disk-5000.csv,False,3.6251906299730763
"('n_clusters', 'n_init')",0.01924381559358483,dense-disk-5000.csv,False,3.6251906299730763
"('max_iter', 'tol')",0.005472447186484427,dense-disk-5000.csv,False,3.6251906299730763
"('max_iter', 'n_init')",0.0054339567293171945,dense-disk-5000.csv,False,3.6251906299730763
"('algorithm', 'tol')",0.0039298794537728585,dense-disk-5000.csv,False,3.6251906299730763
"('init', 'n_clusters')",0.0038513185396560927,dense-disk-5000.csv,False,3.6251906299730763
"('n_init', 'tol')",0.002843884703265302,dense-disk-5000.csv,False,3.6251906299730763
"('init', 'tol')",0.00229030916395953,dense-disk-5000.csv,False,3.6251906299730763
"('n_clusters', 'init', 'max_iter')",0.0006777788241021856,dense-disk-5000.csv,False,3.6251906299730763
"('n_clusters', 'init', 'algorithm')",0.0016074490523442847,dense-disk-5000.csv,False,3.6251906299730763
algorithm,0.0036517614834964494,wine_RL.csv,False,3.5439061609795317
init,0.0029927816913339054,wine_RL.csv,False,3.5439061609795317
max_iter,0.012954207443319474,wine_RL.csv,False,3.5439061609795317
n_clusters,0.7758105022171229,wine_RL.csv,False,3.5439061609795317
n_init,0.013894001223446202,wine_RL.csv,False,3.5439061609795317
tol,0.023065281632383527,wine_RL.csv,False,3.5439061609795317
"('n_clusters', 'tol')",0.03944154811467489,wine_RL.csv,False,3.5439061609795317
"('n_clusters', 'n_init')",0.027289319408170754,wine_RL.csv,False,3.5439061609795317
"('max_iter', 'n_clusters')",0.02174535176309306,wine_RL.csv,False,3.5439061609795317
"('init', 'n_clusters')",0.011601974546359027,wine_RL.csv,False,3.5439061609795317
"('max_iter', 'tol')",0.007985737405584196,wine_RL.csv,False,3.5439061609795317
"('algorithm', 'n_clusters')",0.00787148018333867,wine_RL.csv,False,3.5439061609795317
"('n_init', 'tol')",0.006487577672477043,wine_RL.csv,False,3.5439061609795317
"('max_iter', 'n_init')",0.0033903642189919126,wine_RL.csv,False,3.5439061609795317
"('algorithm', 'tol')",0.0021971579077388025,wine_RL.csv,False,3.5439061609795317
"('algorithm', 'n_init')",0.0012091639601604595,wine_RL.csv,False,3.5439061609795317
"('n_clusters', 'init', 'max_iter')",0.0017920092148548676,wine_RL.csv,False,3.5439061609795317
"('n_clusters', 'init', 'algorithm')",0.0008652701435276256,wine_RL.csv,False,3.5439061609795317
algorithm,0.003665563663785559,disk_4500n.csv,False,3.71604271302931
init,0.0030726393019403454,disk_4500n.csv,False,3.71604271302931
max_iter,0.05139828744866482,disk_4500n.csv,False,3.71604271302931
n_clusters,0.5465144625538517,disk_4500n.csv,False,3.71604271302931
n_init,0.025532841965764934,disk_4500n.csv,False,3.71604271302931
tol,0.07365152276049325,disk_4500n.csv,False,3.71604271302931
"('max_iter', 'n_clusters')",0.051553829450433034,disk_4500n.csv,False,3.71604271302931
"('n_clusters', 'tol')",0.04600689079858557,disk_4500n.csv,False,3.71604271302931
"('n_clusters', 'n_init')",0.04374267576928609,disk_4500n.csv,False,3.71604271302931
"('algorithm', 'max_iter')",0.019742598419698606,disk_4500n.csv,False,3.71604271302931
"('n_init', 'tol')",0.018756547932420917,disk_4500n.csv,False,3.71604271302931
"('max_iter', 'tol')",0.013001197351769597,disk_4500n.csv,False,3.71604271302931
"('init', 'n_clusters')",0.009645397791464345,disk_4500n.csv,False,3.71604271302931
"('max_iter', 'n_init')",0.00730570162148584,disk_4500n.csv,False,3.71604271302931
"('algorithm', 'n_clusters')",0.006620089319936256,disk_4500n.csv,False,3.71604271302931
"('algorithm', 'tol')",0.0032962295581885504,disk_4500n.csv,False,3.71604271302931
"('n_clusters', 'init', 'max_iter')",0.0031787696313533426,disk_4500n.csv,False,3.71604271302931
"('n_clusters', 'init', 'algorithm')",0.0006717980741774769,disk_4500n.csv,False,3.71604271302931
algorithm,0.006129062993153455,disk_5000n.csv,False,3.7879360439255834
init,0.006342178761930042,disk_5000n.csv,False,3.7879360439255834
max_iter,0.03345377118209196,disk_5000n.csv,False,3.7879360439255834
n_clusters,0.42652529004075845,disk_5000n.csv,False,3.7879360439255834
n_init,0.03450820502949115,disk_5000n.csv,False,3.7879360439255834
tol,0.05692928002269193,disk_5000n.csv,False,3.7879360439255834
"('n_clusters', 'tol')",0.1007635507843096,disk_5000n.csv,False,3.7879360439255834
"('max_iter', 'n_clusters')",0.07092316927181197,disk_5000n.csv,False,3.7879360439255834
"('n_clusters', 'n_init')",0.05654952873538824,disk_5000n.csv,False,3.7879360439255834
"('n_init', 'tol')",0.023796093758244975,disk_5000n.csv,False,3.7879360439255834
"('max_iter', 'tol')",0.02207317776663743,disk_5000n.csv,False,3.7879360439255834
"('algorithm', 'n_clusters')",0.01362129607608813,disk_5000n.csv,False,3.7879360439255834
"('init', 'n_clusters')",0.012669102620420038,disk_5000n.csv,False,3.7879360439255834
"('max_iter', 'n_init')",0.010441272962298902,disk_5000n.csv,False,3.7879360439255834
"('algorithm', 'tol')",0.008238934736213961,disk_5000n.csv,False,3.7879360439255834
"('algorithm', 'max_iter')",0.005110014498806243,disk_5000n.csv,False,3.7879360439255834
"('n_clusters', 'init', 'max_iter')",0.0018671781427391893,disk_5000n.csv,False,3.7879360439255834
"('n_clusters', 'init', 'algorithm')",0.0005557433640536092,disk_5000n.csv,False,3.7879360439255834
algorithm,0.005900971956623443,blobs.csv,False,3.7872981670079753
init,0.01932309824649822,blobs.csv,False,3.7872981670079753
max_iter,0.03293086482474717,blobs.csv,False,3.7872981670079753
n_clusters,0.6147428434847692,blobs.csv,False,3.7872981670079753
n_init,0.042621330278186244,blobs.csv,False,3.7872981670079753
tol,0.011869041724928971,blobs.csv,False,3.7872981670079753
"('n_clusters', 'n_init')",0.06217156647190397,blobs.csv,False,3.7872981670079753
"('max_iter', 'n_clusters')",0.061927245320818586,blobs.csv,False,3.7872981670079753
"('n_clusters', 'tol')",0.03353689244571994,blobs.csv,False,3.7872981670079753
"('algorithm', 'n_clusters')",0.021408532997312893,blobs.csv,False,3.7872981670079753
"('init', 'n_clusters')",0.01793217423925748,blobs.csv,False,3.7872981670079753
"('max_iter', 'n_init')",0.008835096193905326,blobs.csv,False,3.7872981670079753
"('max_iter', 'tol')",0.003772893983016381,blobs.csv,False,3.7872981670079753
"('init', 'n_init')",0.0031997348278533164,blobs.csv,False,3.7872981670079753
"('algorithm', 'n_init')",0.0031296900136952603,blobs.csv,False,3.7872981670079753
"('init', 'tol')",0.003063003459152009,blobs.csv,False,3.7872981670079753
"('n_clusters', 'init', 'max_iter')",0.004194777561906666,blobs.csv,False,3.7872981670079753
"('n_clusters', 'init', 'algorithm')",0.0011099628880308218,blobs.csv,False,3.7872981670079753
algorithm,0.0029015582350551145,3d-40c-no0.csv,False,3.741721946047619
init,0.014208101672160259,3d-40c-no0.csv,False,3.741721946047619
max_iter,0.015029907671953897,3d-40c-no0.csv,False,3.741721946047619
n_clusters,0.7069163672626098,3d-40c-no0.csv,False,3.741721946047619
n_init,0.014888634759579902,3d-40c-no0.csv,False,3.741721946047619
tol,0.04307799731160779,3d-40c-no0.csv,False,3.741721946047619
"('n_clusters', 'tol')",0.03172455067375166,3d-40c-no0.csv,False,3.741721946047619
"('max_iter', 'n_clusters')",0.03079754288171951,3d-40c-no0.csv,False,3.741721946047619
"('n_clusters', 'n_init')",0.02224388229034598,3d-40c-no0.csv,False,3.741721946047619
"('init', 'n_clusters')",0.019151344466981763,3d-40c-no0.csv,False,3.741721946047619
"('max_iter', 'tol')",0.018823899773257234,3d-40c-no0.csv,False,3.741721946047619
"('algorithm', 'n_clusters')",0.012641111366276641,3d-40c-no0.csv,False,3.741721946047619
"('max_iter', 'n_init')",0.004054161408718899,3d-40c-no0.csv,False,3.741721946047619
"('init', 'tol')",0.0038949243768629767,3d-40c-no0.csv,False,3.741721946047619
"('init', 'max_iter')",0.003449878627133799,3d-40c-no0.csv,False,3.741721946047619
"('algorithm', 'tol')",0.0033568578899720765,3d-40c-no0.csv,False,3.741721946047619
"('n_clusters', 'init', 'max_iter')",0.0038662089747949096,3d-40c-no0.csv,False,3.741721946047619
"('n_clusters', 'init', 'algorithm')",0.00094588788671435,3d-40c-no0.csv,False,3.741721946047619
algorithm,0.002527651402047316,triangle2.csv,False,3.816993932938203
init,0.011377154360648362,triangle2.csv,False,3.816993932938203
max_iter,0.09742838467286952,triangle2.csv,False,3.816993932938203
n_clusters,0.6462955195230402,triangle2.csv,False,3.816993932938203
n_init,0.01065837564025374,triangle2.csv,False,3.816993932938203
tol,0.015547276958621669,triangle2.csv,False,3.816993932938203
"('max_iter', 'n_clusters')",0.04366481969941926,triangle2.csv,False,3.816993932938203
"('n_clusters', 'tol')",0.03593120279109455,triangle2.csv,False,3.816993932938203
"('max_iter', 'n_init')",0.03127712316747974,triangle2.csv,False,3.816993932938203
"('algorithm', 'n_clusters')",0.014421442252309005,triangle2.csv,False,3.816993932938203
"('init', 'max_iter')",0.014144818777360589,triangle2.csv,False,3.816993932938203
"('n_clusters', 'n_init')",0.013513777496671663,triangle2.csv,False,3.816993932938203
"('init', 'n_clusters')",0.010250193553852014,triangle2.csv,False,3.816993932938203
"('init', 'tol')",0.004531868887532414,triangle2.csv,False,3.816993932938203
"('max_iter', 'tol')",0.0037766955386508263,triangle2.csv,False,3.816993932938203
