param,importance,dataset,imputation,time_taken
algorithm,0.0018816416971786528,unbalance.csv,True,18.918876151990844
imputation,0.0,unbalance.csv,True,18.918876151990844
init,0.004250165235279674,unbalance.csv,True,18.918876151990844
max_iter,0.0757214531832884,unbalance.csv,True,18.918876151990844
n_clusters,0.7551070787747003,unbalance.csv,True,18.918876151990844
n_init,0.014633069179718065,unbalance.csv,True,18.918876151990844
"('max_iter', 'n_clusters')",0.04179812556258354,unbalance.csv,True,18.918876151990844
"('n_clusters', 'n_init')",0.02911951379669483,unbalance.csv,True,18.918876151990844
"('init', 'n_clusters')",0.018619748843365272,unbalance.csv,True,18.918876151990844
"('max_iter', 'n_init')",0.013807212992638769,unbalance.csv,True,18.918876151990844
"('algorithm', 'n_clusters')",0.010306230336176617,unbalance.csv,True,18.918876151990844
"('algorithm', 'n_init')",0.0010993238386502943,unbalance.csv,True,18.918876151990844
"('algorithm', 'max_iter')",0.0008625443530004246,unbalance.csv,True,18.918876151990844
"('algorithm', 'init')",0.0007873889412663758,unbalance.csv,True,18.918876151990844
"('init', 'n_init')",0.0007660149404687094,unbalance.csv,True,18.918876151990844
"('init', 'max_iter')",0.000370234276693301,unbalance.csv,True,18.918876151990844
"('n_clusters', 'init', 'max_iter')",0.0021664552891237547,unbalance.csv,True,18.918876151990844
"('n_clusters', 'init', 'algorithm')",0.003714987459896563,unbalance.csv,True,18.918876151990844
"('imputation', 'n_clusters', 'algorithm')",1.5157390291041058e-16,unbalance.csv,True,18.918876151990844
algorithm,0.00493954085810888,s2.csv,True,7.5929152489989065
imputation,0.0,s2.csv,True,7.5929152489989065
init,0.002627140368482269,s2.csv,True,7.5929152489989065
max_iter,0.018620914538478056,s2.csv,True,7.5929152489989065
n_clusters,0.7671792607074248,s2.csv,True,7.5929152489989065
n_init,0.013196745221212974,s2.csv,True,7.5929152489989065
"('max_iter', 'n_clusters')",0.04700256487398384,s2.csv,True,7.5929152489989065
"('n_clusters', 'n_init')",0.03244311875948409,s2.csv,True,7.5929152489989065
"('max_iter', 'n_init')",0.01991581472965126,s2.csv,True,7.5929152489989065
"('algorithm', 'n_clusters')",0.014258839732335956,s2.csv,True,7.5929152489989065
"('init', 'n_clusters')",0.00780400135510416,s2.csv,True,7.5929152489989065
"('algorithm', 'max_iter')",0.006842484005369052,s2.csv,True,7.5929152489989065
"('algorithm', 'n_init')",0.004593684385781067,s2.csv,True,7.5929152489989065
"('algorithm', 'init')",0.0032976470001769252,s2.csv,True,7.5929152489989065
"('init', 'n_init')",0.0024561457169973923,s2.csv,True,7.5929152489989065
"('init', 'max_iter')",0.0016245214770884758,s2.csv,True,7.5929152489989065
"('n_clusters', 'init', 'max_iter')",0.002876829713175005,s2.csv,True,7.5929152489989065
"('n_clusters', 'init', 'algorithm')",0.0023712891167607213,s2.csv,True,7.5929152489989065
"('imputation', 'n_clusters', 'algorithm')",3.0621588948966707e-16,s2.csv,True,7.5929152489989065
algorithm,0.001834713060248301,s1.csv,True,6.252159427996958
imputation,0.0,s1.csv,True,6.252159427996958
init,0.0014154123761119805,s1.csv,True,6.252159427996958
max_iter,0.04320292603262584,s1.csv,True,6.252159427996958
n_clusters,0.8011396836727593,s1.csv,True,6.252159427996958
n_init,0.016323276516236572,s1.csv,True,6.252159427996958
"('max_iter', 'n_clusters')",0.04638306134800359,s1.csv,True,6.252159427996958
"('n_clusters', 'n_init')",0.028630986997020914,s1.csv,True,6.252159427996958
"('max_iter', 'n_init')",0.008449505472683649,s1.csv,True,6.252159427996958
"('init', 'n_clusters')",0.008420660627639263,s1.csv,True,6.252159427996958
"('algorithm', 'n_clusters')",0.006715501379010096,s1.csv,True,6.252159427996958
"('algorithm', 'max_iter')",0.0028091597796537715,s1.csv,True,6.252159427996958
"('init', 'n_init')",0.0027174423574202284,s1.csv,True,6.252159427996958
"('init', 'max_iter')",0.0013020982043601512,s1.csv,True,6.252159427996958
"('algorithm', 'n_init')",0.001103144600278736,s1.csv,True,6.252159427996958
"('algorithm', 'init')",0.00041152896657928475,s1.csv,True,6.252159427996958
"('n_clusters', 'init', 'max_iter')",0.0036856655847479483,s1.csv,True,6.252159427996958
"('n_clusters', 'init', 'algorithm')",0.002139790507321157,s1.csv,True,6.252159427996958
