param,importance,dataset,imputation,time_taken
algorithm,0.0014524615822044571,vertebral_RL.csv,True,11.580595331004588
imputation,3.5553433768908975e-16,vertebral_RL.csv,True,11.580595331004588
init,0.005153194833056765,vertebral_RL.csv,True,11.580595331004588
max_iter,0.06098513450700532,vertebral_RL.csv,True,11.580595331004588
n_clusters,0.8497360351334041,vertebral_RL.csv,True,11.580595331004588
n_init,0.00458394339173262,vertebral_RL.csv,True,11.580595331004588
"('max_iter', 'n_clusters')",0.02417911432035528,vertebral_RL.csv,True,11.580595331004588
"('algorithm', 'n_clusters')",0.010707589554649568,vertebral_RL.csv,True,11.580595331004588
"('n_clusters', 'n_init')",0.0088980466441992,vertebral_RL.csv,True,11.580595331004588
"('init', 'n_clusters')",0.0062005599106039425,vertebral_RL.csv,True,11.580595331004588
"('max_iter', 'n_init')",0.0035156149734902466,vertebral_RL.csv,True,11.580595331004588
"('init', 'n_init')",0.001962320514422265,vertebral_RL.csv,True,11.580595331004588
"('init', 'max_iter')",0.0010849961311896195,vertebral_RL.csv,True,11.580595331004588
"('algorithm', 'max_iter')",0.0008133998061814354,vertebral_RL.csv,True,11.580595331004588
"('algorithm', 'n_init')",0.0007216845055241182,vertebral_RL.csv,True,11.580595331004588
"('algorithm', 'init')",0.0007164481234882454,vertebral_RL.csv,True,11.580595331004588
"('n_clusters', 'init', 'max_iter')",0.00213391369880496,vertebral_RL.csv,True,11.580595331004588
"('n_clusters', 'init', 'algorithm')",0.001214388687322496,vertebral_RL.csv,True,11.580595331004588
"('imputation', 'n_clusters', 'algorithm')",1.848402656275722e-16,vertebral_RL.csv,True,11.580595331004588
algorithm,0.00045078458607013467,dense-disk-5000.csv,True,9.522484410001198
imputation,1.866421326038273e-14,dense-disk-5000.csv,True,9.522484410001198
init,0.0006845510309771824,dense-disk-5000.csv,True,9.522484410001198
max_iter,0.0043623498605373685,dense-disk-5000.csv,True,9.522484410001198
n_clusters,0.9022120962431741,dense-disk-5000.csv,True,9.522484410001198
n_init,0.008705965378199919,dense-disk-5000.csv,True,9.522484410001198
"('n_clusters', 'n_init')",0.03188930409988029,dense-disk-5000.csv,True,9.522484410001198
"('max_iter', 'n_clusters')",0.01990327620930331,dense-disk-5000.csv,True,9.522484410001198
"('init', 'n_clusters')",0.005297267372772076,dense-disk-5000.csv,True,9.522484410001198
"('algorithm', 'n_clusters')",0.0037536692044370726,dense-disk-5000.csv,True,9.522484410001198
"('max_iter', 'n_init')",0.0025048656075908927,dense-disk-5000.csv,True,9.522484410001198
"('init', 'max_iter')",0.0007085366711260468,dense-disk-5000.csv,True,9.522484410001198
"('algorithm', 'n_init')",0.0006472365237390892,dense-disk-5000.csv,True,9.522484410001198
"('algorithm', 'max_iter')",0.00037746322470183816,dense-disk-5000.csv,True,9.522484410001198
"('init', 'n_init')",0.0002917039565096944,dense-disk-5000.csv,True,9.522484410001198
"('algorithm', 'init')",0.00013456443240880654,dense-disk-5000.csv,True,9.522484410001198
