param,importance,dataset,imputation,time_taken
algorithm,0.002360869854016458,vertebral_RL.csv,False,3.7931177800055593
init,0.0005208562650522789,vertebral_RL.csv,False,3.7931177800055593
max_iter,0.008002673854474928,vertebral_RL.csv,False,3.7931177800055593
n_clusters,0.8673898963580109,vertebral_RL.csv,False,3.7931177800055593
n_init,0.00938952516217267,vertebral_RL.csv,False,3.7931177800055593
tol,0.011456578550110692,vertebral_RL.csv,False,3.7931177800055593
"('max_iter', 'n_clusters')",0.020880772119207948,vertebral_RL.csv,False,3.7931177800055593
"('n_clusters', 'n_init')",0.01597953193051089,vertebral_RL.csv,False,3.7931177800055593
"('algorithm', 'n_clusters')",0.011367646550123095,vertebral_RL.csv,False,3.7931177800055593
"('n_clusters', 'tol')",0.009434359320008523,vertebral_RL.csv,False,3.7931177800055593
"('max_iter', 'n_init')",0.008007725060769987,vertebral_RL.csv,False,3.7931177800055593
"('algorithm', 'tol')",0.004575169439024597,vertebral_RL.csv,False,3.7931177800055593
"('max_iter', 'tol')",0.003945713506085559,vertebral_RL.csv,False,3.7931177800055593
"('n_init', 'tol')",0.0015277153807561187,vertebral_RL.csv,False,3.7931177800055593
"('algorithm', 'max_iter')",0.0011838861016338822,vertebral_RL.csv,False,3.7931177800055593
"('algorithm', 'n_init')",0.0010226439112868797,vertebral_RL.csv,False,3.7931177800055593
"('n_clusters', 'init', 'max_iter')",0.0002628152223975556,vertebral_RL.csv,False,3.7931177800055593
"('n_clusters', 'init', 'algorithm')",0.00033523037687045645,vertebral_RL.csv,False,3.7931177800055593
algorithm,0.0009018871937253705,dense-disk-5000.csv,False,3.7017418789910153
init,0.0008763057449011956,dense-disk-5000.csv,False,3.7017418789910153
max_iter,0.01207572549243413,dense-disk-5000.csv,False,3.7017418789910153
n_clusters,0.8574351601286809,dense-disk-5000.csv,False,3.7017418789910153
n_init,0.005671593573755062,dense-disk-5000.csv,False,3.7017418789910153
tol,0.009249468174592355,dense-disk-5000.csv,False,3.7017418789910153
"('max_iter', 'n_clusters')",0.031794076402729285,dense-disk-5000.csv,False,3.7017418789910153
"('n_clusters', 'tol')",0.017076145380506946,dense-disk-5000.csv,False,3.7017418789910153
"('n_clusters', 'n_init')",0.010839671766825447,dense-disk-5000.csv,False,3.7017418789910153
"('max_iter', 'n_init')",0.010507202372500156,dense-disk-5000.csv,False,3.7017418789910153
"('max_iter', 'tol')",0.008948833956906968,dense-disk-5000.csv,False,3.7017418789910153
"('algorithm', 'n_clusters')",0.003590107954663817,dense-disk-5000.csv,False,3.7017418789910153
"('init', 'n_clusters')",0.0030076905476495957,dense-disk-5000.csv,False,3.7017418789910153
"('n_init', 'tol')",0.0020075863982270976,dense-disk-5000.csv,False,3.7017418789910153
"('init', 'n_init')",0.0012525717416454877,dense-disk-5000.csv,False,3.7017418789910153
"('init', 'tol')",0.0011525567004355174,dense-disk-5000.csv,False,3.7017418789910153
"('n_clusters', 'init', 'max_iter')",0.0009791784530046091,dense-disk-5000.csv,False,3.7017418789910153
"('n_clusters', 'init', 'algorithm')",0.0003250121940947137,dense-disk-5000.csv,False,3.7017418789910153
algorithm,0.0009089835605441505,wine_RL.csv,False,3.7559513360029086
init,0.0005045233194152146,wine_RL.csv,False,3.7559513360029086
max_iter,0.009895567446061508,wine_RL.csv,False,3.7559513360029086
n_clusters,0.8854657436698213,wine_RL.csv,False,3.7559513360029086
n_init,0.0031665230264926194,wine_RL.csv,False,3.7559513360029086
tol,0.009186998468482024,wine_RL.csv,False,3.7559513360029086
"('n_clusters', 'tol')",0.024808393675933085,wine_RL.csv,False,3.7559513360029086
"('max_iter', 'n_clusters')",0.015315834397043836,wine_RL.csv,False,3.7559513360029086
"('n_clusters', 'n_init')",0.010654659276826173,wine_RL.csv,False,3.7559513360029086
"('init', 'n_clusters')",0.0053824717139192586,wine_RL.csv,False,3.7559513360029086
"('algorithm', 'n_clusters')",0.004890475891985963,wine_RL.csv,False,3.7559513360029086
"('max_iter', 'tol')",0.004675201827096374,wine_RL.csv,False,3.7559513360029086
"('n_init', 'tol')",0.0033783200363077647,wine_RL.csv,False,3.7559513360029086
"('max_iter', 'n_init')",0.0014824248282161918,wine_RL.csv,False,3.7559513360029086
"('algorithm', 'max_iter')",0.0009783665866614304,wine_RL.csv,False,3.7559513360029086
"('init', 'max_iter')",0.0004683568144432375,wine_RL.csv,False,3.7559513360029086
"('n_clusters', 'init', 'max_iter')",0.000832686113250714,wine_RL.csv,False,3.7559513360029086
"('n_clusters', 'init', 'algorithm')",0.0001772289418230321,wine_RL.csv,False,3.7559513360029086
algorithm,0.0036383076848036456,disk_4500n.csv,False,3.6864652399672195
init,0.0002616165407210762,disk_4500n.csv,False,3.6864652399672195
max_iter,0.015243387075786822,disk_4500n.csv,False,3.6864652399672195
n_clusters,0.826441349030334,disk_4500n.csv,False,3.6864652399672195
n_init,0.01102636250089015,disk_4500n.csv,False,3.6864652399672195
tol,0.004919359547947974,disk_4500n.csv,False,3.6864652399672195
"('max_iter', 'n_clusters')",0.04653345341273023,disk_4500n.csv,False,3.6864652399672195
"('max_iter', 'n_init')",0.025458319846311066,disk_4500n.csv,False,3.6864652399672195
"('n_clusters', 'n_init')",0.010970869849669374,disk_4500n.csv,False,3.6864652399672195
"('algorithm', 'max_iter')",0.010847816600799056,disk_4500n.csv,False,3.6864652399672195
"('algorithm', 'n_clusters')",0.010723427582728847,disk_4500n.csv,False,3.6864652399672195
"('n_clusters', 'tol')",0.009916482334519845,disk_4500n.csv,False,3.6864652399672195
"('n_init', 'tol')",0.0023649352159562397,disk_4500n.csv,False,3.6864652399672195
"('init', 'n_clusters')",0.0021395778344525823,disk_4500n.csv,False,3.6864652399672195
"('max_iter', 'tol')",0.001327403151082816,disk_4500n.csv,False,3.6864652399672195
"('init', 'n_init')",0.0004156661991408781,disk_4500n.csv,False,3.6864652399672195
"('n_clusters', 'init', 'max_iter')",0.0005265767770076197,disk_4500n.csv,False,3.6864652399672195
