param,importance,dataset,imputation,time_taken
algorithm,0.008028340490334532,vertebral_RL.csv,False,3.603483279934153
init,0.005823403922814401,vertebral_RL.csv,False,3.603483279934153
max_iter,0.054359639559392214,vertebral_RL.csv,False,3.603483279934153
n_clusters,0.23501756229202272,vertebral_RL.csv,False,3.603483279934153
n_init,0.04422810856351714,vertebral_RL.csv,False,3.603483279934153
tol,0.13614401558993816,vertebral_RL.csv,False,3.603483279934153
"('n_clusters', 'tol')",0.10116097841778199,vertebral_RL.csv,False,3.603483279934153
"('max_iter', 'tol')",0.04719686767671486,vertebral_RL.csv,False,3.603483279934153
"('n_init', 'tol')",0.044538500737136236,vertebral_RL.csv,False,3.603483279934153
"('n_clusters', 'n_init')",0.042324528751518806,vertebral_RL.csv,False,3.603483279934153
"('max_iter', 'n_clusters')",0.04016662150139297,vertebral_RL.csv,False,3.603483279934153
"('max_iter', 'n_init')",0.020954633648648965,vertebral_RL.csv,False,3.603483279934153
"('algorithm', 'n_clusters')",0.017003648929638324,vertebral_RL.csv,False,3.603483279934153
"('algorithm', 'max_iter')",0.012727536511046685,vertebral_RL.csv,False,3.603483279934153
"('init', 'tol')",0.011264831923756076,vertebral_RL.csv,False,3.603483279934153
"('algorithm', 'tol')",0.007281654427974677,vertebral_RL.csv,False,3.603483279934153
"('n_clusters', 'init', 'max_iter')",0.003623149420867343,vertebral_RL.csv,False,3.603483279934153
"('n_clusters', 'init', 'algorithm')",0.002253289577311822,vertebral_RL.csv,False,3.603483279934153
algorithm,0.0014797916719109076,dense-disk-5000.csv,False,3.6875534880673513
init,0.0003985515712416059,dense-disk-5000.csv,False,3.6875534880673513
max_iter,0.010168787615089016,dense-disk-5000.csv,False,3.6875534880673513
n_clusters,0.8986201334424606,dense-disk-5000.csv,False,3.6875534880673513
n_init,0.006226217858452679,dense-disk-5000.csv,False,3.6875534880673513
tol,0.00254745510581887,dense-disk-5000.csv,False,3.6875534880673513
"('max_iter', 'n_clusters')",0.022089690670974334,dense-disk-5000.csv,False,3.6875534880673513
"('n_clusters', 'n_init')",0.019568540456838146,dense-disk-5000.csv,False,3.6875534880673513
"('max_iter', 'n_init')",0.0052800348726138955,dense-disk-5000.csv,False,3.6875534880673513
"('n_clusters', 'tol')",0.004762797116687693,dense-disk-5000.csv,False,3.6875534880673513
"('init', 'n_clusters')",0.0031886539717755624,dense-disk-5000.csv,False,3.6875534880673513
"('algorithm', 'n_clusters')",0.0022707148969871313,dense-disk-5000.csv,False,3.6875534880673513
"('algorithm', 'max_iter')",0.0013660941970777946,dense-disk-5000.csv,False,3.6875534880673513
"('n_init', 'tol')",0.0008706883431637631,dense-disk-5000.csv,False,3.6875534880673513
"('max_iter', 'tol')",0.0005757540206429258,dense-disk-5000.csv,False,3.6875534880673513
"('algorithm', 'n_init')",0.0005561902830334964,dense-disk-5000.csv,False,3.6875534880673513
"('n_clusters', 'init', 'max_iter')",0.0005107384166846801,dense-disk-5000.csv,False,3.6875534880673513
"('n_clusters', 'init', 'algorithm')",0.00024735106882045534,dense-disk-5000.csv,False,3.6875534880673513
algorithm,0.012196912624662968,wine_RL.csv,False,3.5969299470307305
init,0.0003039035749811638,wine_RL.csv,False,3.5969299470307305
max_iter,0.03516271749595862,wine_RL.csv,False,3.5969299470307305
n_clusters,0.699656268462868,wine_RL.csv,False,3.5969299470307305
n_init,0.0072383338609840085,wine_RL.csv,False,3.5969299470307305
tol,0.012690330865231917,wine_RL.csv,False,3.5969299470307305
"('max_iter', 'n_clusters')",0.082271522752224,wine_RL.csv,False,3.5969299470307305
"('algorithm', 'n_clusters')",0.04128887653689601,wine_RL.csv,False,3.5969299470307305
"('n_clusters', 'n_init')",0.03519909281867056,wine_RL.csv,False,3.5969299470307305
"('n_clusters', 'tol')",0.031426167271297246,wine_RL.csv,False,3.5969299470307305
"('algorithm', 'max_iter')",0.01950256402210969,wine_RL.csv,False,3.5969299470307305
"('max_iter', 'tol')",0.00212312572546377,wine_RL.csv,False,3.5969299470307305
"('init', 'n_clusters')",0.001657123433283373,wine_RL.csv,False,3.5969299470307305
"('n_init', 'tol')",0.0011829318590610145,wine_RL.csv,False,3.5969299470307305
