param,importance,dataset,imputation,time_taken
bandwidth,0.30791687718260324,vertebral_RL.csv,False,0.08301740698516369
bin_seeding,0.006357531557414985,vertebral_RL.csv,False,0.08301740698516369
cluster_all,0.011090751729412238,vertebral_RL.csv,False,0.08301740698516369
max_iter,0.3374923913476761,vertebral_RL.csv,False,0.08301740698516369
"('cluster_all', 'max_iter')",0.14197233727257194,vertebral_RL.csv,False,0.08301740698516369
"('bandwidth', 'max_iter')",0.10936073462042267,vertebral_RL.csv,False,0.08301740698516369
"('bandwidth', 'cluster_all')",0.011443374456509225,vertebral_RL.csv,False,0.08301740698516369
"('bandwidth', 'bin_seeding')",0.009462656132981778,vertebral_RL.csv,False,0.08301740698516369
"('bin_seeding', 'cluster_all')",0.006357531557414985,vertebral_RL.csv,False,0.08301740698516369
"('bin_seeding', 'max_iter')",0.004188801507474923,vertebral_RL.csv,False,0.08301740698516369
"('bin_seeding', 'cluster_all', 'max_iter')",0.004188801507474923,vertebral_RL.csv,False,0.08301740698516369
"('cluster_all', 'max_iter', 'bandwidth')",0.029925719993049486,vertebral_RL.csv,False,0.08301740698516369
bandwidth,0.7044025778345768,dense-disk-5000.csv,False,0.8825578329851851
bin_seeding,0.003051952346138106,dense-disk-5000.csv,False,0.8825578329851851
cluster_all,0.005489745175602807,dense-disk-5000.csv,False,0.8825578329851851
max_iter,0.03130587426573157,dense-disk-5000.csv,False,0.8825578329851851
"('bandwidth', 'max_iter')",0.0936287259871778,dense-disk-5000.csv,False,0.8825578329851851
"('bandwidth', 'cluster_all')",0.0437403107477851,dense-disk-5000.csv,False,0.8825578329851851
"('bandwidth', 'bin_seeding')",0.030516265719213252,dense-disk-5000.csv,False,0.8825578329851851
"('cluster_all', 'max_iter')",0.015645425554789708,dense-disk-5000.csv,False,0.8825578329851851
"('bin_seeding', 'max_iter')",0.013892600873357756,dense-disk-5000.csv,False,0.8825578329851851
"('bin_seeding', 'cluster_all')",0.0014276692122664279,dense-disk-5000.csv,False,0.8825578329851851
"('bin_seeding', 'cluster_all', 'max_iter')",0.004780427149277358,dense-disk-5000.csv,False,0.8825578329851851
"('cluster_all', 'max_iter', 'bandwidth')",0.019857601767734635,dense-disk-5000.csv,False,0.8825578329851851
bandwidth,0.3893036467414252,wine_RL.csv,False,0.08899815799668431
bin_seeding,0.0036808027944503553,wine_RL.csv,False,0.08899815799668431
cluster_all,0.006848819034861414,wine_RL.csv,False,0.08899815799668431
max_iter,0.20955544084211147,wine_RL.csv,False,0.08899815799668431
"('bandwidth', 'max_iter')",0.18947035173068885,wine_RL.csv,False,0.08899815799668431
"('bandwidth', 'bin_seeding')",0.04369676257989697,wine_RL.csv,False,0.08899815799668431
"('bin_seeding', 'max_iter')",0.036494599417578176,wine_RL.csv,False,0.08899815799668431
"('cluster_all', 'max_iter')",0.02882198815065515,wine_RL.csv,False,0.08899815799668431
"('bandwidth', 'cluster_all')",0.01697197483414417,wine_RL.csv,False,0.08899815799668431
"('bin_seeding', 'cluster_all')",0.0004639574372648139,wine_RL.csv,False,0.08899815799668431
"('bin_seeding', 'cluster_all', 'max_iter')",0.010521597139442706,wine_RL.csv,False,0.08899815799668431
"('cluster_all', 'max_iter', 'bandwidth')",0.04849172509497553,wine_RL.csv,False,0.08899815799668431
bandwidth,0.7853143050396381,disk_4500n.csv,False,0.6343743569450453
bin_seeding,0.004282911987951487,disk_4500n.csv,False,0.6343743569450453
cluster_all,0.0038542461773318952,disk_4500n.csv,False,0.6343743569450453
max_iter,0.038111504110475314,disk_4500n.csv,False,0.6343743569450453
"('bandwidth', 'max_iter')",0.0627982361312992,disk_4500n.csv,False,0.6343743569450453
"('bandwidth', 'cluster_all')",0.02450396466185441,disk_4500n.csv,False,0.6343743569450453
"('bandwidth', 'bin_seeding')",0.023416795165054835,disk_4500n.csv,False,0.6343743569450453
"('cluster_all', 'max_iter')",0.008393088201951835,disk_4500n.csv,False,0.6343743569450453
"('bin_seeding', 'max_iter')",0.007524515424775943,disk_4500n.csv,False,0.6343743569450453
"('bin_seeding', 'cluster_all')",0.0009894932923053487,disk_4500n.csv,False,0.6343743569450453
"('bin_seeding', 'cluster_all', 'max_iter')",0.003120249566461463,disk_4500n.csv,False,0.6343743569450453
"('cluster_all', 'max_iter', 'bandwidth')",0.013686969931867528,disk_4500n.csv,False,0.6343743569450453
bandwidth,0.6267244458049672,disk_5000n.csv,False,1.2676937449723482
bin_seeding,0.016082534279553397,disk_5000n.csv,False,1.2676937449723482
cluster_all,0.010434919559509643,disk_5000n.csv,False,1.2676937449723482
max_iter,0.06106137445092959,disk_5000n.csv,False,1.2676937449723482
"('bandwidth', 'max_iter')",0.08376798888635242,disk_5000n.csv,False,1.2676937449723482
"('bandwidth', 'bin_seeding')",0.04437780185520119,disk_5000n.csv,False,1.2676937449723482
"('bandwidth', 'cluster_all')",0.03694885656729309,disk_5000n.csv,False,1.2676937449723482
"('bin_seeding', 'max_iter')",0.02614276759130195,disk_5000n.csv,False,1.2676937449723482
"('cluster_all', 'max_iter')",0.01332632376626809,disk_5000n.csv,False,1.2676937449723482
"('bin_seeding', 'cluster_all')",0.004195811076775698,disk_5000n.csv,False,1.2676937449723482
"('bin_seeding', 'cluster_all', 'max_iter')",0.0046013375235560705,disk_5000n.csv,False,1.2676937449723482
"('cluster_all', 'max_iter', 'bandwidth')",0.020650324093804132,disk_5000n.csv,False,1.2676937449723482
bandwidth,0.7602833734676547,blobs.csv,False,0.500027235946618
bin_seeding,0.003099330497256652,blobs.csv,False,0.500027235946618
cluster_all,0.0070156242772119555,blobs.csv,False,0.500027235946618
max_iter,0.03979839144372666,blobs.csv,False,0.500027235946618
"('bandwidth', 'max_iter')",0.07297911001110771,blobs.csv,False,0.500027235946618
"('bandwidth', 'bin_seeding')",0.02712310727690145,blobs.csv,False,0.500027235946618
"('cluster_all', 'max_iter')",0.014492542572993684,blobs.csv,False,0.500027235946618
"('bandwidth', 'cluster_all')",0.01312164143756126,blobs.csv,False,0.500027235946618
"('bin_seeding', 'max_iter')",0.011415831398623533,blobs.csv,False,0.500027235946618
"('bin_seeding', 'cluster_all')",0.004366268442313487,blobs.csv,False,0.500027235946618
"('bin_seeding', 'cluster_all', 'max_iter')",0.005884188887770673,blobs.csv,False,0.500027235946618
"('cluster_all', 'max_iter', 'bandwidth')",0.01319324535805264,blobs.csv,False,0.500027235946618
bandwidth,0.6818806290577812,3d-40c-no0.csv,False,0.8277531979838386
bin_seeding,0.005251465027631005,3d-40c-no0.csv,False,0.8277531979838386
cluster_all,0.0015181052383077052,3d-40c-no0.csv,False,0.8277531979838386
max_iter,0.07812424201049253,3d-40c-no0.csv,False,0.8277531979838386
"('bandwidth', 'max_iter')",0.09400893780139469,3d-40c-no0.csv,False,0.8277531979838386
"('bandwidth', 'cluster_all')",0.03445961905694597,3d-40c-no0.csv,False,0.8277531979838386
"('bin_seeding', 'max_iter')",0.01735921448584169,3d-40c-no0.csv,False,0.8277531979838386
"('bandwidth', 'bin_seeding')",0.016021612007993617,3d-40c-no0.csv,False,0.8277531979838386
"('cluster_all', 'max_iter')",0.015284473912826616,3d-40c-no0.csv,False,0.8277531979838386
"('bin_seeding', 'cluster_all')",0.003011967137691556,3d-40c-no0.csv,False,0.8277531979838386
"('bin_seeding', 'cluster_all', 'max_iter')",0.009206379902170419,3d-40c-no0.csv,False,0.8277531979838386
"('cluster_all', 'max_iter', 'bandwidth')",0.01584460439375475,3d-40c-no0.csv,False,0.8277531979838386
bandwidth,0.7814471442359241,triangle2.csv,False,0.6666832289192826
bin_seeding,0.006035185677167054,triangle2.csv,False,0.6666832289192826
cluster_all,0.004427670317940703,triangle2.csv,False,0.6666832289192826
max_iter,0.025134749318887973,triangle2.csv,False,0.6666832289192826
"('bandwidth', 'max_iter')",0.05928239245251938,triangle2.csv,False,0.6666832289192826
