param,importance,dataset,imputation,time_taken
bandwidth,0.7871807897618771,vertebral_RL.csv,False,3.19338329101447
bin_seeding,0.002627474498757488,vertebral_RL.csv,False,3.19338329101447
cluster_all,0.004143513154389543,vertebral_RL.csv,False,3.19338329101447
max_iter,0.040502156325195285,vertebral_RL.csv,False,3.19338329101447
"('bandwidth', 'max_iter')",0.046747276159265536,vertebral_RL.csv,False,3.19338329101447
"('bandwidth', 'cluster_all')",0.025261502218922087,vertebral_RL.csv,False,3.19338329101447
"('cluster_all', 'max_iter')",0.01785097466470843,vertebral_RL.csv,False,3.19338329101447
"('bandwidth', 'bin_seeding')",0.016249529751858758,vertebral_RL.csv,False,3.19338329101447
"('bin_seeding', 'max_iter')",0.014554295626794844,vertebral_RL.csv,False,3.19338329101447
"('bin_seeding', 'cluster_all')",0.0044070457483760496,vertebral_RL.csv,False,3.19338329101447
"('bin_seeding', 'cluster_all', 'max_iter')",0.0056325535890902785,vertebral_RL.csv,False,3.19338329101447
"('cluster_all', 'max_iter', 'bandwidth')",0.015498247269336626,vertebral_RL.csv,False,3.19338329101447
bandwidth,0.7839211276875024,dense-disk-5000.csv,False,0.8261989390011877
bin_seeding,0.002765503510753738,dense-disk-5000.csv,False,0.8261989390011877
cluster_all,0.0021270622475059817,dense-disk-5000.csv,False,0.8261989390011877
max_iter,0.056047298208425245,dense-disk-5000.csv,False,0.8261989390011877
"('bandwidth', 'max_iter')",0.06003930418267884,dense-disk-5000.csv,False,0.8261989390011877
"('bandwidth', 'cluster_all')",0.021856331943867005,dense-disk-5000.csv,False,0.8261989390011877
"('cluster_all', 'max_iter')",0.0175312010299103,dense-disk-5000.csv,False,0.8261989390011877
"('bandwidth', 'bin_seeding')",0.012403674105616673,dense-disk-5000.csv,False,0.8261989390011877
"('bin_seeding', 'max_iter')",0.007900902420733538,dense-disk-5000.csv,False,0.8261989390011877
"('bin_seeding', 'cluster_all')",0.0026784887110648083,dense-disk-5000.csv,False,0.8261989390011877
"('bin_seeding', 'cluster_all', 'max_iter')",0.0057664629739849005,dense-disk-5000.csv,False,0.8261989390011877
"('cluster_all', 'max_iter', 'bandwidth')",0.014453768954845715,dense-disk-5000.csv,False,0.8261989390011877
bandwidth,0.8309732017990513,wine_RL.csv,False,1.718654672964476
bin_seeding,0.001053364680363086,wine_RL.csv,False,1.718654672964476
cluster_all,0.0025574094704534727,wine_RL.csv,False,1.718654672964476
max_iter,0.03693153084498555,wine_RL.csv,False,1.718654672964476
"('bandwidth', 'max_iter')",0.060044937307493954,wine_RL.csv,False,1.718654672964476
"('bandwidth', 'cluster_all')",0.01904667828975002,wine_RL.csv,False,1.718654672964476
"('bandwidth', 'bin_seeding')",0.010823967936027842,wine_RL.csv,False,1.718654672964476
"('bin_seeding', 'max_iter')",0.007662790473869886,wine_RL.csv,False,1.718654672964476
"('cluster_all', 'max_iter')",0.0054249589780412,wine_RL.csv,False,1.718654672964476
"('bin_seeding', 'cluster_all')",0.0004970991657140441,wine_RL.csv,False,1.718654672964476
"('bin_seeding', 'cluster_all', 'max_iter')",0.0004947416007100229,wine_RL.csv,False,1.718654672964476
"('cluster_all', 'max_iter', 'bandwidth')",0.011622436230326992,wine_RL.csv,False,1.718654672964476
bandwidth,0.7412299997029774,disk_4500n.csv,False,0.6953286629868671
bin_seeding,0.0029821481158861566,disk_4500n.csv,False,0.6953286629868671
cluster_all,0.0034970724593677395,disk_4500n.csv,False,0.6953286629868671
max_iter,0.059022386418011066,disk_4500n.csv,False,0.6953286629868671
"('bandwidth', 'max_iter')",0.061879366681680655,disk_4500n.csv,False,0.6953286629868671
"('bin_seeding', 'max_iter')",0.0236459286911045,disk_4500n.csv,False,0.6953286629868671
"('bandwidth', 'bin_seeding')",0.02259791490948796,disk_4500n.csv,False,0.6953286629868671
"('cluster_all', 'max_iter')",0.020807561696774023,disk_4500n.csv,False,0.6953286629868671
