param,importance,dataset,imputation,time_taken
bandwidth,0.8018347958074583,vertebral_RL.csv,False,2.799642715952359
bin_seeding,0.0018225825546993291,vertebral_RL.csv,False,2.799642715952359
cluster_all,0.0026010514009175015,vertebral_RL.csv,False,2.799642715952359
max_iter,0.056242257319540356,vertebral_RL.csv,False,2.799642715952359
"('bandwidth', 'max_iter')",0.04594295438001207,vertebral_RL.csv,False,2.799642715952359
"('bandwidth', 'bin_seeding')",0.018427658101269728,vertebral_RL.csv,False,2.799642715952359
"('bandwidth', 'cluster_all')",0.0165541223010784,vertebral_RL.csv,False,2.799642715952359
"('bin_seeding', 'max_iter')",0.010107521492963959,vertebral_RL.csv,False,2.799642715952359
"('cluster_all', 'max_iter')",0.0062849892624139885,vertebral_RL.csv,False,2.799642715952359
"('bin_seeding', 'cluster_all')",0.0014138174508946612,vertebral_RL.csv,False,2.799642715952359
"('bin_seeding', 'cluster_all', 'max_iter')",0.0037217075333033376,vertebral_RL.csv,False,2.799642715952359
"('cluster_all', 'max_iter', 'bandwidth')",0.012153218032528374,vertebral_RL.csv,False,2.799642715952359
bandwidth,0.8386788021284439,dense-disk-5000.csv,False,0.9601891030324623
bin_seeding,0.0010417062011198832,dense-disk-5000.csv,False,0.9601891030324623
cluster_all,0.0008901177170279872,dense-disk-5000.csv,False,0.9601891030324623
max_iter,0.03231631466828111,dense-disk-5000.csv,False,0.9601891030324623
"('bandwidth', 'max_iter')",0.06874390876064979,dense-disk-5000.csv,False,0.9601891030324623
"('bandwidth', 'bin_seeding')",0.011220824544049107,dense-disk-5000.csv,False,0.9601891030324623
"('bandwidth', 'cluster_all')",0.010953111062031673,dense-disk-5000.csv,False,0.9601891030324623
"('cluster_all', 'max_iter')",0.010276704245248017,dense-disk-5000.csv,False,0.9601891030324623
"('bin_seeding', 'max_iter')",0.005560242005840548,dense-disk-5000.csv,False,0.9601891030324623
"('bin_seeding', 'cluster_all')",0.0006487394129664511,dense-disk-5000.csv,False,0.9601891030324623
"('bin_seeding', 'cluster_all', 'max_iter')",0.0016432505754469882,dense-disk-5000.csv,False,0.9601891030324623
"('cluster_all', 'max_iter', 'bandwidth')",0.006699836742754498,dense-disk-5000.csv,False,0.9601891030324623
bandwidth,0.8444725572888125,wine_RL.csv,False,1.609475412988104
bin_seeding,0.002164667496881526,wine_RL.csv,False,1.609475412988104
cluster_all,0.002715844160525711,wine_RL.csv,False,1.609475412988104
max_iter,0.03307557990752445,wine_RL.csv,False,1.609475412988104
"('bandwidth', 'max_iter')",0.03965646171986091,wine_RL.csv,False,1.609475412988104
"('bandwidth', 'cluster_all')",0.02336764023107271,wine_RL.csv,False,1.609475412988104
"('cluster_all', 'max_iter')",0.011844406455554665,wine_RL.csv,False,1.609475412988104
"('bandwidth', 'bin_seeding')",0.008154977229375826,wine_RL.csv,False,1.609475412988104
"('bin_seeding', 'max_iter')",0.005582308483621481,wine_RL.csv,False,1.609475412988104
"('bin_seeding', 'cluster_all')",0.002404224391961242,wine_RL.csv,False,1.609475412988104
"('bin_seeding', 'cluster_all', 'max_iter')",0.0026604476018563922,wine_RL.csv,False,1.609475412988104
"('cluster_all', 'max_iter', 'bandwidth')",0.013312741780990785,wine_RL.csv,False,1.609475412988104
bandwidth,0.8306018483098501,disk_4500n.csv,False,0.7682980019599199
bin_seeding,0.003637628639738654,disk_4500n.csv,False,0.7682980019599199
cluster_all,0.002174955207765765,disk_4500n.csv,False,0.7682980019599199
max_iter,0.06598746629914129,disk_4500n.csv,False,0.7682980019599199
"('bandwidth', 'max_iter')",0.031185050653505984,disk_4500n.csv,False,0.7682980019599199
"('bandwidth', 'cluster_all')",0.020563421704308176,disk_4500n.csv,False,0.7682980019599199
"('cluster_all', 'max_iter')",0.010514736307707186,disk_4500n.csv,False,0.7682980019599199
"('bin_seeding', 'max_iter')",0.006933367257936564,disk_4500n.csv,False,0.7682980019599199
"('bandwidth', 'bin_seeding')",0.005720584838918833,disk_4500n.csv,False,0.7682980019599199
"('bin_seeding', 'cluster_all')",0.0025657646625033095,disk_4500n.csv,False,0.7682980019599199
"('bin_seeding', 'cluster_all', 'max_iter')",0.004364822046114245,disk_4500n.csv,False,0.7682980019599199
