param,importance,dataset,imputation,time_taken
bandwidth,0.8299206500953903,vertebral_RL.csv,False,2.7986512649804354
bin_seeding,0.001971475746710697,vertebral_RL.csv,False,2.7986512649804354
cluster_all,0.0030797276550585577,vertebral_RL.csv,False,2.7986512649804354
max_iter,0.042047534341540085,vertebral_RL.csv,False,2.7986512649804354
"('bandwidth', 'max_iter')",0.0518083932127599,vertebral_RL.csv,False,2.7986512649804354
"('bandwidth', 'cluster_all')",0.010872516470582114,vertebral_RL.csv,False,2.7986512649804354
"('bandwidth', 'bin_seeding')",0.010785655956627843,vertebral_RL.csv,False,2.7986512649804354
"('bin_seeding', 'max_iter')",0.009925675542662438,vertebral_RL.csv,False,2.7986512649804354
"('cluster_all', 'max_iter')",0.00959473539484391,vertebral_RL.csv,False,2.7986512649804354
"('bin_seeding', 'cluster_all')",0.00179397758480037,vertebral_RL.csv,False,2.7986512649804354
"('bin_seeding', 'cluster_all', 'max_iter')",0.002405694396085787,vertebral_RL.csv,False,2.7986512649804354
"('cluster_all', 'max_iter', 'bandwidth')",0.00960829350802771,vertebral_RL.csv,False,2.7986512649804354
bandwidth,0.794492428619058,dense-disk-5000.csv,False,0.9135711760027334
bin_seeding,0.0013698082349383784,dense-disk-5000.csv,False,0.9135711760027334
cluster_all,0.004431951426187081,dense-disk-5000.csv,False,0.9135711760027334
max_iter,0.04539814708474738,dense-disk-5000.csv,False,0.9135711760027334
"('bandwidth', 'max_iter')",0.06264465484310996,dense-disk-5000.csv,False,0.9135711760027334
"('bandwidth', 'cluster_all')",0.02490245302395678,dense-disk-5000.csv,False,0.9135711760027334
"('cluster_all', 'max_iter')",0.023235408276629496,dense-disk-5000.csv,False,0.9135711760027334
"('bandwidth', 'bin_seeding')",0.006281203885873006,dense-disk-5000.csv,False,0.9135711760027334
"('bin_seeding', 'max_iter')",0.005783431557628139,dense-disk-5000.csv,False,0.9135711760027334
"('bin_seeding', 'cluster_all')",0.0015856860329536747,dense-disk-5000.csv,False,0.9135711760027334
"('bin_seeding', 'cluster_all', 'max_iter')",0.0030985290833564997,dense-disk-5000.csv,False,0.9135711760027334
"('cluster_all', 'max_iter', 'bandwidth')",0.01451527649301814,dense-disk-5000.csv,False,0.9135711760027334
bandwidth,0.8633298076393923,wine_RL.csv,False,1.612172332010232
bin_seeding,0.0019798175560490528,wine_RL.csv,False,1.612172332010232
cluster_all,0.0033295746737735154,wine_RL.csv,False,1.612172332010232
max_iter,0.039199774494867626,wine_RL.csv,False,1.612172332010232
"('bandwidth', 'max_iter')",0.03582967052460973,wine_RL.csv,False,1.612172332010232
"('bandwidth', 'cluster_all')",0.011883642636316543,wine_RL.csv,False,1.612172332010232
"('bandwidth', 'bin_seeding')",0.008949384493986075,wine_RL.csv,False,1.612172332010232
"('cluster_all', 'max_iter')",0.005991844986068219,wine_RL.csv,False,1.612172332010232
"('bin_seeding', 'max_iter')",0.005701317573377548,wine_RL.csv,False,1.612172332010232
"('bin_seeding', 'cluster_all')",0.0028167893325309404,wine_RL.csv,False,1.612172332010232
"('bin_seeding', 'cluster_all', 'max_iter')",0.003373331589178864,wine_RL.csv,False,1.612172332010232
"('cluster_all', 'max_iter', 'bandwidth')",0.007196230907512298,wine_RL.csv,False,1.612172332010232
bandwidth,0.8105889180359234,disk_4500n.csv,False,0.5364627059316263
bin_seeding,0.0026815136443875814,disk_4500n.csv,False,0.5364627059316263
cluster_all,0.003647693011751475,disk_4500n.csv,False,0.5364627059316263
max_iter,0.02963181014731824,disk_4500n.csv,False,0.5364627059316263
"('bandwidth', 'max_iter')",0.05372042799351898,disk_4500n.csv,False,0.5364627059316263
