param,importance,dataset,imputation,time_taken
algorithm,0.004254335774648728,disk_1000n.csv,False,0.8722089900402352
cluster_method,0.03835014239494773,disk_1000n.csv,False,0.8722089900402352
eps,0.015409193780661433,disk_1000n.csv,False,0.8722089900402352
leaf_size,0.016962261890534132,disk_1000n.csv,False,0.8722089900402352
max_eps,0.00776367003746696,disk_1000n.csv,False,0.8722089900402352
metric,0.0015706023680257283,disk_1000n.csv,False,0.8722089900402352
min_samples,0.11353391067849641,disk_1000n.csv,False,0.8722089900402352
xi,0.3645073958694306,disk_1000n.csv,False,0.8722089900402352
"('cluster_method', 'min_samples')",0.057552750144140186,disk_1000n.csv,False,0.8722089900402352
"('min_samples', 'xi')",0.052685468878701416,disk_1000n.csv,False,0.8722089900402352
"('cluster_method', 'xi')",0.045152566913861616,disk_1000n.csv,False,0.8722089900402352
"('eps', 'xi')",0.03991199258088055,disk_1000n.csv,False,0.8722089900402352
"('leaf_size', 'min_samples')",0.022097481780271995,disk_1000n.csv,False,0.8722089900402352
"('metric', 'xi')",0.019493924823088656,disk_1000n.csv,False,0.8722089900402352
"('max_eps', 'xi')",0.01851035165073004,disk_1000n.csv,False,0.8722089900402352
"('algorithm', 'xi')",0.01569811714976352,disk_1000n.csv,False,0.8722089900402352
"('eps', 'min_samples')",0.013407492129473219,disk_1000n.csv,False,0.8722089900402352
"('algorithm', 'min_samples')",0.00912080749950972,disk_1000n.csv,False,0.8722089900402352
"('eps', 'min_samples', 'metric')",0.0006846463587756805,disk_1000n.csv,False,0.8722089900402352
"('eps', 'algorithm', 'leaf_size')",0.00011682347285617429,disk_1000n.csv,False,0.8722089900402352
algorithm,0.0009459139419943545,segment_RL.csv,False,1.7325471930671483
cluster_method,0.3875783567391248,segment_RL.csv,False,1.7325471930671483
eps,0.0013825406807385183,segment_RL.csv,False,1.7325471930671483
leaf_size,0.005135825844594625,segment_RL.csv,False,1.7325471930671483
max_eps,0.00621053364893175,segment_RL.csv,False,1.7325471930671483
metric,0.002897982508007402,segment_RL.csv,False,1.7325471930671483
min_samples,0.028641753542787668,segment_RL.csv,False,1.7325471930671483
xi,0.18771523771437,segment_RL.csv,False,1.7325471930671483
"('cluster_method', 'xi')",0.18753200000003992,segment_RL.csv,False,1.7325471930671483
"('cluster_method', 'min_samples')",0.025495110144213334,segment_RL.csv,False,1.7325471930671483
"('min_samples', 'xi')",0.02226974117896329,segment_RL.csv,False,1.7325471930671483
"('leaf_size', 'xi')",0.008363402517064451,segment_RL.csv,False,1.7325471930671483
"('max_eps', 'xi')",0.0077633161002699964,segment_RL.csv,False,1.7325471930671483
"('metric', 'xi')",0.00695428615874614,segment_RL.csv,False,1.7325471930671483
"('cluster_method', 'max_eps')",0.005312690573009607,segment_RL.csv,False,1.7325471930671483
"('cluster_method', 'leaf_size')",0.004283234367113127,segment_RL.csv,False,1.7325471930671483
"('leaf_size', 'min_samples')",0.003094175195884993,segment_RL.csv,False,1.7325471930671483
"('cluster_method', 'metric')",0.002572477633246829,segment_RL.csv,False,1.7325471930671483
"('eps', 'min_samples', 'metric')",9.066464026240276e-05,segment_RL.csv,False,1.7325471930671483
