param,importance,dataset,imputation,time_taken
algorithm,0.0017592033833287355,disk_1000n.csv,False,1.411666058935225
cluster_method,0.011579222624652472,disk_1000n.csv,False,1.411666058935225
eps,0.09360351242005814,disk_1000n.csv,False,1.411666058935225
leaf_size,0.07353909621367871,disk_1000n.csv,False,1.411666058935225
max_eps,0.0024292935447240874,disk_1000n.csv,False,1.411666058935225
metric,0.010307258379071219,disk_1000n.csv,False,1.411666058935225
min_samples,0.014035374313905438,disk_1000n.csv,False,1.411666058935225
xi,0.0862466811646498,disk_1000n.csv,False,1.411666058935225
"('eps', 'leaf_size')",0.1027478062828733,disk_1000n.csv,False,1.411666058935225
"('algorithm', 'xi')",0.0539814637151469,disk_1000n.csv,False,1.411666058935225
"('leaf_size', 'min_samples')",0.04133682745426153,disk_1000n.csv,False,1.411666058935225
"('eps', 'xi')",0.03338701296520298,disk_1000n.csv,False,1.411666058935225
"('metric', 'xi')",0.03222531250075057,disk_1000n.csv,False,1.411666058935225
"('leaf_size', 'xi')",0.025768141963719744,disk_1000n.csv,False,1.411666058935225
"('cluster_method', 'leaf_size')",0.023727088400203676,disk_1000n.csv,False,1.411666058935225
"('eps', 'min_samples')",0.023481428885597348,disk_1000n.csv,False,1.411666058935225
"('leaf_size', 'metric')",0.022501145018100775,disk_1000n.csv,False,1.411666058935225
"('min_samples', 'xi')",0.018395130621385515,disk_1000n.csv,False,1.411666058935225
"('eps', 'min_samples', 'metric')",0.003844203663735441,disk_1000n.csv,False,1.411666058935225
"('eps', 'algorithm', 'leaf_size')",0.0003238384516001462,disk_1000n.csv,False,1.411666058935225
algorithm,0.019941372199100957,segment_RL.csv,False,3.491302153095603
cluster_method,0.03706125515355332,segment_RL.csv,False,3.491302153095603
eps,0.016617119396600852,segment_RL.csv,False,3.491302153095603
leaf_size,0.016928822685197426,segment_RL.csv,False,3.491302153095603
max_eps,0.00030753516362016007,segment_RL.csv,False,3.491302153095603
metric,0.00983279077332124,segment_RL.csv,False,3.491302153095603
min_samples,0.07641863598212582,segment_RL.csv,False,3.491302153095603
xi,0.011601467793290242,segment_RL.csv,False,3.491302153095603
"('cluster_method', 'min_samples')",0.0659346410749737,segment_RL.csv,False,3.491302153095603
"('algorithm', 'min_samples')",0.05872117369118612,segment_RL.csv,False,3.491302153095603
"('algorithm', 'eps')",0.04164253376654076,segment_RL.csv,False,3.491302153095603
"('leaf_size', 'xi')",0.027805884163123826,segment_RL.csv,False,3.491302153095603
"('eps', 'xi')",0.021646949767781462,segment_RL.csv,False,3.491302153095603
"('cluster_method', 'leaf_size')",0.01916458577906036,segment_RL.csv,False,3.491302153095603
"('algorithm', 'cluster_method')",0.01665929713039796,segment_RL.csv,False,3.491302153095603
"('leaf_size', 'min_samples')",0.015652714771118365,segment_RL.csv,False,3.491302153095603
"('eps', 'min_samples')",0.0152810000930923,segment_RL.csv,False,3.491302153095603
"('min_samples', 'xi')",0.01518965779140763,segment_RL.csv,False,3.491302153095603
"('eps', 'min_samples', 'metric')",0.004552390126377783,segment_RL.csv,False,3.491302153095603
"('eps', 'algorithm', 'leaf_size')",9.92751648203631e-05,segment_RL.csv,False,3.491302153095603
algorithm,0.008462847602554655,dense-disk-3000.csv,False,1.2956930720247328
cluster_method,0.0046545178004640244,dense-disk-3000.csv,False,1.2956930720247328
eps,0.004738154486938428,dense-disk-3000.csv,False,1.2956930720247328
leaf_size,0.02607375650282593,dense-disk-3000.csv,False,1.2956930720247328
max_eps,0.02166321278752175,dense-disk-3000.csv,False,1.2956930720247328
metric,0.010499719527795121,dense-disk-3000.csv,False,1.2956930720247328
min_samples,0.008930442899276265,dense-disk-3000.csv,False,1.2956930720247328
xi,0.2049790340258087,dense-disk-3000.csv,False,1.2956930720247328
"('metric', 'xi')",0.11822880502471006,dense-disk-3000.csv,False,1.2956930720247328
"('max_eps', 'xi')",0.0812973187222495,dense-disk-3000.csv,False,1.2956930720247328
