param,importance,dataset,imputation,time_taken
affinity,0.431268251928809,vertebral_RL.csv,True,5.694190358000924
assign_labels,0.004737242047184522,vertebral_RL.csv,True,5.694190358000924
imputation,4.006675671410569e-17,vertebral_RL.csv,True,5.694190358000924
n_clusters,0.06741452822527486,vertebral_RL.csv,True,5.694190358000924
n_init,0.028709767176372893,vertebral_RL.csv,True,5.694190358000924
n_neighbors,0.06689724206262782,vertebral_RL.csv,True,5.694190358000924
"('affinity', 'n_neighbors')",0.07988346285715801,vertebral_RL.csv,True,5.694190358000924
"('affinity', 'n_clusters')",0.07173703294883874,vertebral_RL.csv,True,5.694190358000924
"('affinity', 'n_init')",0.03727848282257676,vertebral_RL.csv,True,5.694190358000924
"('n_clusters', 'n_neighbors')",0.035092447361702105,vertebral_RL.csv,True,5.694190358000924
"('n_clusters', 'n_init')",0.021265690691196607,vertebral_RL.csv,True,5.694190358000924
"('n_init', 'n_neighbors')",0.01780289879993878,vertebral_RL.csv,True,5.694190358000924
"('assign_labels', 'n_clusters')",0.00930966015156523,vertebral_RL.csv,True,5.694190358000924
"('assign_labels', 'n_neighbors')",0.003702055154361221,vertebral_RL.csv,True,5.694190358000924
"('affinity', 'assign_labels')",0.003547045211321217,vertebral_RL.csv,True,5.694190358000924
"('assign_labels', 'n_init')",0.003524368859093557,vertebral_RL.csv,True,5.694190358000924
"('n_clusters', 'n_init', 'affinity')",0.02109319581647625,vertebral_RL.csv,True,5.694190358000924
"('n_clusters', 'assign_labels', 'n_neighbors')",0.002279962162958071,vertebral_RL.csv,True,5.694190358000924
"('imputation', 'n_clusters', 'n_init')",2.871612388177385e-17,vertebral_RL.csv,True,5.694190358000924
affinity,0.007013239903614875,dense-disk-5000.csv,True,4.7317762120001134
assign_labels,0.0011878967610954162,dense-disk-5000.csv,True,4.7317762120001134
imputation,5.358733596568178e-17,dense-disk-5000.csv,True,4.7317762120001134
n_clusters,0.7461764910530289,dense-disk-5000.csv,True,4.7317762120001134
n_init,0.015154588655764242,dense-disk-5000.csv,True,4.7317762120001134
n_neighbors,0.07394874758732778,dense-disk-5000.csv,True,4.7317762120001134
"('n_clusters', 'n_neighbors')",0.036413066931479054,dense-disk-5000.csv,True,4.7317762120001134
"('n_clusters', 'n_init')",0.029847180102916572,dense-disk-5000.csv,True,4.7317762120001134
"('affinity', 'n_clusters')",0.019717822544562284,dense-disk-5000.csv,True,4.7317762120001134
"('assign_labels', 'n_clusters')",0.014544198388423926,dense-disk-5000.csv,True,4.7317762120001134
"('n_init', 'n_neighbors')",0.014142269701295191,dense-disk-5000.csv,True,4.7317762120001134
"('affinity', 'n_neighbors')",0.00934728675209152,dense-disk-5000.csv,True,4.7317762120001134
"('affinity', 'n_init')",0.0031851118354134698,dense-disk-5000.csv,True,4.7317762120001134
"('affinity', 'assign_labels')",0.0019647748824657015,dense-disk-5000.csv,True,4.7317762120001134
"('assign_labels', 'n_neighbors')",0.0005756902112449595,dense-disk-5000.csv,True,4.7317762120001134
"('assign_labels', 'n_init')",0.0005263116960288193,dense-disk-5000.csv,True,4.7317762120001134
"('n_clusters', 'n_init', 'affinity')",0.003474235441582779,dense-disk-5000.csv,True,4.7317762120001134
"('n_clusters', 'assign_labels', 'n_neighbors')",0.0015586946177057223,dense-disk-5000.csv,True,4.7317762120001134
