param,importance,dataset,imputation,time_taken
affinity,0.5440559935342608,segment_RL.csv,False,4.523715664050542
assign_labels,0.07058539894447319,segment_RL.csv,False,4.523715664050542
n_clusters,0.05319098699369751,segment_RL.csv,False,4.523715664050542
n_init,0.007764024686661104,segment_RL.csv,False,4.523715664050542
n_neighbors,0.03887507220295258,segment_RL.csv,False,4.523715664050542
"('affinity', 'assign_labels')",0.07622264626116496,segment_RL.csv,False,4.523715664050542
"('affinity', 'n_neighbors')",0.03236875540128879,segment_RL.csv,False,4.523715664050542
"('affinity', 'n_clusters')",0.024374930565509875,segment_RL.csv,False,4.523715664050542
"('assign_labels', 'n_clusters')",0.0210207636389049,segment_RL.csv,False,4.523715664050542
"('n_clusters', 'n_neighbors')",0.0199924430234488,segment_RL.csv,False,4.523715664050542
"('assign_labels', 'n_neighbors')",0.012794347715933262,segment_RL.csv,False,4.523715664050542
"('affinity', 'n_init')",0.009636792680625837,segment_RL.csv,False,4.523715664050542
"('n_clusters', 'n_init')",0.00921998357578387,segment_RL.csv,False,4.523715664050542
"('n_init', 'n_neighbors')",0.007892741896894527,segment_RL.csv,False,4.523715664050542
"('assign_labels', 'n_init')",0.004475243546648588,segment_RL.csv,False,4.523715664050542
"('n_clusters', 'n_init', 'affinity')",0.00747100109731483,segment_RL.csv,False,4.523715664050542
"('n_clusters', 'assign_labels', 'n_neighbors')",0.005722500517470841,segment_RL.csv,False,4.523715664050542
affinity,0.003443227862957585,dense-disk-3000.csv,False,4.151025861036032
assign_labels,0.0025605852844000705,dense-disk-3000.csv,False,4.151025861036032
n_clusters,0.6252977419609625,dense-disk-3000.csv,False,4.151025861036032
n_init,0.02041745798023576,dense-disk-3000.csv,False,4.151025861036032
n_neighbors,0.12743157862859486,dense-disk-3000.csv,False,4.151025861036032
"('n_clusters', 'n_init')",0.05663279904470607,dense-disk-3000.csv,False,4.151025861036032
"('n_clusters', 'n_neighbors')",0.049601938253994914,dense-disk-3000.csv,False,4.151025861036032
